11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-huitième extrait>,<>,<>
une,un,71
meute,meute,22
considérable,considérable,30
et,et,82
fait,faire,17
à,à,81
merveille,merveille,22
les,le,71
honneurs,honneur,21
de,de,81
chez,chez,81
lui,lui,51
/.,/.,P
il,il,51
faisait,faire,18
de,de,81
très,très,60
bonne,bon,30
musique,musique,22
",",",",p
comme,comme,83
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
chez,chez,81
madame,madame,22
Pierson,Pierson,20
/.,/.,P
pour,pour,81
ses,son,73
devoirs,devoir,21
de,de,81
charité,charité,22
",",",",p
il,il,51
les,le,52
remplissait,remplir,18
ponctuellement,ponctuellement,60
;,;,p
lorsqu',lorsque,83
il,il,51
était,être,18
dans,dans,81
le,le,71
pays,pays,21
",",",",p
il,il,51
accompagnait,accompagner,18
",",",",p
comme,comme,83
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
cette,ce,74
dame,dame,22
à,à,81
la,le,71
promenade,promenade,22
/.,/.,P
sa,son,73
famille,famille,22
jouit,jouir,17
à,à,81
Paris,Paris,20
d',de,81
une,un,71
excellente,excellent,30
réputation,réputation,22
;,;,p
il,il,51
m',je,51
arrivait,arriver,18
de,de,81
le,le,52
trouver,trouver,14
chez,chez,81
cette,ce,74
dame,dame,22
presque,presque,60
toutes,tout,75
les,le,71
fois,fois,22
que,que,83
j',je,51
y,y,52
allais,aller,18
;,;,p
ses,son,73
moeurs,moeurs,22
passent,passer,17
pour,pour,81
excellentes,excellent,30
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
vous,vous,51
pensez,penser,17
",",",",p
monsieur,monsieur,21
",",",",p
que,que,83
je,je,51
n',ne,60
entends,entendre,17
parler,parler,14
en,en,81
tout,tout,52
que,que,83
d',de,81
une,un,71
familiarité,familiarité,22
honnête,honnête,30
",",",",p
telle,tel,75
qu',que,83
il,il,51
convient,convenir,17
aux,à,81
aux,le,71
personnes,personne,22
de,de,81
ce,ce,74
mérite,mérite,21
/.,/.,P
je,je,51
crois,croire,17
qu',que,83
il,il,51
ne,ne,60
vient,venir,17
que,que,83
pour,pour,81
la,le,71
chasse,chasse,22
;,;,p
il,il,51
était,être,18
ami,ami,30
du,de,81
du,le,71
mari,mari,21
;,;,p
on,on,51
le,le,52
dit,dire,19
fort,fort,60
riche,riche,30
et,et,82
très,très,60
généreux,généreux,30
;,;,p
mais,mais,82
je,je,51
ne,ne,60
le,le,52
connais,connaître,17
d',de,81
ailleurs,ailleurs,60
presque,presque,60
pas,pas,60
",",",",p
sinon,sinon,83
par,par,81
ouï,ouï,31
dire,dire,14
/…,/…,P
de,de,81
combien,combien,60
de,de,81
phrases,phrase,22
entortillées,entortillé,31
le,le,71
pesant,pesant,30
bourreau,bourreau,21
m',je,51
assomma,assommer,19
/!,/!,P
je,je,51
le,le,52
regardais,regarder,18
",",",",p
honteux,honteux,30
de,de,81
l',le,52
écouter,écouter,14
",",",",p
n',ne,60
osant,oser,13
plus,plus,60
faire,faire,14
une,un,71
seule,seul,30
question,question,22
ni,ni,82
l',le,52
arrêter,arrêter,14
dans,dans,81
son,son,73
bavardage,bavardage,21
/.,/.,P
il,il,51
calomnia,calomnier,19
aussi,aussi,60
sourdement,sourdement,60
et,et,82
aussi,aussi,60
longtemps,longtemps,60
qu',que,83
il,il,51
voulut,vouloir,19
;,;,p
il,il,51
m',je,51
enfonça,enfoncer,19
tout,tout,52
à,à,81
loisir,loisir,21
sa,son,73
lame,lame,22
torse,tors,30
dans,dans,81
le,le,71
coeur,coeur,21
;,;,p
quand,quand,83
ce,ce,52
fut,être,19
fait,faire,12
",",",",p
il,il,51
me,je,51
quitta,quitter,19
",",",",p
sans,sans,81
que,que,83
je,je,51
pusse,pouvoir,18
le,le,52
retenir,retenir,14
",",",",p
et,et,82
",",",",p
à,à,81
tout,tout,52
prendre,prendre,14
",",",",p
il,il,51
ne,ne,60
m',je,51
avait,avoir,18
rien,rien,52
dit,dire,12
/.,/.,P
je,je,51
restai,rester,19
seul,seul,30
sur,sur,81
la,le,71
promenade,promenade,22
;,;,p
la,le,71
nuit,nuit,22
commençait,commencer,18
à,à,81
venir,venir,14
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
je,je,51
ressentais,ressentir,18
plus,plus,60
de,de,81
fureur,fureur,22
ou,ou,82
plus,plus,60
de,de,81
tristesse,tristesse,22
/.,/.,P
cette,ce,74
confiance,confiance,22
que,que,52
j',je,51
avais,avoir,18
eue,avoir,12
",",",",p
de,de,81
me,je,51
livrer,livrer,14
aveuglément,aveuglément,60
à,à,81
mon,mon,73
amour,amour,21
pour,pour,81
ma,mon,73
chère,cher,30
Brigitte,Brigitte,20
",",",",p
m',je,51
avait,avoir,18
été,être,12
si,si,60
douce,doux,30
et,et,82
si,si,60
naturelle,naturel,30
que,que,83
je,je,51
ne,ne,60
pouvais,pouvoir,18
me,je,51
résoudre,résoudre,14
à,à,81
croire,croire,14
que,que,83
tant,tant,60
de,de,81
bonheur,bonheur,21
m',je,51
eût,avoir,19
trompé,tromper,12
/.,/.,P
ce,ce,74
sentiment,sentiment,21
naïf,naïf,30
et,et,82
crédule,crédule,30
qui,qui,52
m',je,51
avait,avoir,18
conduit,conduire,12
à,à,81
elle,il,51
",",",",p
sans,sans,81
que,que,83
je,je,51
voulusse,vouloir,18
le,le,52
combattre,combattre,14
ni,ni,82
en,en,52
douter,douter,14
jamais,jamais,60
",",",",p
m',je,51
avait,avoir,18
semblé,sembler,12
à,à,81
lui,lui,51
seul,seul,30
comme,comme,83
une,un,71
preuve,preuve,22
qu',que,52
elle,il,51
en,en,52
était,être,18
digne,digne,30
/.,/.,P
était,être,18
il,il,51
donc,donc,82
possible,possible,30
que,que,52
ces,ce,74
quatre,quatre,72
mois,mois,21
si,si,60
heureux,heureux,30
ne,ne,60
fussent,être,18
déjà,déjà,60
qu',que,83
un,un,71
rêve,rêve,21
/?,/?,P
mais,mais,82
après,après,81
tout,tout,52
",",",",p
me,je,51
dis,dire,17
je,je,51
tout,tout,60
à,à,81
coup,coup,21
",",",",p
cette,ce,74
femme,femme,22
s',se,51
est,être,17
donnée,donner,12
bien,bien,60
vite,vite,60
/.,/.,P
n',ne,60
y,y,52
aurait,avoir,16
il,il,51
point,point,60
eu,avoir,12
de,de,81
mensonge,mensonge,21
dans,dans,81
cette,ce,74
intention,intention,22
de,de,81
me,je,51
fuir,fuir,14
qu',que,83
elle,il,51
m',je,51
avait,avoir,18
d'abord,d'abord,60
marquée,marquer,12
et,et,82
qu',que,83
une,un,71
parole,parole,22
a,avoir,17
fait,faire,12
évanouir,évanouir,14
/?,/?,P
n',ne,60
aurais,avoir,16
je,je,51
point,point,60
par,par,81
hasard,hasard,21
affaire,affaire,22
à,à,81
une,un,71
femme,femme,22
comme,comme,83
on,on,51
en,en,52
voit,voir,17
tant,tant,60
/?,/?,P
oui,oui,60
",",",",p
c',ce,52
est,être,17
ainsi,ainsi,60
qu',que,83
elles,ils,51
s',se,51
y,y,52
prennent,prendre,17
toutes,tout,52
;,;,p
elles,ils,51
feignent,feindre,17
de,de,81
reculer,reculer,14
afin,afin,81
de,de,81
se,se,51
voir,voir,14
poursuivre,poursuivre,14
/.,/.,P
les,le,71
biches,biche,22
elles-mêmes,eux-mêmes,51
en,en,52
font,faire,17
autant,autant,60
;,;,p
c',ce,52
est,être,17
un,un,71
instinct,instinct,21
de,de,81
la,le,71
femelle,femelle,22
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
de,de,81
son,son,73
propre,propre,30
mouvement,mouvement,21
qu',que,52
elle,il,51
m',je,51
a,avoir,17
avoué,avouer,12
son,son,73
amour,amour,21
",",",",p
au,à,81
au,le,71
moment,moment,21
même,même,30
où,où,60
je,je,51
croyais,croire,18
qu',que,83
elle,il,51
ne,ne,60
serait,être,16
jamais,jamais,60
à,à,81
moi,moi,51
/?,/?,P
dès,dès,81
le,le,71
premier,premier,72
jour,jour,21
que,que,52
je,je,51
l',le,52
ai,avoir,17
vue,voir,12
",",",",p
n',ne,60
a,avoir,17
t,t,94
elle,il,51
pas,pas,60
accepté,accepter,12
mon,mon,73
bras,bras,21
",",",",p
sans,sans,81
me,je,51
connaître,connaître,14
",",",",p
avec,avec,81
une,un,71
légèreté,légèreté,22
qui,qui,52
aurait,avoir,16
dû,devoir,12
me,je,51
faire,faire,14
douter,douter,14
d',de,81
elle,il,51
/?,/?,P
si,si,83
ce,ce,74
Dalens,Dalens,20
a,avoir,17
été,être,12
son,son,73
amant,amant,21
",",",",p
il,il,51
est,être,17
probable,probable,30
qu',que,83
il,il,51
l',le,52
est,être,17
encore,encore,60
;,;,p
ce,ce,52
sont,être,17
de,de,81
ces,ce,74
liaisons,liaison,22
du,de,81
du,le,71
monde,monde,21
qui,qui,52
ne,ne,60
commencent,commencer,17
ni,ni,82
ne,ne,60
finissent,finir,17
;,;,p
quand,quand,83
on,on,51
se,se,51
voit,voir,17
on,on,51
se,se,51
reprend,reprendre,17
",",",",p
et,et,82
dès,dès,81
qu',que,83
on,on,51
se,se,51
quitte,quitter,17
on,on,51
s',se,51
oublie,oublier,17
/.,/.,P
si,si,83
cet,ce,74
homme,homme,21
revient,revenir,17
aux,à,81
aux,le,71
vacances,vacance,22
",",",",p
elle,il,51
le,le,52
reverra,revoir,15
sans,sans,81
doute,doute,21
",",",",p
et,et,82
probablement,probablement,60
sans,sans,81
rompre,rompre,14
avec,avec,81
moi,moi,51
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
cette,ce,74
tante,tante,22
",",",",p
que,que,83
cette,ce,74
vie,vie,22
mystérieuse,mystérieux,30
qui,qui,52
a,avoir,17
la,le,71
charité,charité,22
pour,pour,81
affiche,affiche,22
",",",",p
que,que,83
cette,ce,74
liberté,liberté,22
déterminée,déterminé,31
qui,qui,52
ne,ne,60
se,se,51
soucie,soucier,17
d',de,81
aucun,aucun,75
propos,propos,21
/?,/?,P
ne,ne,60
seraient,être,16
ce,ce,52
point,point,60
des,de,81
des,le,71
aventurières,aventurière,22
que,que,83
ces,ce,74
deux,deux,72
femmes,femme,22
avec,avec,81
leur,leur,73
petite,petit,30
maison,maison,22
",",",",p
leur,leur,73
prud'homie,prud'homie,22
et,et,82
leur,leur,73
sagesse,sagesse,22
qui,qui,52
en,en,52
imposent,imposer,17
si,si,60
vite,vite,60
aux,à,81
aux,le,71
gens,gens,21
et,et,82
se,se,51
démentent,démentir,17
plus,plus,60
vite,vite,60
encore,encore,60
/?,/?,P
assurément,assurément,60
",",",",p
quoi,quoi,52
qu',que,52
il,il,51
en,en,52
soit,être,17
",",",",p
je,je,51
suis,être,17
tombé,tomber,12
les,le,71
yeux,oeil,21
fermés,fermé,31
dans,dans,81
une,un,71
affaire,affaire,22
de,de,81
galanterie,galanterie,22
que,que,52
j',je,51
ai,avoir,17
prise,prendre,12
pour,pour,81
un,un,71
roman,roman,21
;,;,p
mais,mais,82
que,que,52
faire,faire,14
à,à,81
présent,présent,21
/?,/?,P
je,je,51
ne,ne,60
vois,voir,17
personne,personne,52
ici,ici,60
que,que,83
ce,ce,74
prêtre,prêtre,21
",",",",p
qui,qui,52
ne,ne,60
veut,vouloir,17
pas,pas,60
parler,parler,14
clairement,clairement,60
",",",",p
ou,ou,82
son,son,73
oncle,oncle,21
",",",",p
qui,qui,52
en,en,52
dira,dire,15
moins,moins,60
encore,encore,60
/.,/.,P
o,oh,93
mon,mon,73
dieu,dieu,21
!,!,p
qui,qui,52
me,je,51
sauvera,sauver,15
?,?,p
comment,comment,60
savoir,savoir,14
la,le,71
vérité,vérité,22
/?,/?,P
ainsi,ainsi,60
parlait,parler,18
la,le,71
jalousie,jalousie,22
;,;,p
ainsi,ainsi,60
",",",",p
oubliant,oublier,13
tant,tant,60
de,de,81
larmes,larme,22
et,et,82
tout,tout,52
ce,ce,52
que,que,52
j',je,51
avais,avoir,18
souffert,souffrir,12
",",",",p
j',je,51
en,en,52
venais,venir,18
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
deux,deux,72
jours,jour,21
",",",",p
à,à,81
m',je,51
inquiéter,inquiéter,14
de,de,81
ce,ce,52
que,que,52
Brigitte,Brigitte,20
m',je,51
avait,avoir,18
cédé,céder,12
/.,/.,P
ainsi,ainsi,60
",",",",p
comme,comme,83
tous,tout,75
ceux,celui,52
qui,qui,52
doutent,douter,17
",",",",p
je,je,51
mettais,mettre,18
déjà,déjà,60
de,de,81
côté,côté,21
les,le,71
sentiments,sentiment,21
et,et,82
les,le,71
pensées,pensée,22
pour,pour,81
disputer,disputer,14
avec,avec,81
les,le,71
faits,fait,21
",",",",p
m',je,51
attacher,attacher,14
à,à,81
la,le,71
lettre,lettre,22
morte,mort,31
et,et,82
disséquer,disséquer,14
ce,ce,52
que,que,52
j',je,51
aimais,aimer,18
/.,/.,P
tout,tout,60
en,en,81
m',je,51
enfonçant,enfoncer,13
dans,dans,81
mes,mon,73
réflexions,réflexion,22
",",",",p
je,je,51
gagnais,gagner,18
à,à,81
pas,pas,21
lents,lent,30
la,le,71
maison,maison,22
de,de,81
Brigitte,Brigitte,20
/.,/.,P
je,je,51
trouvai,trouver,19
la,le,71
grille,grille,22
ouverte,ouvert,31
",",",",p
et,et,82
",",",",p
comme,comme,83
je,je,51
traversais,traverser,18
la,le,71
cour,cour,22
",",",",p
je,je,51
vis,voir,19
de,de,81
la,le,71
lumière,lumière,22
dans,dans,81
la,le,71
cuisine,cuisine,22
/.,/.,P
je,je,51
pensai,penser,19
à,à,81
questionner,questionner,14
la,le,71
servante,servante,22
/.,/.,P
je,je,51
tournai,tourner,19
donc,donc,82
de,de,81
ce,ce,74
côté,côté,21
",",",",p
et,et,82
maniant,manier,13
dans,dans,81
ma,mon,73
poche,poche,22
quelques,quelque,75
pièces,pièce,22
d',de,81
argent,argent,21
",",",",p
je,je,51
m',je,51
avançai,avancer,19
vers,vers,81
le,le,71
seuil,seuil,21
/.,/.,P
une,un,71
impression,impression,22
d',de,81
horreur,horreur,22
m',je,51
arrêta,arrêter,19
court,court,60
/.,/.,P
cette,ce,74
servante,servante,22
était,être,18
une,un,71
vieille,vieux,30
femme,femme,22
maigre,maigre,30
et,et,82
ridée,ridé,31
",",",",p
le,le,71
dos,dos,21
toujours,toujours,60
courbé,courbé,31
comme,comme,83
les,le,71
gens,gens,21
attachés,attaché,31
à,à,81
la,le,71
glèbe,glèbe,22
/.,/.,P
je,je,51
la,le,52
trouvai,trouver,19
remuant,remuer,13
sa,son,73
vaisselle,vaisselle,22
sur,sur,81
un,un,71
évier,évier,21
malpropre,malpropre,30
/.,/.,P
une,un,71
chandelle,chandelle,22
dégoûtante,dégoûtant,30
tremblotait,trembloter,18
dans,dans,81
sa,son,73
main,main,22
;,;,p
autour,autour,60
d',de,81
elle,il,51
des,de,81
des,le,71
casseroles,casserole,22
",",",",p
des,de,81
des,le,71
plats,plat,21
",",",",p
des,de,81
des,le,71
restes,reste,21
du,de,81
du,le,71
dîner,dîner,21
que,que,52
visitait,visiter,18
un,un,71
chien,chien,21
errant,errant,30
",",",",p
entré,entré,31
comme,comme,83
moi,moi,51
avec,avec,81
honte,honte,22
;,;,p
une,un,71
odeur,odeur,22
chaude,chaud,30
et,et,82
nauséabonde,nauséabond,30
sortait,sortir,18
des,de,81
des,le,71
murs,mur,21
humides,humide,30
/.,/.,P
lorsque,lorsque,83
la,le,71
vieille,vieille,22
m',je,51
aperçut,apercevoir,19
",",",",p
elle,il,51
me,je,51
regarda,regarder,19
en,en,81
souriant,sourire,13
avec,avec,81
un,un,71
air,air,21
confidentiel,confidentiel,30
/.,/.,P
elle,il,51
m',je,51
avait,avoir,18
vu,voir,12
me,je,51
glisser,glisser,14
le,le,71
matin,matin,21
hors,hors,81
de,de,81
la,le,71
chambre,chambre,22
de,de,81
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
je,je,51
frissonnai,frissonner,19
de,de,81
dégoût,dégoût,21
de,de,81
moi-même,moi-même,51
et,et,82
de,de,81
ce,ce,52
que,que,52
je,je,51
venais,venir,18
chercher,chercher,14
dans,dans,81
un,un,71
lieu,lieu,21
si,si,60
bien,bien,60
assorti,assorti,31
à,à,81
l',le,71
action,action,22
ignoble,ignoble,30
que,que,52
je,je,51
méditais,méditer,18
/.,/.,P
je,je,51
me,je,51
sauvai,sauver,19
de,de,81
cette,ce,74
vieille,vieille,22
comme,comme,83
de,de,81
ma,mon,73
jalousie,jalousie,22
personnifiée,personnifié,31
",",",",p
et,et,82
comme,comme,83
si,si,83
l',le,71
odeur,odeur,22
de,de,81
sa,son,73
vaisselle,vaisselle,22
fût,être,19
sortie,sortir,12
de,de,81
mon,mon,73
propre,propre,30
coeur,coeur,21
/.,/.,P
Brigitte,Brigitte,20
était,être,18
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
arrosant,arroser,13
ses,son,73
fleurs,fleur,22
bien-aimées,bien-aimé,30
;,;,p
un,un,71
enfant,enfant,21
d',de,81
une,un,52
de,de,81
nos,notre,73
voisines,voisine,22
",",",",p
assis,assis,31
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
bergère,bergère,22
et,et,82
enterré,enterré,31
dans,dans,81
les,le,71
coussins,coussin,21
",",",",p
se,se,51
berçait,bercer,18
à,à,81
une,un,52
de,de,81
ses,son,73
manches,manche,22
",",",",p
et,et,82
lui,lui,51
faisait,faire,18
",",",",p
la,le,71
bouche,bouche,22
pleine,plein,30
de,de,81
bonbons,bonbon,21
",",",",p
dans,dans,81
son,son,73
langage,langage,21
joyeux,joyeux,30
et,et,82
incompréhensible,incompréhensible,30
",",",",p
un,un,52
de,de,81
ces,ce,74
grands,grand,30
discours,discours,21
des,de,81
des,le,71
marmots,marmot,21
qui,qui,52
ne,ne,60
savent,savoir,17
pas,pas,60
encore,encore,60
parler,parler,14
/.,/.,P
je,je,51
m',je,51
assis,asseoir,19
auprès,auprès,60
d',de,81
elle,il,51
et,et,82
baisai,baiser,19
l',le,71
enfant,enfant,21
sur,sur,81
ses,son,73
grosses,gros,30
joues,joue,22
",",",",p
comme,comme,83
pour,pour,81
rendre,rendre,14
à,à,81
mon,mon,73
coeur,coeur,21
un,un,71
peu,peu,60
d',de,81
innocence,innocence,22
/.,/.,P
Brigitte,Brigitte,20
me,je,51
fit,faire,19
un,un,71
accueil,accueil,21
craintif,craintif,30
;,;,p
elle,il,51
voyait,voir,18
dans,dans,81
mes,mon,73
regards,regard,21
son,son,73
image,image,22
déjà,déjà,60
troublée,troublé,31
/.,/.,P
de,de,81
mon,mon,73
côté,côté,21
",",",",p
j',je,51
évitais,éviter,18
ses,son,73
yeux,oeil,21
;,;,p
plus,plus,60
j',je,51
admirais,admirer,18
sa,son,73
beauté,beauté,22
et,et,82
son,son,73
air,air,21
de,de,81
candeur,candeur,22
",",",",p
plus,plus,60
je,je,51
me,je,51
disais,dire,18
qu',que,83
une,un,71
pareille,pareil,30
femme,femme,22
",",",",p
si,si,83
elle,il,51
n',ne,60
était,être,18
pas,pas,60
un,un,71
ange,ange,21
",",",",p
était,être,18
un,un,71
monstre,monstre,21
de,de,81
perfidie,perfidie,22
/.,/.,P
je,je,51
m',je,51
efforçais,efforcer,18
de,de,81
me,je,51
rappeler,rappeler,14
chaque,chaque,75
parole,parole,22
de,de,81
Mercanson,Mercanson,20
",",",",p
et,et,82
je,je,51
confrontais,confronter,18
pour,pour,81
ainsi,ainsi,60
dire,dire,14
les,le,71
insinuations,insinuation,22
de,de,81
cet,ce,74
homme,homme,21
avec,avec,81
les,le,71
traits,trait,21
de,de,81
ma,mon,73
maîtresse,maîtresse,22
et,et,82
les,le,71
contours,contour,21
charmants,charmant,30
de,de,81
son,son,73
visage,visage,21
/.,/.,P
-,-,p
elle,il,51
est,être,17
bien,bien,60
belle,beau,30
",",",",p
me,je,51
disais,dire,18
je,je,51
",",",",p
bien,bien,60
dangereuse,dangereux,30
si,si,83
elle,il,51
sait,savoir,17
tromper,tromper,14
;,;,p
mais,mais,82
je,je,51
la,le,52
rouerai,rouer,15
et,et,82
lui,lui,51
tiendrai,tenir,15
tête,tête,22
",",",",p
et,et,82
elle,il,51
saura,savoir,15
qui,qui,52
je,je,51
suis,être,17
/.,/.,P
-,-,p
ma,mon,73
chère,cher,30
",",",",p
lui,lui,51
dis,dire,19
je,je,51
après,après,81
un,un,71
long,long,30
silence,silence,21
",",",",p
je,je,51
viens,venir,17
de,de,81
donner,donner,14
un,un,71
conseil,conseil,21
à,à,81
un,un,71
ami,ami,21
qui,qui,52
m',je,51
a,avoir,17
consulté,consulter,12
/.,/.,P
c',ce,52
est,être,17
un,un,71
jeune,jeune,30
homme,homme,21
assez,assez,60
simple,simple,30
;,;,p
il,il,51
m',je,51
écrit,écrire,17
qu',que,83
il,il,51
a,avoir,17
découvert,découvrir,12
qu',que,83
une,un,71
femme,femme,22
",",",",p
qui,qui,52
vient,venir,17
de,de,81
se,se,51
donner,donner,14
à,à,81
lui,lui,51
",",",",p
a,avoir,17
en,en,81
même,même,75
temps,temps,21
un,un,71
autre,autre,75
amant,amant,21
/.,/.,P
il,il,51
m',je,51
a,avoir,17
demandé,demander,12
ce,ce,52
qu',que,52
il,il,51
devait,devoir,18
faire,faire,14
/.,/.,P
-,-,p
que,que,52
lui,lui,51
avez,avoir,17
vous,vous,51
répondu,répondre,12
/?,/?,P
deux,deux,72
questions,question,22
:,:,p
est,être,17
elle,il,51
jolie,joli,30
",",",",p
et,et,82
l',le,52
aimez,aimer,17
vous,vous,51
/?,/?,P
si,si,83
vous,vous,51
l',le,52
aimez,aimer,17
",",",",p
oubliez,oublier,17
la,le,52
;,;,p
si,si,83
elle,il,51
est,être,17
jolie,joli,30
et,et,82
que,que,52
vous,vous,51
ne,ne,60
l',le,52
aimiez,aimer,18
pas,pas,60
",",",",p
gardez,garder,17
la,le,52
pour,pour,81
votre,votre,73
plaisir,plaisir,21
:,:,p
il,il,51
sera,être,15
toujours,toujours,60
temps,temps,21
de,de,81
la,le,52
quitter,quitter,14
si,si,83
vous,vous,51
n',ne,60
avez,avoir,17
affaire,affaire,22
qu',que,83
à,à,81
sa,son,73
beauté,beauté,22
",",",",p
et,et,82
autant,autant,60
vaut,valoir,17
celle-là,celui-là,52
qu',que,83
une,un,71
autre,autre,52
/.,/.,P
en,en,81
m',je,51
entendant,entendre,13
parler,parler,14
ainsi,ainsi,60
",",",",p
Brigitte,Brigitte,20
lâcha,lâcher,19
l',le,71
enfant,enfant,21
qu',que,52
elle,il,51
tenait,tenir,18
;,;,p
elle,il,51
fut,être,19
s',se,51
asseoir,asseoir,14
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
chambre,chambre,22
/.,/.,P
nous,nous,51
étions,être,18
sans,sans,81
lumière,lumière,22
;,;,p
la,le,71
lune,lune,22
",",",",p
qui,qui,52
éclairait,éclairer,18
la,le,71
place,place,22
que,que,52
Brigitte,Brigitte,20
venait,venir,18
de,de,81
quitter,quitter,14
",",",",p
projetait,projeter,18
une,un,71
ombre,ombre,22
profonde,profond,30
sur,sur,81
le,le,71
sofa,sofa,21
où,où,60
elle,il,51
était,être,18
assise,asseoir,12
/.,/.,P
les,le,71
mots,mot,21
que,que,52
j',je,51
avais,avoir,18
prononcés,prononcer,12
portaient,porter,18
un,un,71
sens,sens,21
si,si,60
dur,dur,30
",",",",p
si,si,60
cruel,cruel,30
",",",",p
que,que,83
j',je,51
en,en,52
étais,être,18
navré,navrer,12
moi-même,moi-même,51
et,et,82
que,que,83
mon,mon,73
coeur,coeur,21
s',se,51
emplissait,emplir,18
d',de,81
amertume,amertume,22
/.,/.,P
l',le,71
enfant,enfant,21
inquiet,inquiet,30
appelait,appeler,18
Brigitte,Brigitte,20
et,et,82
s',se,51
attristait,attrister,18
en,en,81
nous,nous,51
regardant,regarder,13
/.,/.,P
ses,son,73
cris,cri,21
joyeux,joyeux,30
",",",",p
son,son,73
petit,petit,30
bavardage,bavardage,21
cessèrent,cesser,19
peu,peu,60
à,à,81
peu,peu,60
;,;,p
il,il,51
s',se,51
endormit,endormir,19
sur,sur,81
la,le,71
bergère,bergère,22
/.,/.,P
ainsi,ainsi,60
",",",",p
tous,tout,75
trois,trois,72
",",",",p
nous,nous,51
demeurâmes,demeurer,19
en,en,81
silence,silence,21
",",",",p
et,et,82
un,un,71
nuage,nuage,21
passa,passer,19
sur,sur,81
la,le,71
lune,lune,22
/.,/.,P
une,un,71
servante,servante,22
entra,entrer,19
qui,qui,52
vint,venir,19
chercher,chercher,14
l',le,71
enfant,enfant,21
;,;,p
on,on,51
apporta,apporter,19
de,de,81
la,le,71
lumière,lumière,22
/.,/.,P
je,je,51
me,je,51
levai,lever,19
",",",",p
et,et,82
Brigitte,Brigitte,20
en,en,81
même,même,75
temps,temps,21
;,;,p
mais,mais,82
elle,il,51
porta,porter,19
les,le,71
deux,deux,72
mains,main,22
sur,sur,81
son,son,73
coeur,coeur,21
",",",",p
et,et,82
tomba,tomber,19
à,à,81
terre,terre,22
au,à,81
au,le,71
pied,pied,21
de,de,81
son,son,73
lit,lit,21
/.,/.,P
je,je,51
courus,courir,19
à,à,81
elle,il,51
épouvanté,épouvanté,31
;,;,p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
perdu,perdre,12
connaissance,connaissance,22
et,et,82
me,je,51
pria,prier,19
de,de,81
n',ne,60
appeler,appeler,14
personne,personne,52
/.,/.,P
elle,il,51
me,je,51
dit,dire,19
qu',que,83
elle,il,51
était,être,18
sujette,sujet,30
à,à,81
de,de,81
violentes,violent,30
palpitations,palpitation,22
qui,qui,52
la,le,52
tourmentaient,tourmenter,18
depuis,depuis,81
sa,son,73
jeunesse,jeunesse,22
et,et,82
la,le,52
prenaient,prendre,18
ainsi,ainsi,60
tout,tout,60
à,à,81
coup,coup,21
",",",",p
mais,mais,82
que,que,52
du,de,81
du,le,71
reste,reste,21
il,il,51
n',ne,60
y,y,52
avait,avoir,18
point,point,60
de,de,81
danger,danger,21
dans,dans,81
ces,ce,74
attaques,attaque,22
ni,ni,82
aucun,aucun,75
remède,remède,21
à,à,81
employer,employer,14
/.,/.,P
j',je,51
étais,être,18
à,à,81
genoux,genou,21
auprès,auprès,60
d',de,81
elle,il,51
;,;,p
elle,il,51
m',je,51
ouvrit,ouvrir,19
doucement,doucement,60
les,le,71
bras,bras,21
;,;,p
je,je,51
lui,lui,51
saisis,saisir,19
la,le,71
tête,tête,22
et,et,82
me,je,51
jetai,jeter,19
sur,sur,81
son,son,73
épaule,épaule,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
ami,ami,21
",",",",p
dit,dire,19
elle,il,51
",",",",p
je,je,51
vous,vous,51
plains,plaindre,17
/.,/.,P
-,-,p
écoute,écouter,17
moi,moi,51
",",",",p
lui,lui,51
dis,dire,17
je,je,51
à,à,81
l',le,71
oreille,oreille,22
",",",",p
je,je,51
suis,être,17
un,un,71
misérable,misérable,30
fou,fou,21
;,;,p
mais,mais,82
je,je,51
ne,ne,60
puis,pouvoir,17
rien,rien,52
garder,garder,14
sur,sur,81
le,le,71
coeur,coeur,21
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
qu',que,83
un,un,71
monsieur,monsieur,21
Dalens,Dalens,20
qui,qui,52
demeure,demeurer,17
sur,sur,81
la,le,71
montagne,montagne,22
et,et,82
qui,qui,52
vient,venir,17
te,tu,51
voir,voir,14
quelquefois,quelquefois,60
/?,/?,P
elle,il,51
parut,paraître,19
étonnée,étonné,31
de,de,81
m',je,51
entendre,entendre,14
prononcer,prononcer,14
