11953
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-septième extrait>,<>,<>
répondant,répondre,13
:,:,p
“,“,p
elle,il,51
est,être,17
un,un,71
peu,peu,60
fatiguée,fatiguer,12
",",",",p
je,je,51
crois,croire,17
qu',que,83
elle,il,51
a,avoir,17
mal,mal,21
à,à,81
la,le,71
tête,tête,22
/.,/.,P
“,“,p
et,et,82
on,on,51
monta,monter,19
dans,dans,81
le,le,71
landau,landau,21
",",",",p
dans,dans,81
le,le,71
grand,grand,30
landau,landau,21
à,à,81
six,six,72
places,place,22
dont,dont,52
on,on,51
se,se,51
servait,servir,18
toujours,toujours,60
/.,/.,P
le,le,71
marquis,marquis,21
et,et,82
sa,son,73
fille,fille,22
tenaient,tenir,18
le,le,71
fond,fond,21
",",",",p
la,le,71
petite,petit,30
Oriol,Oriol,20
se,se,51
trouva,trouver,19
donc,donc,82
assise,assise,22
entre,entre,81
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
",",",",p
à reculons,à reculons,60
/.,/.,P
on,on,51
passa,passer,19
devant,devant,81
Tournoël,Tournoël,20
",",",",p
puis,puis,60
on,on,51
suivit,suivre,19
le,le,71
pied,pied,21
de,de,81
la,le,71
montagne,montagne,22
sur,sur,81
une,un,71
belle,beau,30
route,route,22
serpentant,serpenter,13
sous,sous,81
les,le,71
noyers,noyer,21
et,et,82
les,le,71
châtaigniers,châtaignier,21
/.,/.,P
Charlotte,Charlotte,20
",",",",p
plusieurs,plusieurs,75
fois,fois,22
",",",",p
remarqua,remarquer,19
que,que,83
Gontran,Gontran,20
se,se,51
serrait,serrer,18
contre,contre,81
elle,il,51
",",",",p
mais,mais,82
avec,avec,81
trop,trop,60
de,de,81
prudence,prudence,22
pour,pour,81
qu',que,83
elle,il,51
pût,pouvoir,18
s',se,51
en,en,52
offenser,offenser,14
/.,/.,P
comme,comme,83
il,il,51
était,être,18
assis,asseoir,12
à,à,81
sa,son,73
droite,droite,22
",",",",p
il,il,51
lui,lui,51
parlait,parler,18
tout,tout,60
près,près,81
de,de,81
la,le,71
joue,joue,22
;,;,p
et,et,82
elle,il,51
n',ne,60
osait,oser,18
pas,pas,60
se,se,51
retourner,retourner,14
pour,pour,81
lui,lui,51
répondre,répondre,14
",",",",p
par,par,81
crainte,crainte,22
du,de,81
du,le,71
souffle,souffle,21
de,de,81
sa,son,73
bouche,bouche,22
qu',que,83
elle,il,51
sentait,sentir,18
déjà,déjà,60
sur,sur,81
ses,son,73
lèvres,lèvre,22
",",",",p
et,et,82
par,par,81
crainte,crainte,22
aussi,aussi,60
de,de,81
ses,son,73
yeux,oeil,21
dont,dont,52
le,le,71
regard,regard,21
l',le,52
aurait,avoir,16
gênée,gêner,12
/.,/.,P
il,il,51
lui,lui,51
disait,dire,18
des,de,81
des,le,71
gamineries,gaminerie,22
galantes,galant,30
",",",",p
des,de,81
des,le,71
niaiseries,niaiserie,22
drôles,drôle,30
",",",",p
des,de,81
des,le,71
compliments,compliment,21
plaisants,plaisant,30
et,et,82
gentils,gentil,30
/.,/.,P
Christiane,Christiane,20
ne,ne,60
parlait,parler,18
guère,guère,60
",",",",p
alourdie,alourdi,31
",",",",p
malade,malade,30
de,de,81
sa,son,73
grossesse,grossesse,22
/.,/.,P
et,et,82
Paul,Paul,20
semblait,sembler,18
triste,triste,30
",",",",p
préoccupé,préoccupé,31
/.,/.,P
seul,seul,30
",",",",p
le,le,71
marquis,marquis,21
causait,causer,18
sans,sans,81
trouble,trouble,21
et,et,82
sans,sans,81
souci,souci,21
",",",",p
avec,avec,81
sa,son,73
bonne,bon,30
grâce,grâce,22
enjouée,enjoué,30
de,de,81
vieux,vieux,30
gentilhomme,gentilhomme,21
égoïste,égoïste,30
/.,/.,P
on,on,51
descendit,descendre,19
au,à,81
au,le,71
parc,parc,21
de,de,81
Royat,Royat,20
pour,pour,81
écouter,écouter,14
la,le,71
musique,musique,22
",",",",p
et,et,82
Gontran,Gontran,20
",",",",p
prenant,prendre,13
le,le,71
bras,bras,21
de,de,81
Charlotte,Charlotte,20
",",",",p
partit,partir,19
avec,avec,81
elle,il,51
en,en,81
avant,avant,21
/.,/.,P
l',le,71
armée,armée,22
de,de,81
baigneurs,baigneur,21
",",",",p
sur,sur,81
les,le,71
chaises,chaise,22
",",",",p
autour,autour,60
du,de,81
du,le,71
kiosque,kiosque,21
où,où,60
le,le,71
chef,chef,21
d',de,81
orchestre,orchestre,21
battait,battre,18
la,le,71
mesure,mesure,22
aux,à,81
aux,le,71
cuivres,cuivre,21
et,et,82
aux,à,81
aux,le,71
violons,violon,21
",",",",p
regardait,regarder,18
défiler,défiler,14
les,le,71
promeneurs,promeneur,21
/.,/.,P
les,le,71
femmes,femme,22
montraient,montrer,18
leurs,leur,73
robes,robe,22
",",",",p
leurs,leur,73
pieds,pied,21
allongés,allongé,31
jusqu',jusque,81
au,à,81
au,le,71
barreau,barreau,21
de,de,81
la,le,71
chaise,chaise,22
voisine,voisiner,17
",",",",p
leurs,leur,73
fraîches,frais,30
coiffures,coiffure,22
d',de,81
été,été,21
qui,qui,52
les,le,52
faisaient,faire,18
plus,plus,60
charmantes,charmant,30
/.,/.,P
Charlotte,Charlotte,20
et,et,82
Gontran,Gontran,20
erraient,errer,18
entre,entre,81
les,le,71
gens,gens,21
assis,assis,31
",",",",p
cherchant,chercher,13
des,de,81
des,le,71
figures,figure,22
comiques,comique,30
pour,pour,81
exciter,exciter,14
leurs,leur,73
plaisanteries,plaisanterie,22
/.,/.,P
il,il,51
entendit,entendre,19
à,à,81
tout,tout,75
instant,instant,21
qu',que,83
on,on,51
disait,dire,18
derrière,derrière,81
eux,ils,51
:,:,p
“,“,p
tiens,tenir,17
!,!,p
une,un,71
jolie,joli,30
personne,personne,22
/.,/.,P
“,“,p
il,il,51
était,être,18
flatté,flatter,12
et,et,82
se,se,51
demandait,demander,18
si,si,83
on,on,51
la,le,52
prenait,prendre,18
pour,pour,81
sa,son,73
soeur,soeur,22
",",",",p
pour,pour,81
femme,femme,22
ou,ou,82
pour,pour,81
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
Christiane,Christiane,20
",",",",p
assise,assise,22
entre,entre,81
son,son,73
père,père,21
et,et,82
Paul,Paul,20
",",",",p
les,le,52
vit,voir,19
passer,passer,14
plusieurs,plusieurs,75
fois,fois,22
",",",",p
et,et,82
trouvant,trouver,13
qu',que,83
ils,ils,51
avaient,avoir,18
“,“,p
l',le,71
air,air,21
un,un,71
peu,peu,60
jeune,jeune,30
“,“,p
",",",",p
elle,il,51
les,le,52
appelait,appeler,18
pour,pour,81
les,le,52
calmer,calmer,14
/.,/.,P
mais,mais,82
ils,ils,51
ne,ne,60
l',le,52
écoutaient,écouter,18
point,point,60
et,et,82
continuaient,continuer,18
à,à,81
vagabonder,vagabonder,14
dans,dans,81
la,le,71
foule,foule,22
en,en,81
s',se,51
amusant,amuser,13
de,de,81
tout,tout,75
leur,leur,73
coeur,coeur,21
/.,/.,P
elle,il,51
dit,dire,17
tout,tout,60
bas,bas,60
à,à,81
Paul,Paul,20
Brétigny,Brétigny,20
:,:,p
“,“,p
il,il,51
finirait,finir,16
par,par,81
la,le,52
compromettre,compromettre,14
/.,/.,P
il,il,51
faudra,falloir,15
que,que,83
nous,nous,51
lui,lui,51
parlions,parler,17
ce,ce,74
soir,soir,21
",",",",p
en,en,81
rentrant,rentrer,13
/.,/.,P
“,“,p
Paul,Paul,20
répondit,répondre,19
:,:,p
“,“,p
j',je,51
y,y,52
avais,avoir,18
déjà,déjà,60
songé,songer,12
/.,/.,P
vous,vous,51
avez,avoir,17
tout,tout,60
à,à,81
fait,fait,21
raison,raison,22
/.,/.,P
“,“,p
on,on,51
alla,aller,19
dîner,dîner,14
dans,dans,81
un,un,52
des,de,81
des,le,71
restaurants,restaurant,21
de,de,81
Clermont-Ferrand,Clermont-Ferrand,20
",",",",p
ceux,celui,52
de,de,81
Royat,Royat,20
ne,ne,60
valant,valoir,13
rien,rien,52
",",",",p
au,à,81
au,le,71
dire,dire,21
du,de,81
du,le,71
marquis,marquis,21
qui,qui,52
était,être,18
gourmand,gourmand,30
",",",",p
et,et,82
on,on,51
rentra,rentrer,19
",",",",p
la,le,71
nuit,nuit,22
tombée,tombé,31
/.,/.,P
Charlotte,Charlotte,20
était,être,18
devenue,devenir,12
sérieuse,sérieux,30
",",",",p
Gontran,Gontran,20
lui,lui,51
ayant,avoir,13
fortement,fortement,60
serré,serrer,12
la,le,71
main,main,22
en,en,81
lui,lui,51
donnant,donner,13
ses,son,73
gants,gant,21
",",",",p
pour,pour,81
quitter,quitter,14
la,le,71
table,table,22
/.,/.,P
sa,son,73
conscience,conscience,22
de,de,81
fillette,fillette,22
s',se,51
inquiétait,inquiéter,18
tout,tout,60
à,à,81
coup,coup,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
aveu,aveu,21
",",",",p
cela,cela,52
!,!,p
une,un,71
démarche,démarche,22
!,!,p
une,un,71
inconvenance,inconvenance,22
/!,/!,P
qu',que,52
aurait,avoir,16
elle,il,51
dû,devoir,12
faire,faire,14
/?,/?,P
lui,lui,51
parler,parler,14
?,?,p
mais,mais,82
quoi,quoi,52
lui,lui,51
dire,dire,14
/?,/?,P
se,se,51
fâcher,fâcher,14
eût,avoir,19
été,être,12
ridicule,ridicule,30
/!,/!,P
il,il,51
fallait,falloir,18
tant,tant,60
de,de,81
tact,tact,21
dans,dans,81
ces,ce,74
circonstances,circonstance,22
là,là,60
/!,/!,P
mais,mais,82
en,en,81
ne,ne,60
faisant,faire,13
rien,rien,52
",",",",p
en,en,81
ne,ne,60
disant,dire,13
rien,rien,52
",",",",p
elle,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
accepter,accepter,14
son,son,73
avance,avance,22
",",",",p
de,de,81
devenir,devenir,14
sa,son,73
complice,complice,21
",",",",p
de,de,81
répondre,répondre,14
“,“,p
oui,oui,60
“,“,p
à,à,81
cette,ce,74
pression,pression,22
de,de,81
main,main,22
/.,/.,P
et,et,82
elle,il,51
pesait,peser,18
la,le,71
situation,situation,22
",",",",p
s',se,51
accusant,accuser,13
d',de,81
avoir,avoir,14
été,être,12
trop,trop,60
gaie,gai,30
et,et,82
trop,trop,60
familière,familier,30
à,à,81
Royat,Royat,20
",",",",p
trouvant,trouver,13
à,à,81
présent,présent,21
que,que,83
sa,son,73
soeur,soeur,22
avait,avoir,18
raison,raison,22
",",",",p
qu',que,83
elle,il,51
s',se,51
était,être,18
compromise,compromettre,12
",",",",p
perdue,perdre,12
/!,/!,P
la,le,71
voiture,voiture,22
roulait,rouler,18
sur,sur,81
la,le,71
route,route,22
",",",",p
Paul,Paul,20
et,et,82
Gontran,Gontran,20
fumaient,fumer,18
en,en,81
silence,silence,21
",",",",p
le,le,71
marquis,marquis,21
dormait,dormir,18
",",",",p
Christiane,Christiane,20
regardait,regarder,18
les,le,71
étoiles,étoile,22
",",",",p
et,et,82
Charlotte,Charlotte,20
retenait,retenir,18
à grand'peine,à grand-peine,60
ses,son,73
larmes,larme,22
",",",",p
car,car,82
elle,il,51
avait,avoir,18
bu,boire,12
trois,trois,72
verres,verre,21
de,de,81
champagne,champagne,21
/.,/.,P
lorsqu',lorsque,83
on,on,51
fut,être,19
revenu,revenir,12
",",",",p
Christiane,Christiane,20
dit,dire,19
à,à,81
son,son,73
père,père,21
:,:,p
“,“,p
comme,comme,83
il,il,51
est,être,17
nuit,nuit,22
",",",",p
tu,tu,51
vas,aller,17
reconduire,reconduire,14
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
“,“,p
le,le,71
marquis,marquis,21
offrit,offrir,19
son,son,73
bras,bras,21
et,et,82
s',se,51
éloigna,éloigner,19
aussitôt,aussitôt,60
avec,avec,81
elle,il,51
/.,/.,P
Paul,Paul,20
prit,prendre,19
Gontran,Gontran,20
par,par,81
les,le,71
épaules,épaule,22
et,et,82
lui,lui,51
murmura,murmurer,19
dans,dans,81
l',le,71
oreille,oreille,22
:,:,p
“,“,p
viens,venir,17
causer,causer,14
cinq,cinq,72
minutes,minute,22
avec,avec,81
ta,ton,73
soeur,soeur,22
et,et,82
avec,avec,81
moi,moi,51
/.,/.,P
“,“,p
et,et,82
ils,ils,51
montèrent,monter,19
dans,dans,81
le,le,71
petit,petit,30
salon,salon,21
communiquant,communiquer,13
avec,avec,81
les,le,71
chambres,chambre,22
d',de,81
Andermatt,Andermatt,20
et,et,82
de,de,81
sa,son,73
femme,femme,22
/.,/.,P
dès,dès,81
qu',que,83
ils,ils,51
furent,être,19
assis,asseoir,12
:,:,p
“,“,p
écoute,écouter,17
",",",",p
dit,dire,19
Christiane,Christiane,20
",",",",p
monsieur,monsieur,21
Paul,Paul,20
et,et,82
moi,moi,51
nous,nous,51
voulons,vouloir,17
te,tu,51
faire,faire,14
de,de,81
la,le,71
morale,morale,22
/.,/.,P
-,-,p
de,de,81
la,le,71
morale,morale,22
!,!,p
/…,/…,P
mais,mais,82
à,à,81
propos,propos,21
de,de,81
quoi,quoi,52
/?,/?,P
je,je,51
suis,être,17
sage,sage,30
comme,comme,83
une,un,71
image,image,22
",",",",p
faute,faute,22
d',de,81
occasions,occasion,22
/.,/.,P
ne,ne,60
plaisante,plaisanter,17
pas,pas,60
/.,/.,P
tu,tu,51
fais,faire,17
une,un,71
chose,chose,22
très,très,60
imprudente,imprudent,30
et,et,82
très,très,60
dangereuse,dangereux,30
sans,sans,81
y,y,52
penser,penser,14
/.,/.,P
tu,tu,51
compromets,compromettre,17
cette,ce,74
petite,petite,22
/.,/.,P
“,“,p
il,il,51
parut,paraître,19
fort,fort,60
étonné,étonné,31
/.,/.,P
“,“,p
qui,qui,52
ça,ça,52
?,?,p
/…,/…,P
Charlotte,Charlotte,20
/?,/?,P
oui,oui,60
",",",",p
Charlotte,Charlotte,20
/!,/!,P
je,je,51
compromets,compromettre,17
Charlotte,Charlotte,20
?,?,p
/…,/…,P
moi,moi,51
?,?,p
/…,/…,P
-,-,p
oui,oui,60
",",",",p
tu,tu,51
la,le,52
compromets,compromettre,17
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
en,en,52
parle,parler,17
ici,ici,60
",",",",p
et,et,82
tantôt,tantôt,60
encore,encore,60
",",",",p
dans,dans,81
le,le,71
parc,parc,21
de,de,81
Royat,Royat,20
",",",",p
vous,vous,51
avez,avoir,17
été,être,12
bien,bien,60
/…,/…,P
bien,bien,60
…,…,p
légers,léger,30
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
Brétigny,Brétigny,20
/?,/?,P
Paul,Paul,20
répondit,répondre,19
:,:,p
“,“,p
oui,oui,60
",",",",p
madame,madame,22
",",",",p
je,je,51
partage,partager,17
tout,tout,60
à,à,81
fait,fait,21
votre,votre,73
sentiment,sentiment,21
/.,/.,P
“,“,p
Gontran,Gontran,20
tourna,tourner,19
sa,son,73
chaise,chaise,22
",",",",p
l',le,52
enfourcha,enfourcher,19
comme,comme,83
un,un,71
cheval,cheval,21
",",",",p
prit,prendre,19
un,un,71
nouveau,nouveau,30
cigare,cigare,21
",",",",p
l',le,52
alluma,allumer,19
",",",",p
puis,puis,60
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
/.,/.,P
“,“,p
ah,ah,93
/!,/!,P
donc,donc,82
",",",",p
je,je,51
compromets,compromettre,17
Charlotte,Charlotte,20
Oriol,Oriol,20
/?,/?,P
il,il,51
attendit,attendre,19
quelques,quelque,75
secondes,seconde,22
pour,pour,81
voir,voir,14
l',le,71
effet,effet,21
de,de,81
sa,son,73
réponse,réponse,22
",",",",p
puis,puis,60
déclara,déclarer,19
:,:,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
qu',que,52
est,être,17
ce,ce,52
qui,qui,52
vous,vous,51
dit,dire,19
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
l',le,52
épouser,épouser,14
/?,/?,P
Christiane,Christiane,20
fit,faire,19
un,un,71
sursaut,sursaut,21
de,de,81
stupéfaction,stupéfaction,22
/.,/.,P
“,“,p
l',le,52
épouser,épouser,14
/?,/?,P
toi,toi,51
?,?,p
/…,/…,P
mais,mais,82
tu,tu,51
es,être,17
fou,fou,30
!,!,p
/…,/…,P
-,-,p
pourquoi,pourquoi,60
ça,ça,52
/?,/?,P
cette,ce,74
…,…,p
cette,ce,74
petite,petite,22
…,…,p
paysanne,paysanne,22
/…,/…,P
-,-,p
tralala,tralala,21
…,…,p
des,de,81
des,le,71
préjugés,préjugé,21
/…,/…,P
est,être,17
ce,ce,52
ton,ton,73
mari,mari,21
qui,qui,52
te,tu,51
les,le,52
apprend,apprendre,17
?,?,p
/…,/…,P
“,“,p
comme,comme,83
elle,il,51
ne,ne,60
répondait,répondre,18
rien,rien,52
à,à,81
cet,ce,74
argument,argument,21
direct,direct,30
",",",",p
il,il,51
reprit,reprendre,19
",",",",p
faisant,faire,13
lui-même,lui-même,51
les,le,71
demandes,demande,22
et,et,82
les,le,71
réponses,réponse,22
:,:,p
“,“,p
est,être,17
elle,il,51
jolie,joli,30
/?,/?,P
oui,oui,60
/!,/!,P
est,être,17
elle,il,51
bien,bien,60
élevée,élever,12
/?,/?,P
oui,oui,60
/!,/!,P
et,et,82
plus,plus,60
naïve,naïf,30
",",",",p
et,et,82
plus,plus,60
gentille,gentil,30
",",",",p
et,et,82
plus,plus,60
simple,simple,30
",",",",p
et,et,82
plus,plus,60
franche,franc,30
que,que,83
les,le,71
filles,fille,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
elle,il,51
en,en,52
sait,savoir,17
autant,autant,60
qu',que,83
une,un,71
autre,autre,52
",",",",p
car,car,82
elle,il,51
parle,parler,17
anglais,anglais,21
et,et,82
auvergnat,auvergnat,21
",",",",p
ce,ce,52
qui,qui,52
fait,faire,17
deux,deux,72
langues,langue,22
étrangères,étranger,30
/.,/.,P
elle,il,51
sera,être,15
riche,riche,30
autant,autant,60
qu',que,83
une,un,71
héritière,héritière,22
du,de,81
du,le,71
ci-devant,ci-devant,21
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
qu',que,52
on,on,51
devrait,devoir,16
baptiser,baptiser,14
faubourg,faubourg,21
de,de,81
Sainte Dèche,Sainte Dèche,20
",",",",p
et,et,82
",",",",p
enfin,enfin,60
",",",",p
si,si,83
elle,il,51
est,être,17
fille,fille,22
d',de,81
un,un,71
paysan,paysan,21
",",",",p
elle,il,51
n',ne,60
en,en,52
sera,être,15
que,que,83
plus,plus,60
saine,sain,30
pour,pour,81
me,je,51
donner,donner,14
de,de,81
beaux,beau,30
enfants,enfant,21
/…,/…,P
voilà,voilà,81
/…,/…,P
“,“,p
comme,comme,83
il,il,51
avait,avoir,18
toujours,toujours,60
l',le,71
air,air,21
de,de,81
rire,rire,14
et,et,82
de,de,81
plaisanter,plaisanter,14
",",",",p
Christiane,Christiane,20
demanda,demander,19
en,en,81
hésitant,hésiter,13
:,:,p
“,“,p
voyons,voir,17
",",",",p
parles,parler,17
tu,tu,51
sérieusement,sérieusement,60
/?,/?,P
eh,eh,93
parbleu,parbleu,93
/!,/!,P
elle,il,51
est,être,17
charmante,charmant,30
",",",",p
cette,ce,74
fillette,fillette,22
/.,/.,P
elle,il,51
a,avoir,17
bon,bon,30
coeur,coeur,21
et,et,82
jolie,joli,30
figure,figure,22
",",",",p
gai,gai,30
caractère,caractère,21
et,et,82
belle,beau,30
humeur,humeur,22
",",",",p
la,le,71
joue,joue,22
rose,rose,30
",",",",p
l',le,71
oeil,oeil,21
clair,clair,30
",",",",p
la,le,71
dent,dent,22
blanche,blanc,30
",",",",p
la,le,71
lèvre,lèvre,22
rouge,rouge,30
",",",",p
le,le,71
cheveu,cheveu,21
long,long,30
",",",",p
luisant,luisant,30
",",",",p
épais,épais,30
et,et,82
souple,souple,30
;,;,p
et,et,82
son,son,73
vigneron,vigneron,21
de,de,81
père,père,21
sera,être,15
riche,riche,30
comme,comme,83
un,un,71
Crésus,Crésus,20
",",",",p
grâce,grâce,22
à,à,81
ton,ton,73
mari,mari,21
",",",",p
ma,mon,73
chère,cher,30
soeur,soeur,22
/.,/.,P
que,que,52
veux,vouloir,17
tu,tu,51
de,de,81
plus,plus,60
/?,/?,P
fille,fille,22
d',de,81
un,un,71
paysan,paysan,21
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
la,le,71
fille,fille,22
d',de,81
un,un,71
paysan,paysan,21
ne,ne,60
vaut,valoir,17
elle,il,51
pas,pas,60
toutes,tout,75
les,le,71
filles,fille,22
de,de,81
la,le,71
finance,finance,22
véreuse,véreux,30
qui,qui,52
payent,payer,17
si,si,60
cher,cher,60
des,de,81
des,le,71
ducs,duc,21
douteux,douteux,30
",",",",p
et,et,82
toutes,tout,75
les,le,71
filles,fille,22
de,de,81
la,le,71
cocoterie,cocoterie,22
titrée,titré,31
que,que,52
nous,nous,51
a,avoir,17
donnée,donner,12
l',le,71
Empire,empire,21
",",",",p
et,et,82
toutes,tout,75
les,le,71
filles,fille,22
à,à,81
double,double,30
père,père,21
qu',que,83
on,on,51
rencontre,rencontrer,17
dans,dans,81
la,le,71
société,société,22
/?,/?,P
mais,mais,82
si,si,83
je,je,51
l',le,52
épousais,épouser,18
",",",",p
cette,ce,74
fille,fille,22
là,là,60
",",",",p
je,je,51
ferais,faire,16
le,le,71
premier,premier,72
acte,acte,21
sage,sage,30
et,et,82
raisonnable,raisonnable,30
de,de,81
ma,mon,73
vie,vie,22
/…,/…,P
“,“,p
Christiane,Christiane,20
réfléchissait,réfléchir,18
",",",",p
puis,puis,60
soudain,soudain,30
",",",",p
convaincue,convaincu,31
",",",",p
conquise,conquis,31
",",",",p
ravie,ravi,31
",",",",p
elle,il,51
s',se,51
écria,écrier,19
:,:,p
“,“,p
mais,mais,82
c',ce,52
est,être,17
vrai,vrai,30
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
dit,dire,19
/!,/!,P
c',ce,52
est,être,17
tout,tout,60
à,à,81
fait,fait,21
vrai,vrai,30
",",",",p
tout,tout,60
à,à,81
fait,fait,21
juste,juste,30
!,!,p
/…,/…,P
alors,alors,60
tu,tu,51
l',le,52
épouses,épouser,17
",",",",p
mon,mon,73
petit,petit,30
Gontran,Gontran,20
?,?,p
/…,/…,P
“,“,p
ce,ce,52
fut,être,19
lui,lui,51
",",",",p
alors,alors,60
",",",",p
qui,qui,52
la,le,52
calma,calmer,19
/.,/.,P
“,“,p
pas,pas,60
si,si,60
vite,vite,60
…,…,p
pas,pas,60
si,si,60
vite,vite,60
…,…,p
laisse,laisser,17
moi,moi,51
réfléchir,réfléchir,14
à,à,81
mon,mon,73
tour,tour,21
/.,/.,P
je,je,51
constate,constater,17
seulement,seulement,60
:,:,p
si,si,83
je,je,51
l',le,52
épousais,épouser,18
je,je,51
ferais,faire,16
le,le,71
premier,premier,72
acte,acte,21
sage,sage,30
et,et,82
raisonnable,raisonnable,30
de,de,81
ma,mon,73
vie,vie,22
/.,/.,P
ça,ça,52
ne,ne,60
veut,vouloir,17
pas,pas,60
dire,dire,14
encore,encore,60
que,que,83
je,je,51
l',le,52
épouserai,épouser,15
;,;,p
mais,mais,82
j',je,51
y,y,52
songe,songer,17
",",",",p
je,je,51
l',le,52
étudie,étudier,17
",",",",p
je,je,51
lui,lui,51
fais,faire,17
un,un,71
peu,peu,60
la,le,71
cour,cour,22
pour,pour,81
voir,voir,14
si,si,83
elle,il,51
me,je,51
plaira,plaire,15
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
enfin,enfin,60
je,je,51
ne,ne,60
te,tu,51
réponds,répondre,17
ni,ni,82
oui,oui,60
ni,ni,82
non,non,60
",",",",p
mais,mais,82
c',ce,52
est,être,17
plus,plus,60
près,près,81
de,de,81
oui,oui,60
que,que,83
de,de,81
non,non,60
/.,/.,P
“,“,p
Christiane,Christiane,20
se,se,51
tourna,tourner,19
vers,vers,81
Paul,Paul,20
:,:,p
“,“,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
en,en,52
pensez,penser,17
",",",",p
monsieur,monsieur,21
Brétigny,Brétigny,20
/?,/?,P
elle,il,51
l',le,52
appelait,appeler,18
tantôt,tantôt,60
monsieur,monsieur,21
Brétigny,Brétigny,20
",",",",p
et,et,82
tantôt,tantôt,60
Brétigny,Brétigny,20
tout,tout,60
court,court,30
/.,/.,P
lui,lui,51
",",",",p
toujours,toujours,60
séduit,séduit,31
par,par,81
les,le,71
choses,chose,22
où,où,60
il,il,51
croyait,croire,18
voir,voir,14
de,de,81
la,le,71
grandeur,grandeur,22
",",",",p
par,par,81
des,de,81
des,le,71
mésalliances,mésalliance,22
qui,qui,52
lui,lui,51
paraissaient,paraître,18
généreuses,généreux,30
",",",",p
par,par,81
tout,tout,75
l',le,71
apparat,apparat,21
sentimental,sentimental,30
où,où,60
se,se,51
cache,cacher,17
le,le,71
coeur,coeur,21
humain,humain,30
",",",",p
répondit,répondre,19
:,:,p
“,“,p
moi,moi,51
",",",",p
je,je,51
trouve,trouver,17
qu',que,83
il,il,51
a,avoir,17
raison,raison,22
maintenant,maintenant,60
/.,/.,P
si,si,83
elle,il,51
lui,lui,51
plaît,plaire,17
",",",",p
qu',que,83
il,il,51
l',le,52
épouse,épouser,17
",",",",p
il,il,51
ne,ne,60
pourrait,pouvoir,16
trouver,trouver,14
mieux,mieux,60
/…,/…,P
“,“,p
mais,mais,82
le,le,71
marquis,marquis,21
et,et,82
Andermatt,Andermatt,20
rentraient,rentrer,18
",",",",p
qui,qui,52
les,le,52
firent,faire,19
parler,parler,14
d',de,81
autre,autre,75
chose,chose,22
;,;,p
et,et,82
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
allèrent,aller,19
au,à,81
au,le,71
casino,casino,21
voir,voir,14
si,si,83
la,le,71
salle,salle,22
de,de,81
jeu,jeu,21
n',ne,60
était,être,18
pas,pas,60
encore,encore,60
fermée,fermer,12
/.,/.,P
à,à,81
dater,dater,14
de,de,81
ce,ce,74
jour,jour,21
",",",",p
Christiane,Christiane,20
et,et,82
Paul,Paul,20
semblèrent,sembler,19
favoriser,favoriser,14
la,le,71
cour,cour,22
ouverte,ouvert,31
que,que,83
Gontran,Gontran,20
faisait,faire,18
à,à,81
Charlotte,Charlotte,20
/.,/.,P
on,on,51
invitait,inviter,18
plus,plus,60
souvent,souvent,60
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
on,on,51
la,le,52
gardait,garder,18
à,à,81
dîner,dîner,14
",",",",p
on,on,51
la,le,52
traitait,traiter,18
enfin,enfin,60
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
fait,faire,12
déjà,déjà,60
partie,partie,22
de,de,81
la,le,71
famille,famille,22
/.,/.,P
elle,il,51
voyait,voir,18
bien,bien,60
tout,tout,52
cela,cela,52
",",",",p
le,le,52
comprenait,comprendre,18
",",",",p
s',se,51
en,en,52
affolait,affoler,18
/!,/!,P
sa,son,73
petite,petit,30
tête,tête,22
battait,battre,18
les,le,71
champs,champ,21
et,et,82
bâtissait,bâtir,18
en,en,81
Espagne,Espagne,20
de,de,81
fantastiques,fantastique,30
palais,palais,21
/.,/.,P
Gontran,Gontran,20
",",",",p
cependant,cependant,82
",",",",p
ne,ne,60
lui,lui,51
avait,avoir,18
rien,rien,52
dit,dire,12
;,;,p
mais,mais,82
son,son,73
allure,allure,22
",",",",p
toutes,tout,75
ses,son,73
paroles,parole,22
",",",",p
le,le,71
ton,ton,21
qu',que,83
il,il,51
prenait,prendre,18
avec,avec,81
elle,il,51
",",",",p
son,son,73
air,air,21
de,de,81
galanterie,galanterie,22
plus,plus,60
sérieuse,sérieux,30
",",",",p
la,le,71
