12334
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-deuxième extrait>,<>,<>
en,en,81
pointe,pointe,22
-,-,p
ne,ne,60
considérait,considérer,18
que,que,83
les,le,71
systèmes,système,21
/.,/.,P
Regimbart,Regimbart,20
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
ne,ne,60
voyait,voir,18
dans,dans,81
les,le,71
faits,fait,21
que,que,83
les,le,71
faits,fait,21
/.,/.,P
ce,ce,52
qui,qui,52
l',le,52
inquiétait,inquiéter,18
principalement,principalement,60
",",",",p
c',ce,52
était,être,18
la,le,71
frontière,frontière,22
du,de,81
du,le,71
Rhin,Rhin,20
/.,/.,P
il,il,51
prétendait,prétendre,18
se,se,51
connaître,connaître,14
en,en,81
artillerie,artillerie,22
",",",",p
et,et,82
se,se,51
faisait,faire,18
habiller,habiller,14
par,par,81
le,le,71
tailleur,tailleur,21
de,de,81
l',le,71
école,école,22
polytechnique,polytechnique,30
/.,/.,P
le,le,71
premier,premier,72
jour,jour,21
",",",",p
quand,quand,83
on,on,51
lui,lui,51
offrit,offrir,19
des,de,81
des,le,71
gâteaux,gâteau,21
",",",",p
il,il,51
leva,lever,19
les,le,71
épaules,épaule,22
dédaigneusement,dédaigneusement,60
",",",",p
en,en,81
disant,dire,13
que,que,83
cela,cela,52
convenait,convenir,18
aux,à,81
aux,le,71
femmes,femme,22
;,;,p
et,et,82
il,il,51
ne,ne,60
parut,paraître,19
guère,guère,60
plus,plus,60
gracieux,gracieux,30
les,le,71
fois,fois,22
suivantes,suivant,30
/.,/.,P
du,de,81
du,le,71
moment,moment,21
que,que,83
les,le,71
idées,idée,22
atteignaient,atteindre,18
une,un,71
certaine,certain,75
hauteur,hauteur,22
",",",",p
il,il,51
murmurait,murmurer,18
:,:,p
“,“,p
oh,oh,93
!,!,p
pas,pas,60
d',de,81
utopies,utopie,22
",",",",p
pas,pas,60
de,de,81
rêves,rêve,21
!,!,p
“,“,p
en,en,81
fait,fait,21
d',de,81
art,art,21
(,(,p
bien,bien,60
qu',que,83
il,il,51
fréquentât,fréquenter,18
les,le,71
ateliers,atelier,21
",",",",p
où,où,60
quelquefois,quelquefois,60
il,il,51
donnait,donner,18
",",",",p
par,par,81
complaisance,complaisance,22
",",",",p
une,un,71
leçon,leçon,22
d',de,81
escrime,escrime,22
),),p
",",",",p
ses,son,73
opinions,opinion,22
n',ne,60
étaient,être,18
point,point,60
transcendantes,transcendant,30
/.,/.,P
il,il,51
comparait,comparer,18
le,le,71
style,style,21
de,de,81
monsieur,monsieur,21
Marrast,Marrast,20
à,à,81
celui,celui,52
de,de,81
Voltaire,Voltaire,20
et,et,82
mademoiselle,mademoiselle,22
Vatnaz,Vatnaz,20
à,à,81
madame,madame,22
de,de,81
Staël,Staël,20
",",",",p
à,à,81
cause,cause,22
d',de,81
une,un,71
ode,ode,22
sur,sur,81
la,le,71
Pologne,Pologne,20
",",",",p
“,“,p
où,où,60
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
coeur,coeur,21
“,“,p
/.,/.,P
enfin,enfin,60
",",",",p
Regimbart,Regimbart,20
assommait,assommer,18
tout,tout,75
le,le,71
monde,monde,21
et,et,82
particulièrement,particulièrement,60
Deslauriers,Deslauriers,20
",",",",p
car,car,82
le,le,71
citoyen,citoyen,21
était,être,18
un,un,71
familier,familier,21
d',de,81
Arnoux,Arnoux,20
/.,/.,P
or,or,82
",",",",p
le,le,71
clerc,clerc,21
ambitionnait,ambitionner,18
de,de,81
fréquenter,fréquenter,14
cette,ce,74
maison,maison,22
",",",",p
espérant,espérer,13
y,y,52
faire,faire,14
des,de,81
des,le,71
connaissances,connaissance,22
profitables,profitable,30
/.,/.,P
“,“,p
quand,quand,83
donc,donc,82
m',je,51
y,y,52
mèneras,mener,15
tu,tu,51
?,?,p
“,“,p
disait,dire,18
il,il,51
/.,/.,P
Arnoux,Arnoux,20
se,se,51
trouvait,trouver,18
surchargé,surchargé,31
de,de,81
besogne,besogne,22
",",",",p
ou,ou,82
bien,bien,60
il,il,51
partait,partir,18
en,en,81
voyage,voyage,21
;,;,p
puis,puis,60
",",",",p
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
peine,peine,22
",",",",p
les,le,71
dîners,dîner,21
allaient,aller,18
finir,finir,14
/.,/.,P
s',si,83
il,il,51
avait,avoir,18
fallu,falloir,12
risquer,risquer,14
sa,son,73
vie,vie,22
pour,pour,81
son,son,73
ami,ami,21
",",",",p
Frédéric,Frédéric,20
l',le,52
eût,avoir,19
fait,faire,12
/.,/.,P
mais,mais,82
comme,comme,83
il,il,51
tenait,tenir,18
à,à,81
se,se,51
montrer,montrer,14
le,le,71
plus,plus,60
avantageusement,avantageusement,60
possible,possible,30
",",",",p
comme,comme,83
il,il,51
surveillait,surveiller,18
son,son,73
langage,langage,21
",",",",p
ses,son,73
manières,manière,22
et,et,82
son,son,73
costume,costume,21
jusqu',jusque,81
à,à,81
venir,venir,14
au,à,81
au,le,71
bureau,bureau,21
de,de,81
l',le,71
art,art,21
industriel,industriel,30
toujours,toujours,60
irréprochablement,irréprochablement,60
ganté,ganté,31
",",",",p
il,il,51
avait,avoir,18
peur,peur,22
que,que,83
Deslauriers,Deslauriers,20
",",",",p
avec,avec,81
son,son,73
vieil,vieux,30
habit,habit,21
noir,noir,30
",",",",p
sa,son,73
tournure,tournure,22
de,de,81
procureur,procureur,21
et,et,82
ses,son,73
discours,discours,21
outrecuidants,outrecuidant,30
",",",",p
ne,ne,60
déplût,déplaire,18
à,à,81
madame,madame,22
Arnoux,Arnoux,20
",",",",p
ce,ce,52
qui,qui,52
pouvait,pouvoir,18
le,le,52
compromettre,compromettre,14
",",",",p
le,le,52
rabaisser,rabaisser,14
lui-même,lui-même,51
auprès,auprès,60
d',de,81
elle,il,51
/.,/.,P
il,il,51
admettait,admettre,18
bien,bien,60
les,le,71
autres,autre,52
",",",",p
mais,mais,82
celui-là,celui-là,52
",",",",p
précisément,précisément,60
",",",",p
l',le,52
aurait,avoir,16
gêné,gêner,12
mille,mille,72
fois,fois,22
plus,plus,60
/.,/.,P
le,le,71
clerc,clerc,21
s',se,51
apercevait,apercevoir,18
qu',que,83
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
tenir,tenir,14
sa,son,73
promesse,promesse,22
",",",",p
et,et,82
le,le,71
silence,silence,21
de,de,81
Frédéric,Frédéric,20
lui,lui,51
semblait,sembler,18
une,un,71
aggravation,aggravation,22
d',de,81
injure,injure,22
/.,/.,P
il,il,51
aurait,avoir,16
voulu,vouloir,12
le,le,52
conduire,conduire,14
absolument,absolument,60
",",",",p
le,le,52
voir,voir,14
se,se,51
développer,développer,14
d',de,81
après,après,81
l',le,71
idéal,idéal,21
de,de,81
leur,leur,73
jeunesse,jeunesse,22
;,;,p
et,et,82
sa,son,73
fainéantise,fainéantise,22
le,le,52
révoltait,révolter,18
",",",",p
comme,comme,83
une,un,71
désobéissance,désobéissance,22
et,et,82
comme,comme,83
une,un,71
trahison,trahison,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
Frédéric,Frédéric,20
",",",",p
plein,plein,30
de,de,81
l',le,71
idée,idée,22
de,de,81
madame,madame,22
Arnoux,Arnoux,20
",",",",p
parlait,parler,18
de,de,81
son,son,73
mari,mari,21
souvent,souvent,60
;,;,p
et,et,82
Deslauriers,Deslauriers,20
commença,commencer,19
une,un,71
intolérable,intolérable,30
scie,scie,22
",",",",p
consistant,consister,13
à,à,81
répéter,répéter,14
son,son,73
nom,nom,21
cent,cent,72
fois,fois,22
par,par,81
jour,jour,21
",",",",p
à,à,81
la,le,71
fin,fin,22
de,de,81
chaque,chaque,75
phrase,phrase,22
",",",",p
comme,comme,83
un,un,71
tic,tic,21
d',de,81
idiot,idiot,21
/.,/.,P
quand,quand,83
on,on,51
frappait,frapper,18
à,à,81
sa,son,73
porte,porte,22
",",",",p
il,il,51
répondait,répondre,18
:,:,p
“,“,p
entrez,entrer,17
",",",",p
Arnoux,Arnoux,20
!,!,p
“,“,p
au,à,81
au,le,71
restaurant,restaurant,21
",",",",p
il,il,51
demandait,demander,18
un,un,71
fromage,fromage,21
de,de,81
Brie,Brie,20
“,“,p
à l'instar,à l'instar,60
d',de,81
Arnoux,Arnoux,20
“,“,p
;,;,p
et,et,82
",",",",p
la,le,71
nuit,nuit,22
",",",",p
feignant,feindre,13
d',de,81
avoir,avoir,14
un,un,71
cauchemar,cauchemar,21
",",",",p
il,il,51
réveillait,réveiller,18
son,son,73
compagnon,compagnon,21
en,en,81
hurlant,hurler,13
:,:,p
“,“,p
Arnoux,Arnoux,20
/!,/!,P
Arnoux,Arnoux,20
!,!,p
“,“,p
enfin,enfin,60
",",",",p
un,un,71
jour,jour,21
",",",",p
Frédéric,Frédéric,20
",",",",p
excédé,excédé,31
",",",",p
lui,lui,51
dit,dire,19
d',de,81
une,un,71
voix,voix,22
lamentable,lamentable,30
:,:,p
-,-,p
“,“,p
mais,mais,82
laisse,laisser,17
moi,moi,51
tranquille,tranquille,30
avec,avec,81
Arnoux,Arnoux,20
!,!,p
“,“,p
-,-,p
“,“,p
jamais,jamais,60
!,!,p
“,“,p
répondit,répondre,19
le,le,71
clerc,clerc,21
/.,/.,P
toujours,toujours,60
lui,lui,51
!,!,p
lui,lui,51
partout,partout,60
!,!,p
ou,ou,82
brûlante,brûlant,30
ou,ou,82
glacée,glacé,31
/!,/!,P
l',le,71
image,image,22
de,de,81
l',le,71
Arnoux,Arnoux,20
/…,/…,P
-,-,p
“,“,p
tais,taire,17
toi,toi,51
donc,donc,82
!,!,p
s',se,51
écria,écrier,19
Frédéric,Frédéric,20
en,en,81
levant,lever,13
le,le,60
poing,poing,21
/.,/.,P
il,il,51
reprit,reprendre,19
doucement,doucement,60
:,:,p
-,-,p
“,“,p
c',ce,52
est,être,17
un,un,71
sujet,sujet,21
qui,qui,52
m',je,51
est,être,17
pénible,pénible,30
",",",",p
tu,tu,51
sais,savoir,17
bien,bien,60
/.,/.,P
“,“,p
-,-,p
“,“,p
oh,oh,93
!,!,p
pardon,pardon,21
",",",",p
mon,mon,73
bonhomme,bonhomme,21
“,“,p
",",",",p
répliqua,répliquer,19
Deslauriers,Deslauriers,20
en,en,81
s',se,51
inclinant,incliner,13
très,très,60
bas,bas,60
",",",",p
“,“,p
on,on,51
respectera,respecter,15
désormais,désormais,60
les,le,71
nerfs,nerf,21
de,de,81
mademoiselle,mademoiselle,22
/!,/!,P
pardon,pardon,21
encore,encore,60
une,un,71
fois,fois,22
/!,/!,P
mille,mille,72
excuses,excuse,22
!,!,p
“,“,p
ainsi,ainsi,60
fut,être,19
terminée,terminer,12
la,le,71
plaisanterie,plaisanterie,22
/.,/.,P
mais,mais,82
trois,trois,72
semaines,semaine,22
après,après,81
",",",",p
un,un,71
soir,soir,21
",",",",p
il,il,51
lui,lui,51
dit,dire,19
:,:,p
-,-,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
l',le,52
ai,avoir,17
vue,voir,12
tantôt,tantôt,60
",",",",p
madame,madame,22
Arnoux,Arnoux,20
!,!,p
“,“,p
-,-,p
“,“,p
où,où,60
donc,donc,82
?,?,p
“,“,p
-,-,p
“,“,p
au,à,81
au,le,71
palais,palais,21
",",",",p
avec,avec,81
Balandard,Balandard,20
",",",",p
avoué,avoué,21
;,;,p
une,un,71
femme,femme,22
brune,brun,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
de,de,81
taille,taille,22
moyenne,moyen,30
?,?,p
“,“,p
Frédéric,Frédéric,20
fit,faire,19
un,un,71
signe,signe,21
d',de,81
assentiment,assentiment,21
/.,/.,P
il,il,51
attendait,attendre,18
que,que,83
Deslauriers,Deslauriers,20
parlât,parler,18
/.,/.,P
au,à,81
au,le,71
moindre,moindre,30
mot,mot,21
d',de,81
admiration,admiration,22
",",",",p
il,il,51
se,se,51
serait,être,16
épanché,épancher,12
largement,largement,60
",",",",p
était,être,18
tout,tout,60
prêt,prêt,30
à,à,81
le,le,52
chérir,chérir,14
;,;,p
l',le,71
autre,autre,52
se,se,51
taisait,taire,18
toujours,toujours,60
;,;,p
enfin,enfin,60
",",",",p
n',ne,60
y,y,52
tenant,tenir,13
plus,plus,60
",",",",p
il,il,51
lui,lui,51
demanda,demander,19
d',de,81
un,un,71
air,air,21
indifférent,indifférent,30
ce,ce,52
qu',que,52
il,il,51
pensait,penser,18
d',de,81
elle,il,51
/.,/.,P
Deslauriers,Deslauriers,20
la,le,52
trouvait,trouver,18
“,“,p
pas,pas,60
mal,mal,60
",",",",p
sans,sans,81
avoir,avoir,14
pourtant,pourtant,60
rien,rien,52
d',de,81
extraordinaire,extraordinaire,30
“,“,p
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
tu,tu,51
trouves,trouver,17
“,“,p
",",",",p
dit,dire,19
Frédéric,Frédéric,20
/.,/.,P
arriva,arriver,19
le,le,71
mois,mois,21
d',de,81
août,août,21
",",",",p
époque,époque,22
de,de,81
son,son,73
deuxième,deuxième,72
examen,examen,21
/.,/.,P
d',de,81
après,après,81
l',le,71
opinion,opinion,22
courante,courant,30
",",",",p
quinze,quinze,72
jours,jour,21
devaient,devoir,18
suffire,suffire,14
pour,pour,81
en,en,52
préparer,préparer,14
les,le,71
matières,matière,22
/.,/.,P
Frédéric,Frédéric,20
",",",",p
ne,ne,60
doutant,douter,13
pas,pas,60
de,de,81
ses,son,73
forces,force,22
",",",",p
avala,avaler,19
d'emblée,d'emblée,60
les,le,71
quatre,quatre,72
premiers,premier,72
livres,livre,21
du,de,81
du,le,71
code,code,21
de,de,81
procédure,procédure,22
",",",",p
les,le,71
trois,trois,72
premiers,premier,72
du,de,81
du,le,71
code,code,21
pénal,pénal,30
",",",",p
plusieurs,plusieurs,75
morceaux,morceau,21
d',de,81
instruction,instruction,22
criminelle,criminel,30
et,et,82
une,un,71
partie,partie,22
du,de,81
du,le,71
code,code,21
civil,civil,30
",",",",p
avec,avec,81
les,le,71
annotations,annotation,22
de,de,81
monsieur,monsieur,21
Poncelet,Poncelet,20
/.,/.,P
la,le,71
veille,veille,22
",",",",p
Deslauriers,Deslauriers,20
lui,lui,51
fit,faire,19
faire,faire,14
une,un,71
récapitulation,récapitulation,22
qui,qui,52
se,se,51
prolongea,prolonger,19
jusqu',jusque,81
au,à,81
au,le,71
matin,matin,21
;,;,p
et,et,82
",",",",p
pour,pour,81
mettre,mettre,14
à,à,81
profit,profit,21
le,le,71
dernier,dernier,30
quart,quart,21
d',de,81
heure,heure,22
",",",",p
il,il,51
continua,continuer,19
à,à,81
l',le,52
interroger,interroger,14
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
tout,tout,60
en,en,81
marchant,marcher,13
/.,/.,P
comme,comme,83
plusieurs,plusieurs,75
examens,examen,21
se,se,51
passaient,passer,18
simultanément,simultanément,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
beaucoup,beaucoup,60
de,de,81
monde,monde,21
dans,dans,81
la,le,71
cour,cour,22
",",",",p
entre,entre,81
autres,autre,52
Hussonnet,Hussonnet,20
et,et,82
Cisy,Cisy,20
;,;,p
on,on,51
ne,ne,60
manquait,manquer,18
pas,pas,60
de,de,81
venir,venir,14
à,à,81
ces,ce,74
épreuves,épreuve,22
quand,quand,83
il,il,51
s',se,51
agissait,agir,18
des,de,81
des,le,71
camarades,camarade,21
/.,/.,P
Frédéric,Frédéric,20
endossa,endosser,19
la,le,71
robe,robe,22
noire,noir,30
traditionnelle,traditionnel,30
;,;,p
puis,puis,60
il,il,51
entra,entrer,19
suivi,suivi,31
de,de,81
la,le,71
foule,foule,22
",",",",p
avec,avec,81
trois,trois,72
autres,autre,75
étudiants,étudiant,21
",",",",p
dans,dans,81
une,un,71
grande,grand,30
pièce,pièce,22
",",",",p
éclairée,éclairé,31
par,par,81
des,de,81
des,le,71
fenêtres,fenêtre,22
sans,sans,81
rideaux,rideau,21
et,et,82
garnie,garni,31
de,de,81
banquettes,banquette,22
",",",",p
le,le,71
long,long,21
des,de,81
des,le,71
murs,mur,21
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
",",",",p
des,de,81
des,le,71
chaises,chaise,22
de,de,81
cuir,cuir,21
entouraient,entourer,18
une,un,71
table,table,22
",",",",p
décorée,décoré,31
d',de,81
un,un,71
tapis,tapis,21
vert,vert,30
/.,/.,P
elle,il,51
séparait,séparer,18
les,le,71
candidats,candidat,21
de,de,81
messieurs,monsieur,21
les,le,71
examinateurs,examinateur,21
en,en,81
robe,robe,22
rouge,rouge,30
",",",",p
tous,tout,52
portant,porter,13
des,de,81
des,le,71
chausses,chausse,22
d',de,81
hermine,hermine,22
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
avec,avec,81
des,de,81
des,le,71
toques,toque,22
à,à,81
galons,galon,21
d',de,81
or,or,21
sur,sur,81
le,le,71
chef,chef,21
/.,/.,P
Frédéric,Frédéric,20
se,se,51
trouvait,trouver,18
l',le,71
avant-dernier,avant-dernier,21
dans,dans,81
la,le,71
série,série,22
",",",",p
position,position,22
mauvaise,mauvais,30
/.,/.,P
à,à,81
la,le,71
première,premier,72
question,question,22
sur,sur,81
la,le,71
différence,différence,22
entre,entre,81
une,un,71
convention,convention,22
et,et,82
un,un,71
contrat,contrat,21
",",",",p
il,il,51
définit,définir,19
l',le,71
une,un,52
pour,pour,81
l',le,71
autre,autre,52
;,;,p
et,et,82
le,le,71
professeur,professeur,21
",",",",p
un,un,71
brave,brave,30
homme,homme,21
",",",",p
lui,lui,51
dit,dire,19
:,:,p
-,-,p
“,“,p
ne,ne,60
vous,vous,51
troublez,troubler,17
pas,pas,60
",",",",p
monsieur,monsieur,21
",",",",p
remettez,remettre,17
vous,vous,51
!,!,p
“,“,p
puis,puis,60
",",",",p
ayant,avoir,13
fait,faire,12
deux,deux,72
demandes,demande,22
faciles,facile,30
",",",",p
suivies,suivi,31
de,de,81
réponses,réponse,22
obscures,obscur,30
",",",",p
il,il,51
passa,passer,19
enfin,enfin,60
au,à,81
au,le,71
quatrième,quatrième,72
/.,/.,P
Frédéric,Frédéric,20
fut,être,19
démoralisé,démoraliser,12
par,par,81
ce,ce,74
piètre,piètre,30
commencement,commencement,21
/.,/.,P
Deslauriers,Deslauriers,20
",",",",p
en,en,81
face,face,22
",",",",p
dans,dans,81
le,le,71
public,public,21
",",",",p
lui,lui,51
faisait,faire,18
signe,signe,21
que,que,83
tout,tout,52
n',ne,60
était,être,18
pas,pas,60
encore,encore,60
perdu,perdre,12
;,;,p
et,et,82
à,à,81
la,le,71
deuxième,deuxième,72
interrogation,interrogation,22
sur,sur,81
le,le,71
droit,droit,21
criminel,criminel,30
",",",",p
il,il,51
se,se,51
montra,montrer,19
passable,passable,30
/.,/.,P
mais,mais,82
",",",",p
après,après,81
la,le,71
troisième,troisième,72
",",",",p
relative,relatif,30
au,à,81
au,le,71
testament,testament,21
mystique,mystique,30
",",",",p
l',le,71
examinateur,examinateur,21
étant,être,13
resté,rester,12
impassible,impassible,30
tout,tout,75
le,le,71
temps,temps,21
",",",",p
son,son,73
angoisse,angoisse,22
redoubla,redoubler,19
;,;,p
car,car,82
Hussonnet,Hussonnet,20
joignait,joindre,18
les,le,71
mains,main,22
comme,comme,83
pour,pour,81
applaudir,applaudir,14
",",",",p
tandis que,tandis que,83
Deslauriers,Deslauriers,20
prodiguait,prodiguer,18
des,de,81
des,le,71
haussements,haussement,21
d',de,81
épaules,épaule,22
/.,/.,P
enfin,enfin,60
le,le,71
moment,moment,21
arriva,arriver,19
où,où,60
il,il,51
fallut,falloir,19
répondre,répondre,14
sur,sur,81
la,le,71
procédure,procédure,22
/!,/!,P
il,il,51
s',se,51
agissait,agir,18
de,de,81
la,le,71
tierce,tiers,30
opposition,opposition,22
/.,/.,P
le,le,71
professeur,professeur,21
",",",",p
choqué,choqué,31
d',de,81
avoir,avoir,14
entendu,entendre,12
des,de,81
des,le,71
théories,théorie,22
contraires,contraire,30
aux,à,81
aux,le,71
siennes,sien,52
",",",",p
lui,lui,51
demanda,demander,19
d',de,81
un,un,71
ton,ton,21
brutal,brutal,30
:,:,p
-,-,p
“,“,p
et,et,82
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
est,être,17
ce,ce,52
votre,votre,73
avis,avis,21
/?,/?,P
comment,comment,60
conciliez,concilier,17
vous,vous,51
le,le,71
principe,principe,21
de,de,81
l',le,71
article,article,21
<Nombre 1351>,<>,<>
mille,mille,72
trois,trois,72
cent,cent,72
cinquante,cinquante,72
et,et,82
un,un,72
<Fin nombre>,<>,<>
du,de,81
du,le,71
code,code,21
civil,civil,30
avec,avec,81
cette,ce,74
voie,voie,22
d',de,81
attaque,attaque,22
extraordinaire,extraordinaire,30
!,!,p
“,“,p
Frédéric,Frédéric,20
se,se,51
sentait,sentir,18
un,un,71
grand,grand,30
mal,mal,21
de,de,81
tête,tête,22
",",",",p
pour,pour,81
avoir,avoir,14
passé,passer,12
la,le,71
nuit,nuit,22
sans,sans,81
dormir,dormir,14
/.,/.,P
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
",",",",p
entrant,entrer,13
par,par,81
l',le,71
intervalle,intervalle,21
d',de,81
une,un,71
jalousie,jalousie,22
",",",",p
le,le,52
frappait,frapper,18
au,à,81
au,le,71
visage,visage,21
/.,/.,P
debout,debout,60
derrière,derrière,81
sa,son,73
chaise,chaise,22
",",",",p
il,il,51
se,se,51
dandinait,dandiner,18
et,et,82
tirait,tirer,18
sa,son,73
moustache,moustache,22
/.,/.,P
-,-,p
“,“,p
j',je,51
attends,attendre,17
toujours,toujours,60
votre,votre,73
réponse,réponse,22
!,!,p
“,“,p
reprit,reprendre,19
l',le,71
homme,homme,21
à,à,81
la,le,71
toque,toque,22
d',de,81
or,or,21
/.,/.,P
et,et,82
",",",",p
comme,comme,83
le,le,71
geste,geste,21
de,de,81
Frédéric,Frédéric,20
l',le,52
agaçait,agacer,18
sans,sans,81
doute,doute,21
:,:,p
-,-,p
“,“,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
dans,dans,81
votre,votre,73
barbe,barbe,22
que,que,83
vous,vous,51
la,le,52
trouverez,trouver,15
!,!,p
“,“,p
ce,ce,74
sarcasme,sarcasme,21
causa,causer,19
un,un,71
rire,rire,21
dans,dans,81
l',le,71
auditoire,auditoire,21
;,;,p
le,le,71
professeur,professeur,21
",",",",p
flatté,flatté,31
",",",",p
s',se,51
amadoua,amadouer,19
/.,/.,P
il,il,51
lui,lui,51
fit,faire,19
deux,deux,72
questions,question,22
encore,encore,60
sur,sur,81
l',le,71
ajournement,ajournement,21
et,et,82
sur,sur,81
l',le,71
affaire,affaire,22
sommaire,sommaire,30
",",",",p
puis,puis,60
baissa,baisser,19
la,le,71
tête,tête,22
en,en,81
signe,signe,21
d',de,81
approbation,approbation,22
;,;,p
l',le,71
acte,acte,21
public,public,30
était,être,18
fini,finir,12
/.,/.,P
Frédéric,Frédéric,20
rentra,rentrer,19
dans,dans,81
le,le,71
vestibule,vestibule,21
/.,/.,P
pendant,pendant,81
que,que,83
l',le,71
huissier,huissier,21
le,le,52
dépouillait,dépouiller,18
de,de,81
sa,son,73
robe,robe,22
",",",",p
pour,pour,81
la,le,52
repasser,repasser,14
à,à,81
un,un,71
autre,autre,52
immédiatement,immédiatement,60
",",",",p
ses,son,73
amis,ami,21
l',le,52
entourèrent,entourer,19
",",",",p
en,en,81
achevant,achever,13
de,de,81
l',le,52
ahurir,ahurir,14
avec,avec,81
leurs,leur,73
opinions,opinion,22
contradictoires,contradictoire,30
sur,sur,81
le,le,71
résultat,résultat,21
de,de,81
l',le,71
examen,examen,21
/.,/.,P
on,on,51
le,le,52
proclama,proclamer,19
bientôt,bientôt,60
d',de,81
une,un,71
voix,voix,22
sonore,sonore,30
",",",",p
à,à,81
l',le,71
entrée,entrée,22
de,de,81
la,le,71
salle,salle,22
:,:,p
“,“,p
le,le,71
troisième,troisième,72
était,être,18
…,…,p
ajourné,ajourner,12
!,!,p
“,“,p
-,-,p
emballé,emballé,31
!,!,p
dit,dire,19
Hussonnet,Hussonnet,20
",",",",p
allons,aller,17
nous,nous,51
en,en,52
/!,/!,P
devant,devant,81
la,le,71
loge,loge,22
du,de,81
du,le,71
concierge,concierge,21
",",",",p
ils,ils,51
rencontrèrent,rencontrer,19
Martinon,Martinon,20
",",",",p
rouge,rouge,30
",",",",p
ému,ému,31
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
dans,dans,81
les,le,71
yeux,oeil,21
et,et,82
l',le,71
auréole,auréole,22
du,de,81
du,le,71
triomphe,triomphe,21
sur,sur,81
le,le,71
front,front,21
/.,/.,P
il,il,51
venait,venir,18
de,de,81
subir,subir,14
sans encombre,sans encombre,60
son,son,73
dernier,dernier,30
examen,examen,21
/.,/.,P
restait,rester,18
seulement,seulement,60
la,le,71
thèse,thèse,22
/.,/.,P
avant,avant,81
quinze,quinze,72
jours,jour,21
",",",",p
il,il,51
serait,être,16
licencié,licencié,21
/.,/.,P
sa,son,73
famille,famille,22
connaissait,connaître,18
un,un,71
ministre,ministre,21
",",",",p
“,“,p
une,un,71
belle,beau,30
carrière,carrière,22
“,“,p
s',se,51
ouvrait,ouvrir,18
devant,devant,81
lui,lui,51
/.,/.,P
-,-,p
“,“,p
celui-là,celui-là,52
t',tu,51
enfonce,enfoncer,17
tout,tout,60
de,de,81
même,même,60
“,“,p
",",",",p
dit,dire,19
Deslauriers,Deslauriers,20
/.,/.,P
rien,rien,52
n',ne,60
est,être,17
humiliant,humiliant,30
comme,comme,83
de,de,81
voir,voir,14
les,le,71
sots,sot,21
réussir,réussir,14
dans,dans,81
les,le,71
entreprises,entreprise,22
où,où,60
l',l',94
on,on,51
échoue,échouer,17
/.,/.,P
Frédéric,Frédéric,20
",",",",p
vexé,vexé,31
",",",",p
répondit,répondre,19
qu',que,83
il,il,51
s',se,51
en,en,52
moquait,moquer,18
/.,/.,P
ses,son,73
prétentions,prétention,22
étaient,être,18
plus,plus,60
hautes,haut,30
;,;,p
et,et,82
",",",",p
comme,comme,83
Hussonnet,Hussonnet,20
faisait,faire,18
mine,mine,22
de,de,81
s',se,51
en,en,52
aller,aller,14
",",",",p
il,il,51
le,le,52
prit,prendre,19
à,à,81
l',le,71
écart,écart,21
pour,pour,81
lui,lui,51
dire,dire,14
:,:,p
-,-,p
“,“,p
pas,pas,60
un,un,71
mot,mot,21
de,de,81
tout,tout,75
cela,cela,52
",",",",p
chez,chez,81
eux,ils,51
",",",",p
bien,bien,60
entendu,entendu,31
/!,/!,P
le,le,71
secret,secret,21
était,être,18
facile,facile,30
",",",",p
puisque,puisque,83
Arnoux,Arnoux,20
",",",",p
le,le,71
lendemain,lendemain,21
",",",",p
partait,partir,18
en,en,81
voyage,voyage,21
pour,pour,81
l',le,71
Allemagne,Allemagne,20
/.,/.,P
le,le,71
soir,soir,21
",",",",p
en,en,81
rentrant,rentrer,13
",",",",p
le,le,71
clerc,clerc,21
trouva,trouver,19
son,son,73
ami,ami,21
singulièrement,singulièrement,60
changé,changé,31
:,:,p
il,il,51
pirouettait,pirouetter,18
",",",",p
sifflait,siffler,18
;,;,p
et,et,82
",",",",p
l',le,71
autre,autre,52
s',se,51
étonnant,étonner,13
de,de,81
cette,ce,74
humeur,humeur,22
",",",",p
Frédéric,Frédéric,20
déclara,déclarer,19
qu',que,83
il,il,51
n',ne,60
irait,aller,16
pas,pas,60
chez,chez,81
sa,son,73
mère,mère,22
;,;,p
il,il,51
emploierait,employer,16
ses,son,73
vacances,vacance,22
à,à,81
travailler,travailler,14
/.,/.,P
à,à,81
la,le,71
