11885
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarantième extrait>,<>,<>
Attablées,Attablées,20
",",",",p
elles,ils,51
sirotaient,siroter,18
des,de,81
des,le,71
cancans,cancan,21
et,et,82
des,de,81
des,le,71
liqueurs,liqueur,22
/.,/.,P
-,-,p
tiens,tenir,17
!,!,p
dit,dire,17
Adèle,Adèle,20
",",",",p
en,en,81
frappant,frapper,13
de,de,81
son,son,73
verre,verre,21
contre,contre,81
la,le,71
table,table,22
",",",",p
te,tu,51
v'là,voilà,81
déjà,déjà,60
",",",",p
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
/?,/?,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
ça,ça,52
?,?,p
fit,faire,19
Germinie,Germinie,20
en,en,81
prenant,prendre,13
le,le,71
verre,verre,21
d',de,81
Adèle,Adèle,20
/.,/.,P
j',je,51
en,en,52
veux,vouloir,17
/…,/…,P
-,-,p
t',tu,51
as,avoir,17
si,si,83
soif,soif,22
que,que,52
ça,ça,52
à,à,81
ce,ce,74
matin,matin,21
?,?,p
/…,/…,P
de,de,81
l',le,71
eau-de-vie,eau-de-vie,22
et,et,82
de,de,81
l',le,71
absinthe,absinthe,22
",",",",p
rien,rien,52
que,que,83
ça,ça,52
!,!,p
…,…,p
le,le,71
mélo,mélo,21
de,de,81
mon,mon,73
piou,piou,92
",",",",p
tu,tu,51
sais,savoir,17
bien,bien,60
?,?,p
le,le,71
militaire,militaire,21
…,…,p
il,il,51
ne,ne,60
buvait,boire,18
que,que,83
ça,ça,52
/…,/…,P
c',ce,52
est,être,17
raide,raide,30
",",",",p
hein,hein,93
/?,/?,P
-,-,p
Ahl,Ahl,20
oui,oui,60
",",",",p
dit,dire,17
Germinie,Germinie,20
avec,avec,81
le,le,71
mouvement,mouvement,21
de,de,81
lèvres,lèvre,22
et,et,82
le,le,71
plissement,plissement,21
d',de,81
yeux,oeil,21
d',de,81
un,un,71
enfant,enfant,21
auquel,à,81
auquel,lequel,52
on,on,51
donne,donner,17
un,un,71
verre,verre,21
de,de,81
liqueur,liqueur,22
au,à,81
au,le,71
dessert,dessert,21
d',de,81
un,un,71
grand,grand,30
dîner,dîner,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
bon,bon,30
tout,tout,60
de,de,81
même,même,60
/…,/…,P
-,-,p
son,son,73
coeur,coeur,21
se,se,51
levait,lever,18
/.,/.,P
-,-,p
madame,madame,22
Jupillon,Jupillon,20
…,…,p
la,le,71
bouteille,bouteille,22
par,par,81
ici,ici,60
…,…,p
je,je,51
paye,payer,17
/.,/.,P
et,et,82
elle,il,51
jeta,jeter,19
de,de,81
l',le,71
argent,argent,21
sur,sur,81
la,le,71
table,table,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
trois,trois,72
verres,verre,21
",",",",p
elle,il,51
cria,crier,19
:,:,p
-,-,p
je,je,51
suis,être,17
paf,paf,93
/!,/!,P
et,et,82
elle,il,51
partit,partir,19
d',de,81
un,un,71
éclat,éclat,21
de,de,81
rire,rire,21
/.,/.,P
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
avait,avoir,18
été,être,12
ce,ce,52
matin,matin,21
là,là,60
toucher,toucher,14
son,son,73
petit,petit,30
semestre,semestre,21
de,de,81
rentes,rente,22
/.,/.,P
quand,quand,83
elle,il,51
rentra,rentrer,19
à,à,81
onze,onze,72
heures,heure,22
",",",",p
elle,il,51
sonna,sonner,19
une,un,71
fois,fois,22
",",",",p
deux,deux,72
fois,fois,22
:,:,p
rien,rien,52
ne,ne,60
vint,venir,19
/.,/.,P
ah,ah,93
!,!,p
se,se,51
dit,dire,17
elle,il,51
",",",",p
elle,il,51
sera,être,15
descendue,descendre,12
/.,/.,P
elle,il,51
ouvrit,ouvrir,19
avec,avec,81
sa,son,73
clef,clé,22
",",",",p
alla,aller,19
à,à,81
sa,son,73
chambre,chambre,22
",",",",p
entra,entrer,19
:,:,p
les,le,71
matelas,matelas,21
et,et,82
les,le,71
draps,drap,21
de,de,81
son,son,73
lit,lit,21
en,en,81
train,train,21
d',de,81
être,être,14
fait,faire,12
retombaient,retomber,18
jetés,jeté,31
sur,sur,81
deux,deux,72
chaises,chaise,22
;,;,p
et,et,82
Germinie,Germinie,20
était,être,18
étendue,étendre,12
en,en,81
travers,travers,21
de,de,81
la,le,71
paillasse,paillasse,22
",",",",p
dormant,dormir,13
inerte,inerte,30
",",",",p
comme,comme,83
une,un,71
masse,masse,22
",",",",p
dans,dans,81
l',le,71
avachissement,avachissement,21
d',de,81
une,un,71
soudaine,soudain,30
léthargie,léthargie,22
/.,/.,P
au,à,81
au,le,71
bruit,bruit,21
de,de,81
mademoiselle,mademoiselle,22
",",",",p
Germinie,Germinie,20
se,se,51
releva,relever,19
d',de,81
un,un,71
bond,bond,21
",",",",p
passa,passer,19
sa,son,73
main,main,22
sur,sur,81
ses,son,73
yeux,oeil,21
:,:,p
-,-,p
hein,hein,93
?,?,p
fit,faire,19
elle,il,51
",",",",p
comme,comme,83
si,si,83
on,on,51
l',le,52
appelait,appeler,18
;,;,p
son,son,73
regard,regard,21
rêvait,rêver,18
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
?,?,p
fit,faire,19
mademoiselle,mademoiselle,22
de,de,81
Varandeuil,Varandeuil,20
effrayée,effrayé,31
/.,/.,P
tu,tu,51
es,être,17
tombée,tomber,12
/?,/?,P
as,avoir,17
tu,tu,51
quelque,quelque,75
chose,chose,22
/?,/?,P
-,-,p
moi,moi,51
!,!,p
non,non,60
",",",",p
répondit,répondre,19
Germinie,Germinie,20
",",",",p
j',je,51
ai,avoir,17
dormi,dormir,12
/…,/…,P
quelle,quel,75
heure,heure,22
est,être,17
il,il,51
/?,/?,P
ce,ce,52
n',ne,60
est,être,17
rien,rien,52
/…,/…,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
bête,bête,30
/…,/…,P
et,et,82
elle,il,51
se,se,51
mit,mettre,19
à,à,81
fourrager,fourrager,14
la,le,71
paillasse,paillasse,22
en,en,81
tournant,tourner,13
le,le,71
dos,dos,21
à,à,81
sa,son,73
maîtresse,maîtresse,22
pour,pour,81
lui,lui,51
cacher,cacher,14
le,le,71
rouge,rouge,21
de,de,81
la,le,71
boisson,boisson,22
sur,sur,81
son,son,73
visage,visage,21
/.,/.,P
<XXVI.>,<>,<>
un,un,71
dimanche,dimanche,21
matin,matin,21
",",",",p
Jupillon,Jupillon,20
s',se,51
habillait,habiller,18
dans,dans,81
la,le,71
chambre,chambre,22
que,que,52
lui,lui,51
avait,avoir,18
meublée,meubler,12
Germinie,Germinie,20
/.,/.,P
sa,son,73
mère,mère,22
assise,assis,31
le,le,52
contemplait,contempler,18
avec,avec,81
cet,ce,74
ébahissement,ébahissement,21
d',de,81
orgueil,orgueil,21
qu',que,52
ont,avoir,17
les,le,71
yeux,oeil,21
des,de,81
des,le,71
mères,mère,22
du,de,81
du,le,71
peuple,peuple,21
devant,devant,81
un,un,71
fils,fils,21
qui,qui,52
se,se,51
met,mettre,17
en,en,81
monsieur,monsieur,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
que,que,83
t',tu,51
es,être,17
mis,mettre,12
comme,comme,83
le,le,71
jeune,jeune,30
homme,homme,21
du,de,81
du,le,71
premier,premier,72
!,!,p
lui,lui,51
dit,dire,19
elle,il,51
/.,/.,P
on,on,51
dirait,dire,16
son,son,73
paletot,paletot,21
/…,/…,P
c',ce,52
est,être,17
pas,pas,60
pour,pour,81
dire,dire,14
",",",",p
mais,mais,82
le,le,71
riche,riche,21
te,tu,51
va,aller,17
joliment,joliment,60
",",",",p
à,à,81
toi,toi,51
/…,/…,P
Jupillon,Jupillon,20
",",",",p
en,en,81
train,train,21
de,de,81
faire,faire,14
le,le,71
noeud,noeud,21
de,de,81
sa,son,73
cravate,cravate,22
",",",",p
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
-,-,p
tu,tu,51
vas,aller,17
en,en,52
faire,faire,14
",",",",p
de,de,81
ces,ce,74
malheureuses,malheureux,30
!,!,p
reprit,reprendre,19
la,le,71
mère,mère,22
Jupillon,Jupillon,20
",",",",p
et,et,82
donnant,donner,13
à,à,81
sa,son,73
voix,voix,22
un,un,71
ton,ton,21
d',de,81
insinuation,insinuation,22
caressante,caressant,30
:,:,p
-,-,p
dis,dire,17
donc,donc,82
",",",",p
bibi,bibi,92
",",",",p
que,que,83
je,je,51
te,tu,51
dise,dire,17
",",",",p
grand,grand,30
mauvais,mauvais,30
sujet,sujet,21
:,:,p
les,le,71
jeunesses,jeunesse,22
qui,qui,52
fautent,fauter,17
",",",",p
tant,tant,60
pis,pis,60
pour,pour,81
elles,ils,51
!,!,p
ça,ça,52
les,le,52
regarde,regarder,17
",",",",p
c',ce,52
est,être,17
leur,leur,73
affaire,affaire,22
/…,/…,P
tu,tu,51
es,être,17
un,un,71
homme,homme,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
…,…,p
t',tu,51
as,avoir,17
l',le,71
âge,âge,21
",",",",p
t',tu,51
as,avoir,17
le,le,71
physique,physique,21
",",",",p
t',tu,51
as,avoir,17
tout,tout,52
/…,/…,P
moi,moi,51
je,je,51
peux,pouvoir,17
pas,pas,60
toujours,toujours,60
te,tu,51
tenir,tenir,14
à,à,81
l',le,71
attache,attache,22
/…,/…,P
alors,alors,60
",",",",p
que,que,52
je,je,51
m',je,51
ai,avoir,17
dit,dire,12
",",",",p
autant,autant,60
l',le,71
une,un,52
que,que,83
l',le,71
autre,autre,52
/…,/…,P
va,aller,17
pour,pour,81
celle-là,celui-là,52
/…,/…,P
et,et,82
j',je,51
ai,avoir,17
fait,faire,12
celle,celui,52
qui,qui,52
ne,ne,60
voit,voir,17
rien,rien,52
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
oui,oui,60
",",",",p
pour,pour,81
Germinie,Germinie,20
/…,/…,P
comme,comme,83
t',tu,51
avais,avoir,18
là,là,60
ton,ton,73
agrément,agrément,21
/…,/…,P
ça,ça,52
t',tu,51
empêchait,empêcher,18
de,de,81
manger,manger,14
ton,ton,73
argent,argent,21
avec,avec,81
de,de,81
mauvaises,mauvais,30
femmes,femme,22
…,…,p
et,et,82
puis,puis,60
je,je,51
n',ne,60
y,y,52
voyais,voir,18
pas,pas,60
d',de,81
inconvénients,inconvénient,21
à,à,81
cette,ce,74
fille,fille,22
",",",",p
jusqu',jusque,81
à,à,81
maintenant,maintenant,60
/…,/…,P
mais,mais,82
c',ce,52
est,être,17
plus,plus,60
ça,ça,52
à,à,81
c't',ce,74
heure,heure,22
/…,/…,P
ils,ils,51
font,faire,17
des,de,81
des,le,71
histoires,histoire,22
dans,dans,81
le,le,71
quartier,quartier,21
…,…,p
un,un,71
tas,tas,21
d',de,81
horreurs,horreur,22
qu',que,52
ils,ils,51
disent,dire,17
sur,sur,81
nous,nous,51
/…,/…,P
des,de,81
des,le,71
vipères,vipère,22
",",",",p
quoi,quoi,52
!,!,p
/…,/…,P
tout,tout,75
ça,ça,52
",",",",p
nous,nous,51
sommes,être,17
au-dessus,au-dessus,60
",",",",p
je,je,51
sais,savoir,17
bien,bien,60
/…,/…,P
quand,quand,83
on,on,51
a,avoir,17
été,être,12
honnête,honnête,30
toute,tout,75
sa,son,73
vie,vie,22
/.,/.,P
dieu,dieu,21
merci,merci,21
!,!,p
/…,/…,P
mais,mais,82
on,on,51
ne,ne,60
sait,savoir,17
jamais,jamais,60
ce,ce,52
qui,qui,52
retourne,retourner,17
:,:,p
mademoiselle,mademoiselle,22
n',ne,60
aurait,avoir,16
qu',que,83
à,à,81
mettre,mettre,14
le,le,71
nez,nez,21
dans,dans,81
les,le,71
affaires,affaire,22
de,de,81
sa,son,73
bonne,bonne,22
/…,/…,P
moi,moi,51
d'abord,d'abord,60
la,le,71
justice,justice,22
",",",",p
rien,rien,52
que,que,83
l',le,71
idée,idée,22
",",",",p
ça,ça,52
me,je,51
retourne,retourner,17
les,le,71
sens,sens,21
/…,/…,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
tu,tu,51
dis,dire,17
de,de,81
ça,ça,52
",",",",p
hein,hein,93
",",",",p
bibi,bibi,92
/?,/?,P
-,-,p
dame,dame,22
",",",",p
maman,maman,22
…,…,p
ce,ce,52
que,que,52
tu,tu,51
voudras,vouloir,15
/.,/.,P
-,-,p
ah,ah,93
!,!,p
je,je,51
savais,savoir,18
bien,bien,60
que,que,83
tu,tu,51
l',le,52
aimais,aimer,18
",",",",p
ta,ton,73
bonne,bon,30
chérie,chérie,22
de,de,81
maman,maman,22
!,!,p
fit,faire,19
en,en,81
l',le,52
embrassant,embrasser,13
la,le,71
monstrueuse,monstrueux,30
femme,femme,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
invite,inviter,17
la,le,52
à,à,81
dîner,dîner,14
ce,ce,74
soir,soir,21
/…,/…,P
tu,tu,51
monteras,monter,15
deux,deux,72
bouteilles,bouteille,22
de,de,81
notre,notre,73
Lunel,Lunel,20
…,…,p
du,de,81
du,le,71
deux,deux,72
francs,franc,21
…,…,p
de,de,81
celui,celui,52
qui,qui,52
tape,taper,17
/…,/…,P
et,et,82
qu',que,52
elle,il,51
vienne,venir,17
sûr,sûr,30
/…,/…,P
fais,faire,17
lui,lui,51
des,de,81
des,le,71
yeux,oeil,21
…,…,p
qu',que,83
elle,il,51
croie,croire,17
que,que,83
c',ce,52
est,être,17
aujourd'hui,aujourd'hui,60
le,le,71
grand,grand,30
jour,jour,21
/…,/…,P
mets,mettre,17
tes,ton,73
beaux,beau,30
gants,gant,21
:,:,p
tu,tu,51
seras,être,15
plus,plus,60
révérend,révérend,21
/…,/…,P
le,le,71
soir,soir,21
Germinie,Germinie,20
arriva,arriver,19
sur,sur,81
les,le,71
sept,sept,72
heures,heure,22
",",",",p
tout,tout,60
heureuse,heureux,30
",",",",p
toute,tout,60
gaie,gai,30
",",",",p
tout,tout,60
espérante,espérant,30
",",",",p
la,le,71
tête,tête,22
remplie,rempli,31
de,de,81
rêves,rêve,21
par,par,81
l',le,71
air,air,21
de,de,81
mystère,mystère,21
mis,mis,31
par,par,81
Jupillon,Jupillon,20
à,à,81
l',le,71
invitation,invitation,22
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
l',l',94
on,on,51
dîna,dîner,19
",",",",p
l',l',94
on,on,51
but,boire,19
",",",",p
l',l',94
on,on,51
rit,rire,17
/.,/.,P
la,le,71
mère,mère,22
Jupillon,Jupillon,20
commença,commencer,19
à,à,81
laisser,laisser,14
tomber,tomber,14
des,de,81
des,le,71
regards,regard,21
émus,ému,31
",",",",p
mouillés,mouillé,31
",",",",p
noyés,noyé,31
sur,sur,81
le,le,71
couple,couple,21
assis,assis,31
en,en,81
face,face,22
d',de,81
elle,il,51
/.,/.,P
au,à,81
au,le,71
café,café,21
",",",",p
elle,il,51
dit,dire,17
",",",",p
comme,comme,83
pour,pour,81
rester,rester,14
seule,seul,30
avec,avec,81
Germinie,Germinie,20
:,:,p
-,-,p
Bibi,Bibi,20
",",",",p
tu,tu,51
sais,savoir,17
que,que,83
tu,tu,51
as,avoir,17
une,un,71
course,course,22
à,à,81
faire,faire,14
ce,ce,74
soir,soir,21
/…,/…,P
Jupillon,Jupillon,20
sortit,sortir,19
/.,/.,P
madame,madame,22
Jupillon,Jupillon,20
",",",",p
tout,tout,60
en,en,81
prenant,prendre,13
son,son,73
café,café,21
à,à,81
petites,petit,30
gorgées,gorgée,22
",",",",p
tourna,tourner,19
alors,alors,60
vers,vers,81
Germinie,Germinie,20
le,le,71
visage,visage,21
d',de,81
une,un,71
mère,mère,22
qui,qui,52
demande,demander,17
le,le,71
secret,secret,21
d',de,81
une,un,71
fille,fille,22
",",",",p
et,et,82
enveloppe,envelopper,17
d',de,81
avance,avance,22
sa,son,73
confession,confession,22
du,de,81
du,le,71
pardon,pardon,21
de,de,81
ses,son,73
indulgences,indulgence,22
/.,/.,P
un,un,71
instant,instant,21
",",",",p
les,le,71
deux,deux,72
femmes,femme,22
restèrent,rester,19
ainsi,ainsi,60
",",",",p
silencieuses,silencieux,30
",",",",p
l',le,71
une,un,52
attendant,attendre,13
que,que,83
l',le,71
autre,autre,52
parlât,parler,18
",",",",p
l',le,71
autre,autre,52
ayant,avoir,13
le,le,71
cri,cri,21
de,de,81
son,son,73
coeur,coeur,21
au,à,81
au,le,71
bord,bord,21
de,de,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
Germinie,Germinie,20
s',se,51
élança,élancer,19
de,de,81
sa,son,73
chaise,chaise,22
et,et,82
se,se,51
précipita,précipiter,19
dans,dans,81
les,le,71
bras,bras,21
de,de,81
la,le,71
grosse,gros,30
femme,femme,22
:,:,p
-,-,p
si,si,83
vous,vous,51
saviez,savoir,18
",",",",p
madame,madame,22
Jupillon,Jupillon,20
!,!,p
/…,/…,P
elle,il,51
parlait,parler,18
",",",",p
pleurait,pleurer,18
",",",",p
embrassait,embrasser,18
/.,/.,P
-,-,p
oh,oh,93
!,!,p
vous,vous,51
ne,ne,60
m',je,51
en,en,52
voudrez,vouloir,15
pas,pas,60
!,!,p
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
oui,oui,60
",",",",p
je,je,51
l',le,52
aime,aimer,17
…,…,p
j',je,51
en,en,52
ai,avoir,17
eu,avoir,12
un,un,71
enfant,enfant,21
/…,/…,P
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
je,je,51
l',le,52
aime,aimer,17
/…,/…,P
voilà,voilà,81
trois,trois,72
ans,an,21
/…,/…,P
à,à,81
chaque,chaque,75
mot,mot,21
",",",",p
la,le,71
figure,figure,22
de,de,81
madame,madame,22
Jupillon,Jupillon,20
s',se,51
était,être,18
refroidie,refroidir,12
et,et,82
glacée,glacer,12
/.,/.,P
elle,il,51
écarta,écarter,19
sèchement,sèchement,60
Germinie,Germinie,20
",",",",p
et,et,82
de,de,81
sa,son,73
voix,voix,22
la,le,71
plus,plus,60
dolente,dolent,30
",",",",p
avec,avec,81
un,un,71
accent,accent,21
de,de,81
lamentation,lamentation,22
et,et,82
de,de,81
désolation,désolation,22
désespérée,désespéré,31
",",",",p
elle,il,51
se,se,51
mit,mettre,19
à,à,81
dire,dire,14
comme,comme,83
une,un,71
personne,personne,22
qui,qui,52
suffoque,suffoquer,17
:,:,p
-,-,p
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
…,…,p
vous,vous,51
!,!,p
…,…,p
me,je,51
dire,dire,14
des,de,81
des,le,71
choses,chose,22
comme,comme,83
ça,ça,52
!,!,p
…,…,p
à,à,81
moi,moi,51
!,!,p
…,…,p
à,à,81
sa,son,73
mère,mère,22
!,!,p
…,…,p
en,en,81
face,face,22
/!,/!,P
mon,mon,73
dieu,dieu,21
",",",",p
faut,falloir,17
il,il,51
!,!,p
/…,/…,P
mon,mon,73
fils,fils,21
…,…,p
un,un,71
enfant,enfant,21
…,…,p
un,un,71
innocent,innocent,21
d',de,81
enfant,enfant,21
/!,/!,P
vous,vous,51
avez,avoir,17
eu,avoir,12
le,le,71
front,front,21
de,de,81
me,je,51
le,le,52
débaucher,débaucher,14
!,!,p
/…,/…,P
et,et,82
vous,vous,51
me,je,51
dites,dire,17
encore,encore,60
que,que,83
c',ce,52
est,être,17
vous,vous,51
/!,/!,P
non,non,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
dieu,dieu,21
possible,possible,30
!,!,p
/…,/…,P
moi,moi,51
qui,qui,52
avais,avoir,18
si,si,60
confiance,confiance,22
/…,/…,P
c',ce,52
est,être,17
à,à,81
ne,ne,60
plus,plus,60
pouvoir,pouvoir,14
vivre,vivre,14
/…,/…,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
donc,donc,82
plus,plus,60
de,de,81
sûreté,sûreté,22
en,en,81
ce,ce,74
monde,monde,21
!,!,p
/…,/…,P
ah,ah,93
!,!,p
mademoiselle,mademoiselle,22
",",",",p
tout,tout,60
de,de,81
même,même,60
",",",",p
je,je,51
n',ne,60
aurais,avoir,16
jamais,jamais,60
cru,croire,12
ça,ça,52
de,de,81
vous,vous,51
!,!,p
/…,/…,P
bon,bon,60
!,!,p
voilà,voilà,81
des,de,81
des,le,71
choses,chose,22
qui,qui,52
me,je,51
tournent,tourner,17
/…,/…,P
ah,ah,93
!,!,p
tenez,tenir,17
",",",",p
ça,ça,52
me,je,51
fait,faire,17
une,un,71
révolution,révolution,22
…,…,p
je,je,51
me,je,51
connais,connaître,17
",",",",p
je,je,51
suis,être,17
capable,capable,30
d',de,81
en,en,52
faire,faire,14
une,un,71
maladie,maladie,22
/!,/!,P
-,-,p
madame,madame,22
Jupillon,Jupillon,20
!,!,p
madame,madame,22
Jupillon,Jupillon,20
!,!,p
murmurait,murmurer,18
d',de,81
un,un,71
ton,ton,21
d',de,81
imploration,imploration,22
Germinie,Germinie,20
en,en,81
se,se,51
mourant,mourir,13
de,de,81
honte,honte,22
et,et,82
de,de,81
douleur,douleur,22
sur,sur,81
la,le,71
chaise,chaise,22
où,où,60
elle,il,51
était,être,18
retombée,retomber,12
/.,/.,P
je,je,51
vous,vous,51
demande,demander,17
pardon,pardon,21
/…,/…,P
c',ce,52
a,avoir,17
été,être,12
plus,plus,60
fort,fort,30
que,que,83
moi,moi,51
/…,/…,P
et,et,82
puis,puis,60
je,je,51
pensais,penser,18
…,…,p
j',je,51
avais,avoir,18
cru,croire,12
/…,/…,P
-,-,p
vous,vous,51
aviez,avoir,18
cru,croire,12
!,!,p
/…,/…,P
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
vous,vous,51
aviez,avoir,18
cru,croire,12
/!,/!,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
aviez,avoir,18
cru,croire,12
/?,/?,P
vous,vous,51
la,le,71
femme,femme,22
de,de,81
mon,mon,73
fils,fils,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
ah,ah,93
/!,/!,P
seigneur,seigneur,21
dieu,dieu,21
!,!,p
c',ce,52
est,être,17
il,il,51
possible,possible,30
",",",",p
ma,mon,73
pauvre,pauvre,30
enfant,enfant,21
/?,/?,P
et,et,82
prenant,prendre,13
",",",",p
à,à,81
mesure,mesure,22
qu',que,83
elle,il,51
lançait,lancer,18
à,à,81
Germinie,Germinie,20
de,de,81
ces,ce,74
mots,mot,21
qui,qui,52
font,faire,17
plaie,plaie,22
",",",",p
une,un,71
voix,voix,22
plus,plus,60
plaintive,plaintif,30
et,et,82
plus,plus,60
gémissante,gémissant,30
",",",",p
la,le,71
mère,mère,22
Jupillon,Jupillon,20
reprit,reprendre,19
:,:,p
-,-,p
mais,mais,82
",",",",p
ma,mon,73
pauvre,pauvre,30
fille,fille,22
",",",",p
voyons,voir,17
",",",",p
faut,falloir,17
une,un,71
raison,raison,22
/…,/…,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
toujours,toujours,60
dit,dire,12
/?,/?,P
que,que,52
ça,ça,52
serait,être,16
à,à,81
faire,faire,14
",",",",p
si,si,83
vous,vous,51
aviez,avoir,18
dix,dix,72
ans,an,21
de,de,81
moins,moins,60
sur,sur,81
votre,votre,73
naissance,naissance,22
/.,/.,P
voyons,voir,17
",",",",p
votre,votre,73
date,date,22
",",",",p
c',ce,52
est,être,17
<Nombre 1820>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
vingt,vingt,72
<Fin nombre>,<>,<>
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
dit,dire,12
…,…,p
et,et,82
nous,nous,51
voilà,voilà,81
en,en,81
<Nombre 49>,<>,<>
quarante,quarante,72
neuf,neuf,72
<Fin nombre>,<>,<>
/…,/…,P
vous,vous,51
marchez,marcher,17
sur,sur,81
vos,votre,73
trente,trente,72
ans,an,21
",",",",p
savez,savoir,17
vous,vous,51
",",",",p
ma,mon,73
brave,brave,30
enfant,enfant,21
/…,/…,P
tenez,tenir,17
!,!,p
ça,ça,52
me,je,51
fait,faire,17
mal,mal,60
de,de,81
vous,vous,51
dire,dire,14
ça,ça,52
/…,/…,P
je,je,51
voudrais,vouloir,16
tant,tant,60
ne,ne,60
pas,pas,60
vous,vous,51
faire,faire,14
de,de,81
la,le,71
peine,peine,22
/…,/…,P
mais,mais,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
à,à,81
vous,vous,51
voir,voir,14
",",",",p
ma,mon,73
pauvre,pauvre,30
demoiselle,demoiselle,22
/…,/…,P
que,que,52
voulez,vouloir,17
vous,vous,51
/?,/?,P
c',ce,52
est,être,17
l',le,71
âge,âge,21
/…,/…,P
vos,votre,73
cheveux,cheveu,21
…,…,p
on,on,51
mettrait,mettre,16
un,un,71
doigt,doigt,21
dans,dans,81
votre,votre,73
raie,raie,22
/…,/…,P
-,-,p
mais,mais,82
",",",",p
dit,dire,19
Germinie,Germinie,20
en,en,81
qui,qui,52
une,un,71
noire,noir,30
colère,colère,22
commençait,commencer,18
à,à,81
gronder,gronder,14
",",",",p
ce,ce,52
qu',que,52
il,il,51
me,je,51
doit,devoir,17
",",",",p
votre,votre,73
fils,fils,21
?,?,p
/…,/…,P
mon,mon,73
argent,argent,21
/?,/?,P
l',le,71
argent,argent,21
que,que,52
j',je,51
ai,avoir,17
retiré,retirer,12
de,de,81
la,le,71
caisse,caisse,22
d',de,81
épargne,épargne,22
",",",",p
l',le,71
argent,argent,21
que,que,52
j',je,51
ai,avoir,17
emprunté,emprunter,12
pour,pour,81
lui,lui,51
",",",",p
l',le,71
argent,argent,21
que,que,52
j',je,51
ai,avoir,17
/…,/…,P
-,-,p
ah,ah,93
!,!,p
de,de,81
l',le,71
argent,argent,21
?,?,p
il,il,51
vous,vous,51
doit,devoir,17
/?,/?,P
ah,ah,93
!,!,p
oui,oui,60
",",",",p
ce,ce,52
que,que,52
vous,vous,51
lui,lui,51
avez,avoir,17
prêté,prêter,12
pour,pour,81
commencer,commencer,14
à,à,81
travailler,travailler,14
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
v',v',92
la,le,71
t,t,94
il,il,51
pas,pas,60
/!,/!,P
est,être,17
ce,ce,52
que,que,83
vous,vous,51
croyez,croire,17
avoir,avoir,14
affaire,affaire,22
à,à,81
des,de,81
des,le,71
voleurs,voleur,21
/?,/?,P
est,être,17
ce,ce,52
qu',que,83
on,on,51
a,avoir,17
envie,envie,22
de,de,81
vous,vous,51
le,le,52
nier,nier,14
",",",",p
votre,votre,73
argent,argent,21
",",",",p
quoiqu',quoique,83
il,il,51
n',ne,60
y,y,52
ait,avoir,17
pas,pas,60
de,de,81
papier,papier,21
…,…,p
à,à,81
preuve,preuve,22
que,que,83
l',le,71
autre,autre,75
jour,jour,21
…,…,p
ça,ça,52
me,je,51
revient,revenir,17
…,…,p
cet,ce,74
honnête,honnête,30
homme,homme,21
d',de,81
enfant,enfant,21
voulait,vouloir,18
faire,faire,14
l',le,71
écrit,écrit,21
de,de,81
ça,ça,52
",",",",p
au,à,81
au,le,71
cas,cas,21
qu',que,52
il,il,51
viendrait,venir,16
à,à,81
mourir,mourir,14
/…,/…,P
mais,mais,82
tout,tout,60
de,de,81
suite,suite,22
",",",",p
on,on,51
est,être,17
des,de,81
des,le,71
filous,filou,21
",",",",p
voilà,voilà,81
",",",",p
ça,ça,52
ne,ne,60
fait,faire,17
pas,pas,60
un,un,71
pli,pli,21
/!,/!,P
ah,ah,93
!,!,p
