11677
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-unième extrait>,<>,<>
semi-françaises,semi-français,30
/.,/.,P
le,le,71
fin,fin,30
baron,baron,21
",",",",p
pour,pour,81
avoir,avoir,14
des,de,81
des,le,71
motifs,motif,21
de,de,81
revenir,revenir,14
sur,sur,81
des,de,81
des,le,71
paroles,parole,22
bien,bien,60
données,donné,31
et,et,82
mal,mal,60
entendues,entendu,31
",",",",p
avait,avoir,18
gardé,garder,12
l',le,71
horrible,horrible,30
prononciation,prononciation,22
des,de,81
des,le,71
juifs,juif,21
polonais,polonais,30
qui,qui,52
se,se,51
flattent,flatter,17
de,de,81
parler,parler,14
français,français,21
/.,/.,P
<— Et visse aurez eine gomde gourand. Foici gommend nîs brocéterons ->,<>,<>
dit,dire,19
avec,avec,81
une,un,71
bonhomie,bonhomie,22
alsacienne,alsacien,30
le,le,71
bon,bon,30
",",",",p
le,le,71
vénérable,vénérable,30
et,et,82
grand,grand,30
financier,financier,21
/.,/.,P
Birotteau,Birotteau,20
ne,ne,60
douta,douter,19
plus,plus,60
de,de,81
rien,rien,52
",",",",p
il,il,51
était,être,18
commerçant,commerçant,30
et,et,82
savait,savoir,18
que,que,83
ceux,celui,52
qui,qui,52
ne,ne,60
sont,être,17
pas,pas,60
disposés,disposer,12
à,à,81
obliger,obliger,14
n',ne,60
entrent,entrer,17
jamais,jamais,60
dans,dans,81
les,le,71
détails,détail,21
de,de,81
l',le,71
exécution,exécution,22
/.,/.,P
<— Chene vis abbrendrai bas qu’aux crants gomme aux betits - la Panque temante troisses zignadires. Tonc fous ferez tis iffits à l’ortre te nodre ami ti Dilet - et chi les enferrai leu chour même afec ma zignadire à la Panque - et fis aurez à quadre hires le mondant tir iffits que vis aurez siscrits lei madin - ai au daux te la Panque. Tcheu ne feux ni quemmission - ni haissegomde - rienne - gar ch’aurai lé bonhire te vis êdre acréaple… Mais che mede eine gontission !>,<>,<>
dit,dire,19
il,il,51
en,en,52
effleurent,effleurer,17
son,son,73
nez,nez,21
de,de,81
son,son,73
index,index,21
gauche,gauche,30
par,par,81
un,un,71
mouvement,mouvement,21
d',de,81
une,un,71
inimitable,inimitable,30
finesse,finesse,22
/.,/.,P
-,-,p
monsieur,monsieur,21
le,le,71
baron,baron,21
",",",",p
elle,il,51
est,être,17
accordée,accorder,12
d',de,81
avance,avance,22
",",",",p
dit,dire,19
Birotteau,Birotteau,20
qui,qui,52
crut,croire,19
à,à,81
quelque,quelque,75
prélèvement,prélèvement,21
dans,dans,81
ses,son,73
bénéfices,bénéfice,21
/.,/.,P
<— Eine gontission à laguelle chaddache lei plis grant brisse - barceque che feusse kè montame ti Nichinguenne brenne - gomme ille la titte - tei leizons te montame Pirôdôt.>,<>,<>
-,-,p
monsieur,monsieur,21
le,le,71
baron,baron,21
",",",",p
ne,ne,60
vous,vous,51
moquez,moquer,17
pas,pas,60
de,de,81
moi,moi,51
",",",",p
je,je,51
vous,vous,51
en,en,52
supplie,supplier,17
/!,/!,P
<— Meinnesire Pirôdôt - dit le financier d’un air sérieux - cesde gonfeni - fis nisse infiderez à fodre brochain pal. Mon femme est chalousse - ille feut foir fos habbardements - tond on li ha titte eine pienne tcheneralle.>,<>,<>
-,-,p
monsieur,monsieur,21
le,le,71
baron,baron,21
/!,/!,P
<— Oh ! si vis nis refoussez - boind de gomde ! vis êdes en crant fafure. Vi ! che sais ké visse affiez le bréfet te la Seine ki a ti fenir.>,<>,<>
-,-,p
monsieur,monsieur,21
le,le,71
baron,baron,21
/!,/!,P
<— Vis affiez La Pillartière - ein chendilomne ortinaire te la champre - pon Fentéheine gomme vis ki fis edes faite plesser… ô quand de Cheint Roqque.>,<>,<>
-,-,p
au,à,81
au,le,71
<Nombre 13>,<>,<>
treize,treize,72
<Fin nombre>,<>,<>
Vendémiaire,Vendémiaire,20
",",",",p
monsieur,monsieur,21
le,le,71
baron,baron,21
/!,/!,P
<— Visse affiez meinnesire te Lasse-et-bette - meinnesire Fauqueleine te l’Agatemî…>,<>,<>
-,-,p
monsieur,monsieur,21
le,le,71
baron,baron,21
/!,/!,P
<— Hé ! terteifle - ne zoyez pas si motesde - monsir l’atjouinde - ché abbris ké le roa affait tite ké fodre palle…>,<>,<>
-,-,p
le,le,71
roi,roi,21
?,?,p
dit,dire,19
Birotteau,Birotteau,20
qui,qui,52
n',ne,60
en,en,52
put,pouvoir,19
savoir,savoir,14
davantage,davantage,60
/.,/.,P
il,il,51
entra,entrer,19
familièrement,familièrement,60
un,un,71
jeune,jeune,30
homme,homme,21
dans,dans,81
l',le,71
appartement,appartement,21
",",",",p
et,et,82
dont,dont,52
le,le,71
pas,pas,21
",",",",p
reconnu,reconnu,31
de,de,81
loin,loin,60
par,par,81
la,le,71
belle,beau,30
Delphine,Delphine,20
de,de,81
Nucingen,Nucingen,20
",",",",p
l',le,52
avait,avoir,18
fait,faire,12
vivement,vivement,60
rougir,rougir,14
/.,/.,P
<— Ponchour - mon cher te Marsay ! dit le baron de Nucingen - brenez ma blace ; il y a - m’a-t-on tite - ein monte fu tans mais bourreaux. Che sais bourqui ! les mines te Wortschinne tonnent teux gabitaux de rendes ! Vi - chai ressi les gondes ! Visse affez cend mile lifres de rende te plis - matame ti Nichinnkeine. Vi pirrez acheder tis chindires ai odres papiaulles pour edre choli - gomme zi vis en affiez pesouin.>,<>,<>
-,-,p
grand,grand,30
dieu,dieu,21
!,!,p
les,le,71
Ragon,Ragon,20
ont,avoir,17
vendu,vendre,12
leurs,leur,73
actions,action,22
!,!,p
s',se,51
écria,écrier,19
Birotteau,Birotteau,20
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,83
ces,ce,74
messieurs,monsieur,21
?,?,p
demanda,demander,19
le,le,71
jeune,jeune,21
élégant,élégant,30
en,en,81
souriant,sourire,13
/.,/.,P
-,-,p
voilà,voilà,81
",",",",p
dit,dire,19
monsieur,monsieur,21
de,de,81
Nucingen,Nucingen,20
en,en,81
se,se,51
retournant,retourner,13
",",",",p
car,car,82
il,il,51
atteignait,atteindre,18
déjà,déjà,60
la,le,71
porte,porte,22
",",",",p
<elle me semple que ces bersonnes… Te Marsay - cezi ai mennesire Pirôdôt - vodre barfumire - ki tonne tes palles t’eine manniffissensse hassiatique - ai ke lei roa ha tégorai…>,<>,<>
de,de,81
Marsay,Marsay,20
prit,prendre,19
son,son,73
lorgnon,lorgnon,21
",",",",p
et,et,82
dit,dire,19
:,:,p
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
je,je,51
pensais,penser,18
que,que,83
cette,ce,74
figure,figure,22
ne,ne,60
m',je,51
était,être,18
pas,pas,60
inconnue,inconnu,30
/.,/.,P
vous,vous,51
allez,aller,17
donc,donc,82
parfumer,parfumer,14
vos,votre,73
affaires,affaire,22
de,de,81
quelque,quelque,75
vertueux,vertueux,30
cosmétique,cosmétique,21
",",",",p
les,le,52
huiler,huiler,14
/…,/…,P
<— Ai pien - ces Rakkons ->,<>,<>
reprit,reprendre,19
le,le,71
baron,baron,21
en,en,81
faisant,faire,13
une,un,71
grimace,grimace,22
d',de,81
homme,homme,21
mécontent,mécontent,30
",",",",p
<afaient eine gomde chaise moi - che les ai faforissé t’eine fordine - et ils n’ont bas si l’addentre ein chour te plis.>,<>,<>
-,-,p
monsieur,monsieur,21
le,le,71
baron,baron,21
!,!,p
s',se,51
écria,écrier,19
Birotteau,Birotteau,20
/.,/.,P
le,le,71
bonhomme,bonhomme,21
trouvait,trouver,18
son,son,73
affaire,affaire,22
extrêmement,extrêmement,60
obscure,obscur,30
",",",",p
et,et,82
",",",",p
sans,sans,81
saluer,saluer,14
la,le,71
baronne,baronne,22
ni,ni,82
de,de,81
Marsay,Marsay,20
",",",",p
il,il,51
courut,courir,19
après,après,81
le,le,71
banquier,banquier,21
/.,/.,P
monsieur,monsieur,21
de,de,81
Nucingen,Nucingen,20
était,être,18
sur,sur,81
la,le,71
première,premier,72
marche,marche,22
de,de,81
l',le,71
escalier,escalier,21
",",",",p
le,le,71
parfumeur,parfumeur,21
l',le,52
atteignit,atteindre,19
au,à,81
au,le,71
bas,bas,21
quand,quand,83
il,il,51
entrait,entrer,18
dans,dans,81
ses,son,73
bureaux,bureau,21
/.,/.,P
en,en,81
ouvrant,ouvrir,13
la,le,71
porte,porte,22
",",",",p
monsieur,monsieur,21
de,de,81
Nucingen,Nucingen,20
vit,voir,19
un,un,71
geste,geste,21
désespéré,désespéré,31
de,de,81
cette,ce,74
pauvre,pauvre,30
créature,créature,22
qui,qui,52
se,se,51
sentait,sentir,18
enfoncer,enfoncer,14
dans,dans,81
un,un,71
gouffre,gouffre,21
",",",",p
et,et,82
il,il,51
lui,lui,51
dit,dire,19
:,:,p
<Eh pien ! c’esde andenti ! foyesse ti Dilet - ai harranchez tit affec li.>,<>,<>
Birotteau,Birotteau,20
crut,croire,19
que,que,83
de,de,81
Marsay,Marsay,20
pouvait,pouvoir,18
avoir,avoir,14
de,de,81
l',le,71
empire,empire,21
sur,sur,81
le,le,71
baron,baron,21
",",",",p
il,il,51
remonta,remonter,19
l',le,71
escalier,escalier,21
avec,avec,81
la,le,71
rapidité,rapidité,22
d',de,81
une,un,71
hirondelle,hirondelle,22
",",",",p
se,se,51
glissa,glisser,19
dans,dans,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
où,où,60
la,le,71
baronne,baronne,22
et,et,82
de,de,81
Marsay,Marsay,20
devaient,devoir,18
encore,encore,60
se,se,51
trouver,trouver,14
:,:,p
il,il,51
avait,avoir,18
laissé,laisser,12
Delphine,Delphine,20
attendant,attendre,13
son,son,73
café,café,21
à,à,81
la,le,71
crème,crème,22
/.,/.,P
il,il,51
vit,vivre,17
bien,bien,60
le,le,71
café,café,21
servi,servi,31
",",",",p
mais,mais,82
la,le,71
baronne,baronne,22
et,et,82
le,le,71
jeune,jeune,21
élégant,élégant,30
avaient,avoir,18
disparu,disparaître,12
/.,/.,P
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
sourit,sourire,19
à,à,81
l',le,71
étonnement,étonnement,21
du,de,81
du,le,71
parfumeur,parfumeur,21
qui,qui,52
descendit,descendre,19
lentement,lentement,60
les,le,71
escaliers,escalier,21
/.,/.,P
César,César,20
courut,courir,19
chez,chez,81
du,de,81
du,le,71
Tillet,Tillet,20
qui,qui,52
était,être,18
",",",",p
lui,lui,51
dit,dire,19
on,on,51
",",",",p
à,à,81
la,le,71
campagne,campagne,22
",",",",p
chez,chez,81
madame,madame,22
Roguin,Roguin,20
/.,/.,P
le,le,71
parfumeur,parfumeur,21
prit,prendre,19
un,un,71
cabriolet,cabriolet,21
et,et,82
paya,payer,19
pour,pour,81
être,être,14
conduit,conduire,12
aussi,aussi,60
promptement,promptement,60
que,que,83
par,par,81
la,le,71
poste,poste,22
à,à,81
Nogent-sur-Marne,Nogent-sur-Marne,20
/.,/.,P
à,à,81
Nogent-sur-Marne,Nogent-sur-Marne,20
",",",",p
le,le,71
concierge,concierge,21
lui,lui,51
apprit,apprendre,19
que,que,83
monsieur,monsieur,21
et,et,82
madame,madame,22
étaient,être,18
repartis,repartir,12
à,à,81
Paris,Paris,20
/.,/.,P
Birotteau,Birotteau,20
revint,revenir,19
brisé,brisé,31
/.,/.,P
lorsqu',lorsque,83
il,il,51
raconta,raconter,19
sa,son,73
tournée,tournée,22
à,à,81
sa,son,73
femme,femme,22
et,et,82
à,à,81
sa,son,73
fille,fille,22
",",",",p
il,il,51
fut,être,19
stupéfait,stupéfait,30
de,de,81
trouver,trouver,14
sa,son,73
Constance,Constance,20
",",",",p
ordinairement,ordinairement,60
perchée,perché,31
comme,comme,83
un,un,71
oiseau,oiseau,21
de,de,81
malheur,malheur,21
sur,sur,81
la,le,71
moindre,moindre,30
aspérité,aspérité,22
commerciale,commercial,30
",",",",p
lui,lui,51
donner,donner,14
les,le,71
plus,plus,60
douces,doux,30
consolations,consolation,22
et,et,82
lui,lui,51
affirmer,affirmer,14
que,que,83
tout,tout,52
irait,aller,16
bien,bien,60
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
Birotteau,Birotteau,20
se,se,51
trouva,trouver,19
dès,dès,81
sept,sept,72
heures,heure,22
dans,dans,81
la,le,71
rue,rue,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
au,à,81
au,le,71
petit,petit,30
jour,jour,21
",",",",p
en,en,81
faction,faction,22
/.,/.,P
il,il,51
pria,prier,19
le,le,71
portier,portier,21
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
de,de,81
le,le,52
mettre,mettre,14
en,en,81
rapport,rapport,21
avec,avec,81
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
en,en,81
glissant,glisser,13
dix,dix,72
francs,franc,21
au,à,81
au,le,71
portier,portier,21
/.,/.,P
César,César,20
obtint,obtenir,19
la,le,71
faveur,faveur,22
de,de,81
parler,parler,14
au,à,81
au,le,71
valet,valet,21
de,de,81
chambre,chambre,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
et,et,82
lui,lui,51
demanda,demander,19
de,de,81
l',le,52
introduire,introduire,14
auprès,auprès,60
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
aussitôt,aussitôt,60
que,que,83
du,de,81
du,le,71
Tillet,Tillet,20
serait,être,16
visible,visible,30
",",",",p
et,et,82
il,il,51
glissa,glisser,19
deux,deux,72
pièces,pièce,22
d',de,81
or,or,21
dans,dans,81
la,le,71
main,main,22
du,de,81
du,le,71
valet,valet,21
de,de,81
chambre,chambre,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
ces,ce,74
petits,petit,30
sacrifices,sacrifice,21
et,et,82
ces,ce,74
grandes,grand,30
humiliations,humiliation,22
",",",",p
communes,commun,30
aux,à,81
aux,le,71
courtisans,courtisan,21
et,et,82
aux,à,81
aux,le,71
solliciteurs,solliciteur,21
",",",",p
lui,lui,51
permirent,permettre,19
d',de,81
arriver,arriver,14
à,à,81
son,son,73
but,but,21
/.,/.,P
à,à,81
huit,huit,72
heures,heure,22
et,et,82
demie,demi,30
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
son,son,73
ancien,ancien,30
commis,commis,21
passait,passer,18
une,un,71
robe,robe,22
de,de,81
chambre,chambre,22
et,et,82
secouait,secouer,18
les,le,71
idées,idée,22
confuses,confus,30
du,de,81
du,le,71
réveil,réveil,21
",",",",p
bâillait,bâiller,18
",",",",p
se,se,51
détortillait,détortiller,18
",",",",p
demandant,demander,13
pardon,pardon,21
à,à,81
son,son,73
ancien,ancien,30
patron,patron,21
",",",",p
Birotteau,Birotteau,20
se,se,51
trouva,trouver,19
face,face,22
à,à,81
face,face,22
avec,avec,81
le,le,71
tigre,tigre,21
affamé,affamé,31
de,de,81
vengeance,vengeance,22
dans,dans,81
lequel,lequel,52
il,il,51
voyait,voir,18
son,son,73
seul,seul,30
ami,ami,21
/.,/.,P
-,-,p
faites,faire,17
",",",",p
faites,faire,17
!,!,p
disait,dire,18
Birotteau,Birotteau,20
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
",",",",p
mon,mon,73
bon,bon,30
César,César,20
?,?,p
dit,dire,19
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
César,César,20
livra,livrer,19
",",",",p
non,non,60
sans,sans,81
d',de,81
affreuses,affreux,30
palpitations,palpitation,22
",",",",p
la,le,71
réponse,réponse,22
et,et,82
les,le,71
exigences,exigence,22
du,de,81
du,le,71
baron,baron,21
de,de,81
Nucingen,Nucingen,20
à,à,81
l',le,71
inattention,inattention,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
qui,qui,52
l',le,52
entendait,entendre,18
en,en,81
cherchant,chercher,13
son,son,73
soufflet,soufflet,21
",",",",p
en,en,81
grondant,gronder,13
son,son,73
valet,valet,21
de,de,81
chambre,chambre,22
sur,sur,81
la,le,71
maladresse,maladresse,22
avec,avec,81
laquelle,lequel,52
il,il,51
allumait,allumer,18
son,son,73
feu,feu,21
/.,/.,P
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
écoutait,écouter,18
",",",",p
César,César,20
ne,ne,60
l',le,52
apercevait,apercevoir,18
pas,pas,60
",",",",p
mais,mais,82
il,il,51
le,le,52
vit,voir,19
enfin,enfin,60
",",",",p
s',se,51
arrêta,arrêter,19
confus,confus,30
et,et,82
reprit,reprendre,19
au,à,81
au,le,71
coup,coup,21
d',de,81
éperon,éperon,21
que,que,52
lui,lui,51
donna,donner,19
du,de,81
du,le,71
Tillet,Tillet,20
:,:,p
-,-,p
allez,aller,17
",",",",p
allez,aller,17
",",",",p
je,je,51
vous,vous,51
écoute,écouter,17
!,!,p
dit,dire,19
le,le,71
banquier,banquier,21
distrait,distrait,31
/.,/.,P
le,le,71
bonhomme,bonhomme,21
avait,avoir,18
sa,son,73
chemise,chemise,22
mouillée,mouillé,31
/.,/.,P
sa,son,73
sueur,sueur,22
se,se,51
glaça,glacer,19
quand,quand,83
du,de,81
du,le,71
Tillet,Tillet,20
dirigea,diriger,19
son,son,73
regard,regard,21
fixe,fixe,30
sur,sur,81
lui,lui,51
",",",",p
lui,lui,51
laissa,laisser,19
voir,voir,14
ses,son,73
prunelles,prunelle,22
d',de,81
argent,argent,21
tigrées,tigré,30
par,par,81
quelques,quelque,75
fils,fil,21
d',de,81
or,or,21
",",",",p
en,en,81
le,le,52
perçant,percer,13
jusqu',jusque,81
au,à,81
au,le,71
coeur,coeur,21
par,par,81
une,un,71
lueur,lueur,22
diabolique,diabolique,30
/.,/.,P
-,-,p
mon,mon,73
cher,cher,30
patron,patron,21
",",",",p
la,le,71
banque,banque,22
a,avoir,17
refusé,refuser,12
des,de,81
des,le,71
effets,effet,21
de,de,81
vous,vous,51
passés,passé,31
par,par,81
la,le,71
maison,maison,22
Claparon,Claparon,20
à,à,81
Gigonnet,Gigonnet,20
",",",",p
sans,sans,81
garantie,garantie,22
;,;,p
est,être,17
ce,ce,52
ma,mon,73
faute,faute,22
/?,/?,P
comment,comment,60
vous,vous,51
",",",",p
vieux,vieux,30
juge,juge,21
consulaire,consulaire,30
",",",",p
faites,faire,17
vous,vous,51
de,de,81
pareilles,pareil,30
boulettes,boulette,22
/?,/?,P
je,je,51
suis,être,17
avant,avant,81
tout,tout,75
banquier,banquier,21
/.,/.,P
je,je,51
vous,vous,51
donnerai,donner,15
mon,mon,73
argent,argent,21
",",",",p
mais,mais,82
je,je,51
ne,ne,60
saurais,savoir,16
exposer,exposer,14
ma,mon,73
signature,signature,22
à,à,81
recevoir,recevoir,14
un,un,71
refus,refus,21
de,de,81
la,le,71
banque,banque,22
;,;,p
je,je,51
n',ne,60
existe,exister,17
que,que,83
par,par,81
le,le,71
crédit,crédit,21
",",",",p
nous,nous,51
en,en,52
sommes,être,17
tous,tout,52
là,là,60
/.,/.,P
voulez,vouloir,17
vous,vous,51
de,de,81
l',le,71
argent,argent,21
/?,/?,P
pouvez,pouvoir,17
vous,vous,51
me,je,51
donner,donner,14
tout,tout,52
ce,ce,52
dont,dont,52
j',je,51
ai,avoir,17
besoin,besoin,21
/?,/?,P
cela,cela,52
dépend,dépendre,17
de,de,81
la,le,71
somme,somme,22
à,à,81
payer,payer,14
/!,/!,P
combien,combien,60
vous,vous,51
faut,falloir,17
il,il,51
/?,/?,P
trente,trente,72
mille,mille,72
francs,franc,21
/.,/.,P
-,-,p
beaucoup,beaucoup,60
de,de,81
tuyaux,tuyau,21
de,de,81
cheminées,cheminée,22
sur,sur,81
la,le,71
tête,tête,22
",",",",p
fit,faire,19
du,de,81
du,le,71
Tillet,Tillet,20
en,en,81
éclatant,éclater,13
de,de,81
rire,rire,21
/.,/.,P
en,en,81
entendant,entendre,13
ce,ce,74
rire,rire,21
",",",",p
le,le,71
parfumeur,parfumeur,21
",",",",p
abusé,abusé,31
par,par,81
le,le,71
luxe,luxe,21
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
voulut,vouloir,19
y,y,52
voir,voir,14
le,le,71
rire,rire,21
d',de,81
un,un,71
homme,homme,21
pour,pour,81
qui,qui,52
la,le,71
somme,somme,22
était,être,18
peu,peu,60
de,de,81
chose,chose,22
",",",",p
il,il,51
respira,respirer,19
/.,/.,P
du,de,81
du,le,71
Tillet,Tillet,20
sonna,sonner,19
/.,/.,P
-,-,p
faites,faire,17
monter,monter,14
mon,mon,73
caissier,caissier,21
/.,/.,P
-,-,p
il,il,51
n',ne,60
est,être,17
pas,pas,60
arrivé,arriver,12
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
le,le,71
valet,valet,21
de,de,81
chambre,chambre,22
/.,/.,P
-,-,p
ces,ce,74
drôles,drôle,21
là,là,60
se,se,51
moquent,moquer,17
de,de,81
moi,moi,51
!,!,p
il,il,51
est,être,17
huit,huit,72
heures,heure,22
et,et,82
demie,demi,30
",",",",p
on,on,51
doit,devoir,17
avoir,avoir,14
fait,faire,12
pour,pour,81
un,un,71
million,million,21
d',de,81
affaires,affaire,22
à,à,81
cette,ce,74
heure,heure,22
ci,ci,60
/.,/.,P
cinq,cinq,72
minutes,minute,22
après,après,81
",",",",p
monsieur,monsieur,21
Legras,Legras,20
monta,monter,19
/.,/.,P
-,-,p
qu',que,52
avons,avoir,17
nous,nous,51
en,en,81
caisse,caisse,22
/?,/?,P
vingt,vingt,72
mille,mille,72
francs,franc,21
seulement,seulement,60
/.,/.,P
monsieur,monsieur,21
a,avoir,17
donné,donner,12
l',le,71
ordre,ordre,21
d',de,81
acheter,acheter,14
pour,pour,81
trente,trente,72
mille,mille,72
francs,franc,21
de,de,81
rente,rente,22
au,à,81
au,le,71
comptant,comptant,21
",",",",p
payables,payable,30
le,le,71
quinze,quinze,72
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
je,je,51
dors,dormir,17
encore,encore,60
/.,/.,P
le,le,71
caissier,caissier,21
regarda,regarder,19
Birotteau,Birotteau,20
d',de,81
un,un,71
air,air,21
louche,louche,30
et,et,82
sortit,sortir,19
/.,/.,P
-,-,p
si,si,83
la,le,71
vérité,vérité,22
était,être,18
bannie,bannir,12
de,de,81
la,le,71
terre,terre,22
",",",",p
elle,il,51
confierait,confier,16
son,son,73
dernier,dernier,30
mot,mot,21
à,à,81
un,un,71
caissier,caissier,21
",",",",p
dit,dire,19
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
un,un,71
intérêt,intérêt,21
chez,chez,81
le,le,71
petit,petit,30
Popinot,Popinot,20
qui,qui,52
vient,venir,17
de,de,81
s',se,51
établir,établir,14
?,?,p
dit,dire,19
il,il,51
après,après,81
une,un,71
horrible,horrible,30
pause,pause,22
pendant,pendant,81
laquelle,lequel,52
la,le,71
sueur,sueur,22
emperla,emperler,19
le,le,71
front,front,21
du,de,81
du,le,71
parfumeur,parfumeur,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
naïvement,naïvement,60
Birotteau,Birotteau,20
",",",",p
croyez,croire,17
vous,vous,51
que,que,83
vous,vous,51
pourriez,pouvoir,16
m',je,51
escompter,escompter,14
sa,son,73
signature,signature,22
pour,pour,81
une,un,71
somme,somme,22
importante,important,30
/?,/?,P
apportez,apporter,17
moi,moi,51
cinquante,cinquante,72
mille,mille,72
francs,franc,21
de,de,81
ses,son,73
acceptations,acceptation,22
",",",",p
je,je,51
vous,vous,51
les,le,52
ferai,faire,15
faire,faire,14
à,à,81
un,un,71
taux,taux,21
raisonnable,raisonnable,30
chez,chez,81
un,un,71
certain,certain,75
Gobseck,Gobseck,20
",",",",p
très,très,60
doux,doux,30
quand,quand,83
il,il,51
a,avoir,17
beaucoup,beaucoup,60
de,de,81
fonds,fonds,21
à,à,81
placer,placer,14
",",",",p
et,et,82
il,il,51
en,en,52
a,avoir,17
/.,/.,P
Birotteau,Birotteau,20
revint,revenir,19
chez,chez,81
lui,lui,51
navré,navré,31
",",",",p
sans,sans,81
s',se,51
apercevoir,apercevoir,14
que,que,83
les,le,71
banquiers,banquier,21
se,se,51
le,le,52
renvoyaient,renvoyer,18
comme,comme,83
un,un,71
volant,volant,21
sur,sur,81
des,de,81
des,le,71
raquettes,raquette,22
;,;,p
mais,mais,82
Constance,Constance,20
avait,avoir,18
déjà,déjà,60
deviné,deviner,12
que,que,83
tout,tout,75
crédit,crédit,21
était,être,18
impossible,impossible,30
/.,/.,P
si,si,83
déjà,déjà,60
trois,trois,72
banquiers,banquier,21
avaient,avoir,18
refusé,refuser,12
",",",",p
tous,tout,52
devaient,devoir,18
s',se,51
être,être,14
questionnés,questionner,12
sur,sur,81
un,un,71
homme,homme,21
aussi,aussi,60
en,en,81
vue,vue,22
que,que,52
l',le,71
adjoint,adjoint,21
",",",",p
et,et,82
conséquemment,conséquemment,60
la,le,71
Banque de France,Banque de France,20
n',ne,60
était,être,18
plus,plus,60
une,un,71
ressource,ressource,22
/.,/.,P
-,-,p
essaye,essayer,17
de,de,81
renouveler,renouveler,14
",",",",p
dit,dire,19
Constance,Constance,20
",",",",p
et,et,82
va,aller,17
chez,chez,81
monsieur,monsieur,21
Claparon,Claparon,20
",",",",p
ton,ton,73
coassocié,coassocié,21
",",",",p
enfin,enfin,60
chez,chez,81
tous,tout,75
ceux,celui,52
à,à,81
qui,qui,52
tu,tu,51
as,avoir,17
remis,remettre,12
les,le,71
effets,effet,21
du,de,81
du,le,71
quinze,quinze,72
",",",",p
et,et,82
propose,proposer,17
des,de,81
des,le,71
renouvellements,renouvellement,21
/.,/.,P
il,il,51
sera,être,15
toujours,toujours,60
temps,temps,21
de,de,81
revenir,revenir,14
chez,chez,81
les,le,71
escompteurs,escompteur,21
avec,avec,81
du,de,81
du,le,71
papier,papier,21
Popinot,Popinot,20
/.,/.,P
-,-,p
demain,demain,60
le,le,71
treize,treize,72
!,!,p
dit,dire,19
Birotteau,Birotteau,20
tout,tout,60
à,à,81
fait,fait,21
abattu,abattu,31
/.,/.,P
suivant,suivant,81
l',le,71
expression,expression,22
de,de,81
son,son,73
prospectus,prospectus,21
",",",",p
il,il,51
jouissait,jouir,18
de,de,81
ce,ce,74
tempérament,tempérament,21
sanguin,sanguin,30
qui,qui,52
consomme,consommer,17
énormément,énormément,60
par,par,81
les,le,71
émotions,émotion,22
ou,ou,82
par,par,81
la,le,71
pensée,pensée,22
",",",",p
et,et,82
qui,qui,52
veut,vouloir,17
absolument,absolument,60
du,de,81
du,le,71
sommeil,sommeil,21
pour,pour,81
réparer,réparer,14
ses,son,73
pertes,perte,22
/.,/.,P
Césarine,Césarine,20
l',le,52
amena,amener,19
dans,dans,81
le,le,71
salon,salon,21
et,et,82
lui,lui,51
joua,jouer,19
pour,pour,81
le,le,52
récréer,récréer,14
le,le,71
songe,songe,21
de,de,81
Rousseau,Rousseau,20
",",",",p
très,très,60
joli,joli,30
morceau,morceau,21
d',de,81
Hérold,Hérold,20
/.,/.,P
Constance,Constance,20
travaillait,travailler,18
auprès,auprès,60
de,de,81
lui,lui,51
/.,/.,P
le,le,71
pauvre,pauvre,30
homme,homme,21
se,se,51
laissa,laisser,19
aller,aller,14
la,le,71
tête,tête,22
sur,sur,81
une,un,71
ottomane,ottoman,30
",",",",p
et,et,82
toutes,tout,75
les,le,71
fois,fois,22
qu',que,83
il,il,51
levait,lever,18
les,le,71
yeux,oeil,21
sur,sur,81
elle,il,51
",",",",p
il,il,51
la,le,52
voyait,voir,18
un,un,71
doux,doux,30
sourire,sourire,21
sur,sur,81
les,le,71
