11421
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-deuxième extrait>,<>,<>
me,je,51
semble,sembler,17
bien,bien,60
cependant,cependant,82
",",",",p
que,que,83
je,je,51
suis,être,17
le,le,71
comte,comte,21
Olaf,Olaf,20
Labinski,Labinski,20
/.,/.,P
“,“,p
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
jeté,jeté,31
sur,sur,81
le,le,71
miroir,miroir,21
le,le,52
convainquit,convaincre,19
que,que,83
cette,ce,74
opinion,opinion,22
ne,ne,60
serait,être,16
partagée,partager,12
de,de,81
personne,personne,52
;,;,p
à,à,81
la,le,71
pure,pur,30
clarté,clarté,22
du,de,81
du,le,71
jour,jour,21
",",",",p
aux,à,81
aux,le,71
douteuses,douteux,30
lueurs,lueur,22
des,de,81
des,le,71
bougies,bougie,22
",",",",p
le,le,71
reflet,reflet,21
était,être,18
identique,identique,30
/.,/.,P
en,en,81
continuant,continuer,13
la,le,71
visite,visite,22
domiciliaire,domiciliaire,30
",",",",p
il,il,51
ouvrit,ouvrir,19
les,le,71
tiroirs,tiroir,21
de,de,81
la,le,71
table,table,22
:,:,p
dans,dans,81
l',le,71
un,un,52
il,il,51
trouva,trouver,19
des,de,81
des,le,71
titres,titre,21
de,de,81
propriété,propriété,22
",",",",p
deux,deux,72
billets,billet,21
de,de,81
mille,mille,72
francs,franc,21
et,et,82
cinquante,cinquante,72
louis,louis,21
",",",",p
qu',que,52
il,il,51
s',se,51
appropria,approprier,19
sans,sans,81
scrupule,scrupule,21
pour,pour,81
les,le,71
besoins,besoin,21
de,de,81
la,le,71
campagne,campagne,22
qu',que,83
il,il,51
allait,aller,18
commencer,commencer,14
",",",",p
et,et,82
dans,dans,81
l',le,71
autre,autre,52
un,un,71
portefeuille,portefeuille,21
en,en,81
cuir,cuir,21
de,de,81
Russie,Russie,20
fermé,fermé,31
par,par,81
une,un,71
serrure,serrure,22
à,à,81
secret,secret,21
/.,/.,P
Jean,Jean,20
entra,entrer,19
",",",",p
en,en,81
annonçant,annoncer,13
monsieur,monsieur,21
Alfred,Alfred,20
Humbert,Humbert,20
",",",",p
qui,qui,52
s',se,51
élança,élancer,19
dans,dans,81
la,le,71
chambre,chambre,22
avec,avec,81
la,le,71
familiarité,familiarité,22
d',de,81
un,un,71
ancien,ancien,30
ami,ami,21
",",",",p
sans,sans,81
attendre,attendre,14
que,que,83
le,le,71
domestique,domestique,21
vînt,venir,18
lui,lui,51
rendre,rendre,14
la,le,71
réponse,réponse,22
du,de,81
du,le,71
maître,maître,21
/.,/.,P
“,“,p
bonjour,bonjour,21
",",",",p
Octave,Octave,20
",",",",p
dit,dire,19
le,le,71
nouveau,nouveau,30
venu,venu,21
",",",",p
beau,beau,30
jeune,jeune,30
homme,homme,21
à,à,81
l',le,71
air,air,21
cordial,cordial,30
et,et,82
franc,franc,30
;,;,p
que,que,52
fais,faire,17
tu,tu,51
",",",",p
que,que,52
deviens,devenir,17
tu,tu,51
",",",",p
es,être,17
tu,tu,51
mort,mourir,12
ou,ou,82
vivant,vivre,13
/?,/?,P
on,on,51
ne,ne,60
te,tu,51
voit,voir,17
nulle,nul,75
part,part,22
;,;,p
on,on,51
t',tu,51
écrit,écrire,17
",",",",p
tu,tu,51
ne,ne,60
réponds,répondre,17
pas,pas,60
/.,/.,P
-,-,p
je,je,51
devrais,devoir,16
te,tu,51
bouder,bouder,14
",",",",p
mais,mais,82
",",",",p
ma,mon,73
foi,foi,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
d',de,81
amour-propre,amour-propre,21
",",",",p
en,en,81
affection,affection,22
",",",",p
et,et,82
je,je,51
viens,venir,17
te,tu,51
serrer,serrer,14
la,le,71
main,main,22
/.,/.,P
-,-,p
que,que,52
diable,diable,21
!,!,p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
laisser,laisser,14
mourir,mourir,14
de,de,81
mélancolie,mélancolie,22
son,son,73
camarade,camarade,21
de,de,81
collège,collège,21
au,à,81
au,le,71
fond,fond,21
de,de,81
cet,ce,74
appartement,appartement,21
lugubre,lugubre,30
comme,comme,83
la,le,71
cellule,cellule,22
de,de,81
Charles Quint,Charles Quint,20
au,à,81
au,le,71
monastère,monastère,21
de,de,81
Yuste,Yuste,20
/.,/.,P
tu,tu,51
te,tu,51
figures,figurer,17
que,que,83
tu,tu,51
es,être,17
malade,malade,30
",",",",p
tu,tu,51
t',tu,51
ennuies,ennuyer,17
",",",",p
voilà,voilà,81
tout,tout,52
;,;,p
mais,mais,82
je,je,51
te,tu,51
forcerai,forcer,15
à,à,81
te,tu,51
distraire,distraire,14
",",",",p
et,et,82
je,je,51
vais,aller,17
t',tu,51
emmener,emmener,14
d',de,81
autorité,autorité,22
à,à,81
un,un,71
joyeux,joyeux,30
déjeuner,déjeuner,14
où,où,60
Gustave,Gustave,20
Raimbaud,Raimbaud,20
enterre,enterrer,17
sa,son,73
liberté,liberté,22
de,de,81
garçon,garçon,21
/.,/.,P
“,“,p
en,en,81
débitant,débiter,13
cette,ce,74
tirade,tirade,22
d',de,81
un,un,71
ton,ton,73
moitié,moitié,22
fâché,fâché,31
",",",",p
moitié,moitié,22
comique,comique,30
",",",",p
il,il,51
secouait,secouer,18
vigoureusement,vigoureusement,60
à,à,81
la,le,71
manière,manière,22
anglaise,anglais,30
la,le,71
main,main,22
du,de,81
du,le,71
comte,comte,21
qu',que,83
il,il,51
avait,avoir,18
prise,prendre,12
/.,/.,P
“,“,p
non,non,60
",",",",p
répondit,répondre,19
le,le,71
mari,mari,21
de,de,81
Prascovie,Prascovie,20
",",",",p
entrant,entrer,13
dans,dans,81
l',le,71
esprit,esprit,21
de,de,81
son,son,73
rôle,rôle,21
",",",",p
je,je,51
suis,être,17
plus,plus,60
souffrant,souffrant,30
aujourd'hui,aujourd'hui,60
que,que,83
d',de,81
ordinaire,ordinaire,21
;,;,p
je,je,51
ne,ne,60
me,je,51
sens,sentir,17
pas,pas,60
en,en,81
train,train,21
;,;,p
je,je,51
vous,vous,51
attristerais,attrister,16
et,et,82
vous,vous,51
gênerais,gêner,16
/.,/.,P
-,-,p
en,en,81
effet,effet,21
",",",",p
tu,tu,51
es,être,17
bien,bien,60
pâle,pâle,30
et,et,82
tu,tu,51
as,avoir,17
l',le,71
air,air,21
fatigué,fatigué,31
;,;,p
à,à,81
une,un,71
occasion,occasion,22
meilleure,meilleur,30
/!,/!,P
je,je,51
me,je,51
sauve,sauver,17
",",",",p
car,car,82
je,je,51
suis,être,17
en,en,81
retard,retard,21
de,de,81
trois,trois,72
douzaines,douzaine,22
d',de,81
huîtres,huître,22
vertes,vert,30
et,et,82
d',de,81
une,un,71
bouteille,bouteille,22
de,de,81
vin,vin,21
de,de,81
Sauterne,Sauterne,20
",",",",p
dit,dire,19
Alfred,Alfred,20
en,en,81
se,se,51
dirigeant,diriger,13
vers,vers,81
la,le,71
porte,porte,22
;,;,p
Raimbaud,Raimbaud,20
sera,être,15
fâché,fâcher,12
de,de,81
ne,ne,60
pas,pas,60
te,tu,51
voir,voir,14
/.,/.,P
“,“,p
cette,ce,74
visite,visite,22
augmenta,augmenter,19
la,le,71
tristesse,tristesse,22
du,de,81
du,le,71
comte,comte,21
/.,/.,P
-,-,p
Jean,Jean,20
le,le,52
prenait,prendre,18
pour,pour,81
son,son,73
maître,maître,21
/.,/.,P
Alfred,Alfred,20
pour,pour,81
son,son,73
ami,ami,21
/.,/.,P
une,un,71
dernière,dernier,30
épreuve,épreuve,22
lui,lui,51
manquait,manquer,18
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
;,;,p
une,un,71
dame,dame,22
dont,dont,52
les,le,71
bandeaux,bandeau,21
étaient,être,18
entremêlés,entremêler,12
de,de,81
fils,fil,21
d',de,81
argent,argent,21
",",",",p
et,et,82
qui,qui,52
ressemblait,ressembler,18
d',de,81
une,un,71
manière,manière,22
frappante,frappant,30
au,à,81
au,le,71
portrait,portrait,21
suspendu,suspendu,31
à,à,81
la,le,71
muraille,muraille,22
",",",",p
entra,entrer,19
dans,dans,81
la,le,71
chambre,chambre,22
",",",",p
s',se,51
assit,asseoir,19
sur,sur,81
le,le,71
divan,divan,21
",",",",p
et,et,82
dit,dire,19
au,à,81
au,le,71
comte,comte,21
:,:,p
“,“,p
comment,comment,60
vas,aller,17
tu,tu,51
",",",",p
mon,mon,73
pauvre,pauvre,30
Octave,Octave,20
/?,/?,P
Jean,Jean,20
m',je,51
a,avoir,17
dit,dire,12
que,que,83
tu,tu,51
étais,être,18
rentré,rentrer,12
tard,tard,60
hier,hier,60
",",",",p
et,et,82
dans,dans,81
un,un,71
état,état,21
de,de,81
faiblesse,faiblesse,22
alarmante,alarmant,30
;,;,p
ménage,ménager,17
toi,toi,51
bien,bien,60
",",",",p
mon,mon,73
cher,cher,30
fils,fils,21
",",",",p
car,car,82
tu,tu,51
sais,savoir,17
combien,combien,60
je,je,51
t',tu,51
aime,aimer,17
",",",",p
malgré,malgré,81
le,le,71
chagrin,chagrin,21
que,que,83
me,je,51
cause,causer,17
cette,ce,74
inexplicable,inexplicable,30
tristesse,tristesse,22
dont,dont,52
tu,tu,51
n',ne,60
as,avoir,17
jamais,jamais,60
voulu,vouloir,12
me,je,51
confier,confier,14
le,le,71
secret,secret,30
/.,/.,P
-,-,p
ne,ne,60
craignez,craindre,17
rien,rien,52
",",",",p
ma,mon,73
mère,mère,22
",",",",p
cela,cela,52
n',ne,60
a,avoir,17
rien,rien,52
de,de,81
grave,grave,30
",",",",p
répondit,répondre,19
Olaf,Olaf,20
de,de,81
Saville,Saville,20
;,;,p
je,je,51
suis,être,17
beaucoup,beaucoup,60
mieux,mieux,60
aujourd'hui,aujourd'hui,60
/.,/.,P
“,“,p
madame,madame,22
de,de,81
Saville,Saville,20
",",",",p
rassurée,rassuré,31
",",",",p
se,se,51
leva,lever,19
et,et,82
sortit,sortir,19
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
gêner,gêner,14
son,son,73
fils,fils,21
",",",",p
qu',que,83
elle,il,51
savait,savoir,18
ne,ne,60
pas,pas,60
aimer,aimer,14
à,à,81
être,être,14
troublé,troubler,12
longtemps,longtemps,60
dans,dans,81
sa,son,73
solitude,solitude,22
/.,/.,P
“,“,p
me,je,51
voilà,voilà,81
bien,bien,60
définitivement,définitivement,60
Octave,Octave,20
de,de,81
Saville,Saville,20
",",",",p
s',se,51
écria,écrier,19
le,le,71
comte,comte,21
lorsque,lorsque,83
la,le,71
vieille,vieux,30
dame,dame,22
fut,être,19
partie,partir,12
;,;,p
sa,son,73
mère,mère,22
me,je,51
reconnaît,reconnaître,17
et,et,82
ne,ne,60
devine,deviner,17
pas,pas,60
une,un,71
âme,âme,22
étrangère,étranger,30
sous,sous,81
l',le,71
épiderme,épiderme,21
de,de,81
son,son,73
fils,fils,21
/.,/.,P
je,je,51
suis,être,17
donc,donc,82
à,à,81
jamais,jamais,60
peut-être,peut-être,60
claquemuré,claquemurer,12
dans,dans,81
cette,ce,74
enveloppe,enveloppe,22
;,;,p
quelle,quel,75
étrange,étrange,30
prison,prison,22
pour,pour,81
un,un,71
esprit,esprit,21
que,que,83
le,le,71
corps,corps,21
d',de,81
un,un,71
autre,autre,52
/!,/!,P
il,il,51
est,être,17
dur,dur,30
pourtant,pourtant,60
de,de,81
renoncer,renoncer,14
à,à,81
être,être,14
le,le,71
comte,comte,21
Olaf,Olaf,20
Labinski,Labinski,20
",",",",p
de,de,81
perdre,perdre,14
son,son,73
blason,blason,21
",",",",p
sa,son,73
femme,femme,22
",",",",p
sa,son,73
fortune,fortune,22
",",",",p
et,et,82
de,de,81
se,se,51
voir,voir,14
réduit,réduit,21
à,à,81
une,un,71
chétive,chétif,30
existence,existence,22
bourgeoise,bourgeois,30
/.,/.,P
oh,oh,93
!,!,p
je,je,51
la,le,52
déchirerai,déchirer,15
",",",",p
pour,pour,81
en,en,52
sortir,sortir,14
",",",",p
cette,ce,74
peau,peau,22
de,de,81
Nessus,Nessus,20
qui,qui,52
s',se,51
attache,attacher,17
à,à,81
mon,mon,73
moi,moi,51
",",",",p
et,et,82
je,je,51
ne,ne,60
la,le,52
rendrai,rendre,15
qu',que,83
en,en,81
pièces,pièce,22
à,à,81
son,son,73
premier,premier,72
possesseur,possesseur,21
/.,/.,P
si,si,83
je,je,51
retournais,retourner,18
à,à,81
l',le,71
hôtel,hôtel,21
/?,/?,P
non,non,60
/!,/!,P
je,je,51
ferais,faire,16
un,un,71
scandale,scandale,21
inutile,inutile,30
",",",",p
et,et,82
le,le,71
suisse,suisse,21
me,je,51
jetterait,jeter,16
à,à,81
la,le,71
porte,porte,22
",",",",p
car,car,82
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
de,de,81
vigueur,vigueur,22
dans,dans,81
cette,ce,74
robe,robe,22
de,de,81
chambre,chambre,22
de,de,81
malade,malade,21
;,;,p
voyons,voir,17
",",",",p
cherchons,chercher,17
",",",",p
car,car,82
il,il,51
faut,falloir,17
que,que,83
je,je,51
sache,savoir,17
un,un,71
peu,peu,60
la,le,71
vie,vie,22
de,de,81
cet,ce,74
Octave,Octave,20
de,de,81
Saville,Saville,20
qui,qui,52
est,être,17
moi,moi,51
maintenant,maintenant,60
/.,/.,P
et,et,82
il,il,51
essayai,essayer,19
d',de,81
ouvrir,ouvrir,14
le,le,71
portefeuille,portefeuille,21
/.,/.,P
le,le,71
ressort,ressort,21
touché,touché,31
par,par,81
hasard,hasard,21
céda,céder,19
",",",",p
et,et,82
le,le,71
comte,comte,21
tira,tirer,19
",",",",p
des,de,81
des,le,71
poches,poche,22
de,de,81
cuir,cuir,21
",",",",p
d'abord,d'abord,60
plusieurs,plusieurs,75
papiers,papier,21
",",",",p
noircis,noirci,31
d',de,81
une,un,71
écriture,écriture,22
serrée,serré,31
et,et,82
fine,fin,30
",",",",p
ensuite,ensuite,60
un,un,71
carré,carré,21
de,de,81
vélin,vélin,21
;,;,p
-,-,p
sur,sur,81
le,le,71
carré,carré,21
de,de,81
vélin,vélin,21
une,un,71
main,main,22
peu,peu,60
habile,habile,30
",",",",p
mais,mais,82
fidèle,fidèle,30
",",",",p
avait,avoir,18
dessiné,dessiner,12
",",",",p
avec,avec,81
la,le,71
mémoire,mémoire,22
du,de,81
du,le,71
coeur,coeur,21
et,et,82
la,le,71
ressemblance,ressemblance,22
que,que,83
n',ne,60
atteignent,atteindre,17
pas,pas,60
toujours,toujours,60
les,le,71
grands,grand,30
artistes,artiste,21
",",",",p
un,un,71
portrait,portrait,21
au,à,81
au,le,71
crayon,crayon,21
de,de,81
la,le,71
comtesse,comtesse,22
Prascovie,Prascovie,20
Labinska,Labinska,20
",",",",p
qu',que,52
il,il,51
était,être,18
impossible,impossible,30
de,de,81
ne,ne,60
pas,pas,60
reconnaître,reconnaître,14
du,de,81
du,le,71
premier,premier,72
coup,coup,21
d',de,81
oeil,oeil,21
/.,/.,P
le,le,71
comte,comte,21
demeura,demeurer,19
stupéfait,stupéfait,30
de,de,81
cette,ce,74
découverte,découverte,22
/.,/.,P
à,à,81
la,le,71
surprise,surprise,22
succéda,succéder,19
un,un,71
furieux,furieux,30
mouvement,mouvement,21
de,de,81
jalousie,jalousie,22
;,;,p
comment,comment,60
le,le,71
portrait,portrait,21
de,de,81
la,le,71
comtesse,comtesse,22
se,se,51
trouvait,trouver,18
il,il,51
dans,dans,81
le,le,71
portefeuille,portefeuille,21
secret,secret,30
de,de,81
ce,ce,74
jeune,jeune,30
homme,homme,21
inconnu,inconnu,30
",",",",p
d',de,81
où,où,60
lui,lui,51
venait,venir,18
il,il,51
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
fait,faire,12
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
donné,donner,12
/?,/?,P
cette,ce,74
Prascovie,Prascovie,20
",",",",p
si,si,60
religieusement,religieusement,60
adorée,adoré,31
serait,être,16
elle,il,51
descendue,descendre,12
de,de,81
son,son,73
ciel,ciel,21
d',de,81
amour,amour,21
dans,dans,81
une,un,71
intrigue,intrigue,22
vulgaire,vulgaire,30
/?,/?,P
quelle,quel,75
raillerie,raillerie,22
infernale,infernal,30
l',le,52
incarnait,incarner,18
",",",",p
lui,lui,51
",",",",p
le,le,71
mari,mari,21
",",",",p
dans,dans,81
le,le,71
corps,corps,21
de,de,81
l',le,71
amant,amant,21
de,de,81
cette,ce,74
femme,femme,22
",",",",p
jusque-là,jusque-là,81
crue,crue,22
si,si,60
pure,pur,30
/?,/?,P
après,après,81
avoir,avoir,14
été,être,12
l',le,71
époux,époux,21
",",",",p
il,il,51
allait,aller,18
être,être,14
le,le,71
galant,galant,30
/!,/!,P
sarcastique,sarcastique,30
métamorphose,métamorphose,22
",",",",p
renversement,renversement,21
de,de,81
position,position,22
à,à,81
devenir,devenir,14
fou,fou,30
",",",",p
il,il,51
pourrait,pouvoir,16
se,se,51
tromper,tromper,14
lui-même,lui-même,51
",",",",p
être,être,14
à,à,81
la,le,71
fois,fois,22
Clitandre,Clitandre,20
et,et,82
George,George,20
Dandin,Dandin,20
/!,/!,P
toute,tout,75
ces,ce,74
idées,idée,22
bourdonnaient,bourdonner,18
tumultueusement,tumultueusement,60
dans,dans,81
son,son,73
crâne,crâne,21
;,;,p
il,il,51
sentait,sentir,18
sa,son,73
raison,raison,22
près,près,81
de,de,81
s',se,51
échapper,échapper,14
",",",",p
et,et,82
il,il,51
fit,faire,19
",",",",p
pour,pour,81
reprendre,reprendre,14
un,un,71
peu,peu,60
de,de,81
calme,calme,21
",",",",p
un,un,71
effort,effort,21
suprême,suprême,30
de,de,81
volonté,volonté,22
/.,/.,P
sans,sans,81
écouter,écouter,14
Jean,Jean,20
qui,qui,52
l',le,52
avertissait,avertir,18
que,que,83
le,le,71
déjeuner,déjeuner,21
était,être,18
servi,servir,12
",",",",p
il,il,51
continua,continuer,19
avec,avec,81
une,un,71
trépidation,trépidation,22
nerveuse,nerveux,30
l',le,71
examen,examen,21
du,de,81
du,le,71
portefeuille,portefeuille,21
mystérieux,mystérieux,30
/.,/.,P
les,le,71
feuillets,feuillet,21
composaient,composer,18
une,un,71
espèce,espèce,22
de,de,81
journal,journal,21
psychologique,psychologique,30
",",",",p
abandonné,abandonné,31
et,et,82
repris,repris,31
à,à,81
diverses,divers,30
époques,époque,22
;,;,p
en,en,52
voici,voici,81
quelques,quelque,75
fragments,fragment,21
",",",",p
dévorés,dévoré,31
par,par,81
le,le,71
comte,comte,21
avec,avec,81
une,un,71
curiosité,curiosité,22
anxieuse,anxieux,30
:,:,p
“,“,p
jamais,jamais,60
elle,il,51
ne,ne,60
m',je,51
aimera,aimer,15
",",",",p
jamais,jamais,60
",",",",p
jamais,jamais,60
/!,/!,P
j',je,51
ai,avoir,17
lu,lire,12
dans,dans,81
ses,son,73
yeux,oeil,21
si,si,60
doux,doux,30
ce,ce,74
mot,mot,21
si,si,60
cruel,cruel,30
",",",",p
que,que,83
Dante,Dante,20
n',ne,60
en,en,52
a,avoir,17
pas,pas,60
trouvé,trouver,12
de,de,81
plus,plus,60
dur,dur,30
pour,pour,81
l',le,52
inscrire,inscrire,14
sur,sur,81
les,le,71
portes,porte,22
de,de,81
bronze,bronze,21
de,de,81
la,le,71
Cité,Cité,20
dolente,dolent,30
:,:,p
“,“,p
perdez,perdre,17
tout,tout,75
espoir,espoir,21
/.,/.,P
“,“,p
qu',que,52
ai,avoir,17
je,je,51
fait,faire,12
à,à,81
dieu,dieu,21
pour,pour,81
être,être,14
damné,damner,12
vivant,vivant,30
/?,/?,P
demain,demain,60
",",",",p
après-demain,après-demain,60
",",",",p
toujours,toujours,60
",",",",p
ce,ce,52
sera,être,15
la,le,71
même,même,75
chose,chose,22
/!,/!,P
les,le,71
astres,astre,21
peuvent,pouvoir,17
entrecroiser,entrecroiser,14
leurs,leur,73
orbes,orbe,21
",",",",p
les,le,71
étoiles,étoile,22
en,en,81
conjonction,conjonction,22
former,former,14
des,de,81
des,le,71
noeuds,noeud,21
",",",",p
rien,rien,52
dans,dans,81
mon,mon,73
sort,sort,21
ne,ne,60
changera,changer,15
/.,/.,P
d',de,81
un,un,71
mot,mot,21
",",",",p
elle,il,51
a,avoir,17
dissipé,dissiper,12
le,le,71
rêve,rêve,21
;,;,p
d',de,81
un,un,71
geste,geste,21
",",",",p
brisé,briser,12
l',le,71
aile,aile,22
à,à,81
la,le,71
chimère,chimère,22
/.,/.,P
les,le,71
combinaisons,combinaison,22
fabuleuses,fabuleux,30
des,de,81
des,le,71
impossibilités,impossibilité,22
ne,ne,60
m',je,51
offrent,offrir,17
aucune,aucun,75
chance,chance,22
;,;,p
les,le,71
chiffres,chiffre,21
",",",",p
rejetés,rejeté,31
un,un,71
milliard,milliard,21
de,de,81
fois,fois,22
dans,dans,81
la,le,71
roue,roue,22
de,de,81
la,le,71
fortune,fortune,22
",",",",p
n',ne,60
en,en,52
sortiraient,sortir,16
pas,pas,60
",",",",p
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
numéro,numéro,21
gagnant,gagnant,30
pour,pour,81
moi,moi,51
/!,/!,P
malheureux,malheureux,30
que,que,83
je,je,51
suis,être,17
!,!,p
je,je,51
sais,savoir,17
que,que,83
le,le,71
paradis,paradis,21
m',je,51
est,être,17
fermé,fermer,12
et,et,82
je,je,51
reste,rester,17
stupidement,stupidement,60
assis,assis,31
au,à,81
au,le,71
seuil,seuil,21
",",",",p
le,le,71
dos,dos,21
appuyé,appuyé,31
à,à,81
la,le,71
porte,porte,22
",",",",p
qui,qui,52
ne,ne,60
doit,devoir,17
pas,pas,60
s',se,51
ouvrir,ouvrir,14
",",",",p
et,et,82
je,je,51
pleure,pleurer,17
en,en,81
silence,silence,21
",",",",p
sans,sans,81
secousses,secousse,22
",",",",p
sans,sans,81
efforts,effort,21
",",",",p
comme,comme,83
si,si,83
mes,mon,73
yeux,oeil,21
étaient,être,18
des,de,81
des,le,71
sources,source,22
d',de,81
eau,eau,22
vive,vif,30
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
courage,courage,21
de,de,81
me,je,51
lever,lever,14
et,et,82
de,de,81
m',je,51
enfoncer,enfoncer,14
au,à,81
au,le,71
désert,désert,21
immense,immense,30
ou,ou,82
dans,dans,81
la,le,71
Babel,Babel,20
tumultueuse,tumultueux,30
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
“,“,p
“,“,p
quelquefois,quelquefois,60
",",",",p
quand,quand,83
",",",",p
la,le,71
nuit,nuit,22
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
dormir,dormir,14
",",",",p
je,je,51
pense,penser,17
à,à,81
Prascovie,Prascovie,20
;,;,p
-,-,p
si,si,83
je,je,51
dors,dormir,17
",",",",p
j',je,51
en,en,52
rêve,rêver,17
;,;,p
-,-,p
oh,oh,93
!,!,p
qu',que,52
elle,il,51
était,être,18
belle,beau,30
ce,ce,74
jour,jour,21
là,là,60
",",",",p
dans,dans,81
le,le,71
jardin,jardin,21
de,de,81
la,le,71
villa,villa,22
Salviati,Salviati,20
",",",",p
à,à,81
Florence,Florence,20
/!,/!,P
cette,ce,74
robe,robe,22
blanche,blanc,30
et,et,82
ces,ce,74
rubans,ruban,21
noirs,noir,30
",",",",p
-,-,p
c',ce,52
était,être,18
charmant,charmant,30
et,et,82
funèbre,funèbre,30
/!,/!,P
le,le,71
blanc,blanc,21
pour,pour,81
elle,il,51
",",",",p
le,le,71
noir,noir,30
pour,pour,81
moi,moi,51
/!,/!,P
quelquefois,quelquefois,60
les,le,71
rubans,ruban,21
",",",",p
remués,remué,31
par,par,81
la,le,71
brise,brise,22
",",",",p
formaient,former,18
une,un,71
croix,croix,22
sur,sur,81
ce,ce,74
fond,fond,21
d',de,81
éclatante,éclatant,30
blancheur,blancheur,22
;,;,p
un,un,71
esprit,esprit,21
invisible,invisible,30
disait,dire,18
tout,tout,60
bas,bas,60
la,le,71
messe,messe,22
de,de,81
mort,mort,21
de,de,81
mon,mon,73
coeur,coeur,21
/.,/.,P
“,“,p
“,“,p
si,si,83
quelque,quelque,75
catastrophe,catastrophe,22
inouïe,inouï,30
mettait,mettre,18
sur,sur,81
mon,mon,73
front,front,21
la,le,52
couronne,couronner,17
des,de,81
des,le,71
empereurs,empereur,21
et,et,82
des,de,81
des,le,71
califes,calife,21
",",",",p
si,si,83
la,le,71
terre,terre,22
saignait,saigner,18
pour,pour,81
moi,moi,51
ses,son,73
veines,veine,22
d',de,81
or,or,21
",",",",p
si,si,83
les,le,71
mines,mine,22
de,de,81
diamant,diamant,21
de,de,81
Golconde,Golconde,20
et,et,82
de,de,81
Visapour,Visapour,20
me,je,51
laissaient,laisser,18
fouiller,fouiller,14
dans,dans,81
leurs,leur,73
gangues,gangue,22
étincelantes,étincelant,30
",",",",p
si,si,83
la,le,71
lyre,lyre,22
de,de,81
Byron,Byron,20
résonnait,résonner,18
sous,sous,81
mes,mon,73
doigts,doigt,21
",",",",p
si,si,83
les,le,71
plus,plus,60
parfaits,parfait,31
chefs-d'oeuvre,chef-d'oeuvre,21
de,de,81
l',le,71
art,art,21
antique,antique,30
et,et,82
moderne,moderne,30
me,je,51
prêtaient,prêter,18
leurs,leur,73
beautés,beauté,22
",",",",p
si,si,83
je,je,51
découvrais,découvrir,18
un,un,71
monde,monde,21
",",",",p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
n',ne,60
en,en,52
sais,savoir,17
pas,pas,60
plus,plus,60
avancé,avancé,31
pour,pour,81
cela,cela,52
/!,/!,P
à,à,81
quoi,quoi,52
tient,tenir,17
la,le,71
destinée,destinée,22
!,!,p
j',je,51
avais,avoir,18
envie,envie,22
d',de,81
aller,aller,14
à,à,81
Constantinople,Constantinople,20
",",",",p
je,je,51
ne,ne,60
l',le,52
aurais,avoir,16
pas,pas,60
rencontrée,rencontrer,12
;,;,p
je,je,51
reste,rester,17
à,à,81
Florence,Florence,20
",",",",p
je,je,51
la,le,52
vois,voir,17
et,et,82
je,je,51
meurs,mourir,17
/.,/.,P
“,“,p
“,“,p
je,je,51
me,je,51
serais,être,16
bien,bien,60
tué,tuer,12
;,;,p
mais,mais,82
elle,il,51
respire,respirer,17
dans,dans,81
cet,ce,74
air,air,21
où,où,60
nous,nous,51
vivons,vivre,17
",",",",p
et,et,82
peut-être,peut-être,60
ma,mon,73
lèvre,lèvre,22
avide,avide,30
aspirera,aspirer,15
t,t,94
elle,il,51
-,-,p
ô,oh,93
bonheur,bonheur,21
ineffable,ineffable,30
!,!,p
une,un,71
effluve,effluve,21
lointaine,lointain,30
de,de,81
ce,ce,74
souffle,souffle,21
embaumé,embaumé,31
;,;,p
et,et,82
puis,puis,60
l',l',94
on,on,51
assignerait,assigner,16
à,à,81
mon,mon,73
âme,âme,22
coupable,coupable,30
une,un,71
planète,planète,22
d',de,81
exil,exil,21
",",",",p
et,et,82
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
la,le,71
chance,chance,22
de,de,81
me,je,51
faire,faire,14
aimer,aimer,14
d',de,81
elle,il,51
dans,dans,81
l',le,71
autre,autre,75
vie,vie,22
/.,/.,P
-,-,p
être,être,14
encore,encore,60
séparés,séparer,12
là-bas,là-bas,60
",",",",p
elle,il,51
au,à,81
au,le,71
paradis,paradis,21
",",",",p
moi,moi,51
en,en,81
enfer,enfer,21
:,:,p
pensée,pensée,22
accablante,accablant,30
/!,/!,P
pourquoi,pourquoi,60
faut,falloir,17
il,il,51
que,que,83
j',je,51
aime,aimer,17
précisément,précisément,60
la,le,71
seule,seul,30
femme,femme,22
qui,qui,52
ne,ne,60
peut,pouvoir,17
m',je,51
aimer,aimer,14
