11813
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixantième extrait>,<>,<>
serviettes,serviette,22
",",",",p
une,un,71
nappe,nappe,22
",",",",p
des,de,81
des,le,71
torchons,torchon,21
/…,/…,P
vous,vous,51
vous,vous,51
moquez,moquer,17
de,de,81
moi,moi,51
",",",",p
alors,alors,60
/!,/!,P
je,je,51
vous,vous,51
ai,avoir,17
fait,faire,12
dire,dire,14
de,de,81
tout,tout,52
me,je,51
rendre,rendre,14
",",",",p
repassé,repasser,12
ou,ou,82
non,non,60
/.,/.,P
si,si,83
dans,dans,81
une,un,71
heure,heure,22
votre,votre,73
apprentie,apprentie,22
n',ne,60
est,être,17
pas,pas,60
ici,ici,60
avec,avec,81
le,le,71
reste,reste,21
",",",",p
nous,nous,51
nous,nous,51
fâcherons,fâcher,15
",",",",p
madame,madame,22
Coupeau,Coupeau,20
",",",",p
je,je,51
vous,vous,51
en,en,52
préviens,prévenir,17
/.,/.,P
à,à,81
ce,ce,74
moment,moment,21
",",",",p
Goujet,Goujet,20
toussa,tousser,19
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
Gervaise,Gervaise,20
eut,avoir,19
un,un,71
léger,léger,30
tressaillement,tressaillement,21
/.,/.,P
comme,comme,83
on,on,51
la,le,52
traitait,traiter,18
devant,devant,81
lui,lui,51
",",",",p
mon,mon,73
dieu,dieu,21
/!,/!,P
et,et,82
elle,il,51
resta,rester,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
chambre,chambre,22
",",",",p
gênée,gêné,31
",",",",p
confuse,confus,30
",",",",p
attendant,attendre,13
le,le,71
linge,linge,21
sale,sale,30
/.,/.,P
mais,mais,82
",",",",p
après,après,81
avoir,avoir,14
arrêté,arrêter,12
le,le,71
compte,compte,21
",",",",p
madame,madame,22
Goujet,Goujet,20
avait,avoir,18
tranquillement,tranquillement,60
repris,reprendre,12
sa,son,73
place,place,22
près,près,81
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
travaillant,travailler,13
au,à,81
au,le,71
raccommodage,raccommodage,21
d',de,81
un,un,71
châle,châle,21
de,de,81
dentelle,dentelle,22
/.,/.,P
-,-,p
et,et,82
le,le,71
linge,linge,21
?,?,p
demanda,demander,19
timidement,timidement,60
la,le,71
blanchisseuse,blanchisseuse,22
/.,/.,P
-,-,p
non,non,60
",",",",p
merci,merci,21
",",",",p
répondit,répondre,19
la,le,71
vieille,vieux,30
femme,femme,22
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
cette,ce,74
semaine,semaine,22
/.,/.,P
Gervaise,Gervaise,20
pâlit,pâlir,19
/.,/.,P
on,on,51
lui,lui,51
retirait,retirer,18
la,le,71
pratique,pratique,22
/.,/.,P
alors,alors,60
",",",",p
elle,il,51
perdit,perdre,19
complètement,complètement,60
la,le,71
tête,tête,22
",",",",p
elle,il,51
dut,devoir,19
s',se,51
asseoir,asseoir,14
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
parce que,parce que,83
ses,son,73
jambes,jambe,22
s',se,51
en,en,52
allaient,aller,18
sous,sous,81
elle,il,51
/.,/.,P
et,et,82
elle,il,51
ne,ne,60
chercha,chercher,19
pas,pas,60
à,à,81
se,se,51
défendre,défendre,14
",",",",p
elle,il,51
trouva,trouver,19
seulement,seulement,60
cette,ce,74
phrase,phrase,22
:,:,p
-,-,p
monsieur,monsieur,21
Goujet,Goujet,20
est,être,17
donc,donc,82
malade,malade,30
/?,/?,P
oui,oui,60
",",",",p
il,il,51
était,être,18
souffrant,souffrant,30
",",",",p
il,il,51
avait,avoir,18
dû,devoir,12
rentrer,rentrer,14
au,à,81
au,le,71
lieu,lieu,21
de,de,81
se,se,51
rendre,rendre,14
à,à,81
la,le,71
forge,forge,22
",",",",p
et,et,82
il,il,51
venait,venir,18
de,de,81
s',se,51
étendre,étendre,14
sur,sur,81
son,son,73
lit,lit,21
pour,pour,81
se,se,51
reposer,reposer,14
/.,/.,P
madame,madame,22
Goujet,Goujet,20
causait,causer,18
gravement,gravement,60
",",",",p
en,en,81
robe,robe,22
noire,noir,30
comme,comme,83
toujours,toujours,60
",",",",p
sa,son,73
face,face,22
blanche,blanc,30
encadrée,encadré,31
dans,dans,81
sa,son,73
coiffe,coiffe,22
monacale,monacal,30
/.,/.,P
on,on,51
avait,avoir,18
encore,encore,60
baissé,baisser,12
la,le,71
journée,journée,22
des,de,81
des,le,71
boulonniers,boulonnier,21
;,;,p
de,de,81
neuf,neuf,72
francs,franc,21
",",",",p
elle,il,51
était,être,18
tombée,tomber,12
à,à,81
sept,sept,72
francs,franc,21
",",",",p
à,à,81
cause,cause,22
des,de,81
des,le,71
machines,machine,22
qui,qui,52
maintenant,maintenant,60
faisaient,faire,18
toute,tout,75
la,le,71
besogne,besogne,22
/.,/.,P
et,et,82
elle,il,51
expliquait,expliquer,18
qu',que,83
ils,ils,51
économisaient,économiser,18
sur,sur,81
tout,tout,52
;,;,p
elle,il,51
voulait,vouloir,18
de,de,81
nouveau,nouveau,21
laver,laver,14
son,son,73
linge,linge,21
elle-même,lui-même,51
/.,/.,P
naturellement,naturellement,60
",",",",p
ce,ce,52
serait,être,16
bien,bien,60
tombé,tomber,12
",",",",p
si,si,83
les,le,71
Coupeau,Coupeau,20
lui,lui,51
avaient,avoir,18
rendu,rendre,12
l',le,71
argent,argent,21
prêté,prêté,31
par,par,81
son,son,73
fils,fils,21
/.,/.,P
mais,mais,82
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
elle,il,51
qui,qui,52
leur,leur,52
enverrait,envoyer,16
les,le,71
huissiers,huissier,21
",",",",p
puisqu',puisque,83
ils,ils,51
ne,ne,60
pouvaient,pouvoir,18
pas,pas,60
payer,payer,14
/.,/.,P
depuis,depuis,81
qu',que,83
elle,il,51
parlait,parler,18
de,de,81
la,le,71
dette,dette,22
",",",",p
Gervaise,Gervaise,20
",",",",p
la,le,71
tête,tête,22
basse,bas,30
",",",",p
semblait,sembler,18
suivre,suivre,14
le,le,71
jeu,jeu,21
agile,agile,30
de,de,81
son,son,73
aiguille,aiguille,22
reformant,reformer,13
les,le,71
mailles,maille,22
une,un,52
à,à,81
une,un,52
/.,/.,P
-,-,p
pourtant,pourtant,60
",",",",p
continuait,continuer,18
la,le,71
dentellière,dentellière,22
",",",",p
en,en,81
vous,vous,51
gênant,gêner,13
un,un,71
peu,peu,60
",",",",p
vous,vous,51
arriveriez,arriver,16
à,à,81
vous,vous,51
acquitter,acquitter,14
/.,/.,P
car,car,82
",",",",p
enfin,enfin,60
",",",",p
vous,vous,51
mangez,manger,17
très,très,60
bien,bien,60
",",",",p
voire,voire,60
",",",",p
dépensez,dépenser,17
beaucoup,beaucoup,60
",",",",p
j',je,51
en,en,52
suis,être,17
sûre,sûr,30
/…,/…,P
quand,quand,83
vous,vous,51
nous,nous,51
donneriez,donner,16
seulement,seulement,60
dix,dix,72
francs,franc,21
chaque,chaque,75
mois,mois,21
/…,/…,P
elle,il,51
fut,être,19
interrompue,interrompre,12
par,par,81
la,le,71
voix,voix,22
de,de,81
Goujet,Goujet,20
qui,qui,52
l',le,52
appelait,appeler,18
/.,/.,P
-,-,p
maman,maman,22
!,!,p
maman,maman,22
/!,/!,P
et,et,82
",",",",p
lorsqu',lorsque,83
elle,il,51
revint,revenir,19
s',se,51
asseoir,asseoir,14
",",",",p
presque,presque,60
tout,tout,60
de,de,81
suite,suite,22
",",",",p
elle,il,51
changea,changer,19
de,de,81
conversation,conversation,22
/.,/.,P
le,le,71
forgeron,forgeron,21
l',le,52
avait,avoir,18
sans,sans,81
doute,doute,21
suppliée,supplier,12
de,de,81
ne,ne,60
pas,pas,60
demander,demander,14
de,de,81
l',le,71
argent,argent,21
à,à,81
Gervaise,Gervaise,20
/.,/.,P
mais,mais,82
",",",",p
malgré,malgré,81
elle,il,51
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
cinq,cinq,72
minutes,minute,22
",",",",p
elle,il,51
parlait,parler,18
de,de,81
nouveau,nouveau,21
de,de,81
la,le,71
dette,dette,22
/.,/.,P
oh,oh,93
!,!,p
elle,il,51
avait,avoir,18
prévu,prévoir,12
ce,ce,52
qui,qui,52
arrivait,arriver,18
",",",",p
le,le,71
zingueur,zingueur,21
buvait,boire,18
la,le,71
boutique,boutique,22
",",",",p
et,et,82
il,il,51
mènerait,mener,16
sa,son,73
femme,femme,22
loin,loin,60
/.,/.,P
aussi,aussi,60
jamais,jamais,60
son,son,73
fils,fils,21
n',ne,60
aurait,avoir,16
prêté,prêter,12
les,le,71
cinq,cinq,72
cents,cent,72
francs,franc,21
",",",",p
s',si,83
il,il,51
l',le,52
avait,avoir,18
écoutée,écouter,12
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
il,il,51
serait,être,16
marié,marier,12
",",",",p
il,il,51
ne,ne,60
crèverait,crever,16
pas,pas,60
de,de,81
tristesse,tristesse,22
",",",",p
avec,avec,81
la,le,71
perspective,perspective,22
d',de,81
être,être,14
malheureux,malheureux,30
toute,tout,75
sa,son,73
vie,vie,22
/.,/.,P
elle,il,51
s',se,51
animait,animer,18
",",",",p
elle,il,51
devenait,devenir,18
très,très,60
dure,dur,30
",",",",p
accusant,accuser,13
clairement,clairement,60
Gervaise,Gervaise,20
de,de,81
s',se,51
être,être,14
entendue,entendre,12
avec,avec,81
Coupeau,Coupeau,20
pour,pour,81
abuser,abuser,14
de,de,81
son,son,73
bêta,bêta,21
d',de,81
enfant,enfant,21
/.,/.,P
oui,oui,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
femmes,femme,22
qui,qui,52
jouaient,jouer,18
l',le,71
hypocrisie,hypocrisie,22
pendant,pendant,81
des,de,81
des,le,71
années,année,22
et,et,82
dont,dont,52
la,le,71
mauvaise,mauvais,30
conduite,conduite,22
finissait,finir,18
par,par,81
éclater,éclater,14
au,à,81
au,le,71
grand,grand,30
jour,jour,21
/.,/.,P
-,-,p
maman,maman,22
!,!,p
maman,maman,22
!,!,p
appela,appeler,19
une,un,71
seconde,second,72
fois,fois,22
la,le,71
voix,voix,22
de,de,81
Goujet,Goujet,20
",",",",p
plus,plus,60
violemment,violemment,60
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
",",",",p
et,et,82
quand,quand,83
elle,il,51
reparut,reparaître,19
",",",",p
elle,il,51
dit,dire,19
",",",",p
en,en,81
se,se,51
remettant,remettre,13
à,à,81
sa,son,73
dentelle,dentelle,22
:,:,p
-,-,p
entrez,entrer,17
",",",",p
il,il,51
veut,vouloir,17
vous,vous,51
voir,voir,14
/.,/.,P
Gervaise,Gervaise,20
",",",",p
tremblante,tremblant,30
",",",",p
laissa,laisser,19
la,le,71
porte,porte,22
ouverte,ouvert,31
/.,/.,P
cette,ce,74
scène,scène,22
l',le,52
émotionnait,émotionner,18
",",",",p
parce que,parce que,83
c',ce,52
était,être,18
comme,comme,83
un,un,71
aveu,aveu,21
de,de,81
leur,leur,73
tendresse,tendresse,22
devant,devant,81
madame,madame,22
Goujet,Goujet,20
/.,/.,P
elle,il,51
retrouva,retrouver,19
la,le,71
petite,petit,30
chambre,chambre,22
tranquille,tranquille,30
",",",",p
tapissée,tapissé,31
d',de,81
images,image,22
",",",",p
avec,avec,81
son,son,73
lit,lit,21
de,de,81
fer,fer,21
étroit,étroit,30
",",",",p
pareille,pareil,30
à,à,81
la,le,71
chambre,chambre,22
d',de,81
un,un,71
garçon,garçon,21
de,de,81
quinze,quinze,72
ans,an,21
/.,/.,P
ce,ce,74
grand,grand,30
corps,corps,21
de,de,81
Goujet,Goujet,20
",",",",p
les,le,71
membres,membre,21
cassés,cassé,31
par,par,81
la,le,71
confidence,confidence,22
de,de,81
maman,maman,22
Coupeau,Coupeau,20
",",",",p
était,être,18
allongé,allonger,12
sur,sur,81
le,le,71
lit,lit,21
",",",",p
les,le,71
yeux,oeil,21
rouges,rouge,30
",",",",p
sa,son,73
belle,beau,30
barbe,barbe,22
jaune,jaune,30
encore,encore,60
mouillée,mouillé,31
/.,/.,P
il,il,51
devait,devoir,18
avoir,avoir,14
défoncé,défoncer,12
son,son,73
oreiller,oreiller,21
de,de,81
ses,son,73
poings,poing,21
terribles,terrible,30
",",",",p
dans,dans,81
le,le,71
premier,premier,72
moment,moment,21
de,de,81
rage,rage,22
",",",",p
car,car,82
la,le,71
toile,toile,22
fendue,fendu,31
laissait,laisser,18
couler,couler,14
la,le,71
plume,plume,22
/.,/.,P
-,-,p
écoutez,écouter,17
",",",",p
maman,maman,22
a,avoir,17
tort,tort,21
",",",",p
dit,dire,19
il,il,51
à,à,81
la,le,71
blanchisseuse,blanchisseuse,22
d',de,81
une,un,71
voix,voix,22
presque,presque,60
basse,bas,30
/.,/.,P
vous,vous,51
ne,ne,60
me,je,51
devez,devoir,17
rien,rien,52
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
on,on,51
parle,parler,17
de,de,81
ça,ça,52
/.,/.,P
il,il,51
s',se,51
était,être,18
soulevé,soulever,12
",",",",p
il,il,51
la,le,52
regardait,regarder,18
/.,/.,P
de,de,81
grosses,gros,30
larmes,larme,22
aussitôt,aussitôt,60
remontèrent,remonter,19
à,à,81
ses,son,73
yeux,oeil,21
/.,/.,P
-,-,p
vous,vous,51
souffrez,souffrir,17
",",",",p
monsieur,monsieur,21
Goujet,Goujet,20
?,?,p
murmura,murmurer,19
t,t,94
elle,il,51
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
",",",",p
je,je,51
vous,vous,51
en,en,52
prie,prier,17
/?,/?,P
rien,rien,52
",",",",p
merci,merci,21
/.,/.,P
je,je,51
me,je,51
suis,être,17
trop,trop,60
fatigué,fatiguer,12
hier,hier,60
/.,/.,P
je,je,51
vais,aller,17
dormir,dormir,14
un,un,71
peu,peu,60
/.,/.,P
puis,puis,60
",",",",p
son,son,73
coeur,coeur,21
se,se,51
brisa,briser,19
",",",",p
il,il,51
ne,ne,60
put,pouvoir,19
retenir,retenir,14
ce,ce,74
cri,cri,21
:,:,p
-,-,p
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
jamais,jamais,60
ça,ça,52
ne,ne,60
devait,devoir,18
être,être,14
",",",",p
jamais,jamais,60
/!,/!,P
vous,vous,51
aviez,avoir,18
juré,jurer,12
/.,/.,P
et,et,82
ça,ça,52
est,être,17
",",",",p
maintenant,maintenant,60
",",",",p
ça,ça,52
est,être,17
!,!,p
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
ça,ça,52
me,je,51
fait,faire,17
trop,trop,60
de,de,81
mal,mal,21
",",",",p
allez,aller,17
vous,vous,51
en,en,52
/!,/!,P
et,et,82
",",",",p
de,de,81
la,le,71
main,main,22
",",",",p
il,il,51
la,le,52
renvoyait,renvoyer,18
",",",",p
avec,avec,81
une,un,71
douceur,douceur,22
suppliante,suppliant,30
/.,/.,P
elle,il,51
n',ne,60
approcha,approcher,19
pas,pas,60
du,de,81
du,le,71
lit,lit,21
",",",",p
elle,il,51
s',se,51
en,en,52
alla,aller,19
",",",",p
comme,comme,83
il,il,51
le,le,52
demandait,demander,18
",",",",p
stupide,stupide,30
",",",",p
n',ne,60
ayant,avoir,13
rien,rien,52
à,à,81
lui,lui,51
dire,dire,14
pour,pour,81
le,le,52
soulager,soulager,14
/.,/.,P
dans,dans,81
la,le,71
pièce,pièce,22
d',de,81
à,à,81
côté,côté,21
",",",",p
elle,il,51
reprit,reprendre,19
son,son,73
panier,panier,21
;,;,p
et,et,82
elle,il,51
ne,ne,60
sortait,sortir,18
toujours,toujours,60
pas,pas,60
",",",",p
elle,il,51
aurait,avoir,16
voulu,vouloir,12
trouver,trouver,14
un,un,71
mot,mot,21
/.,/.,P
madame,madame,22
Goujet,Goujet,20
continuait,continuer,18
son,son,73
raccommodage,raccommodage,21
",",",",p
sans,sans,81
lever,lever,14
la,le,71
tête,tête,22
/.,/.,P
ce,ce,52
fut,être,19
elle,il,51
qui,qui,52
dit,dire,19
enfin,enfin,60
:,:,p
-,-,p
eh,eh,93
bien,bien,60
!,!,p
bonsoir,bonsoir,21
",",",",p
renvoyez,renvoyer,17
moi,moi,51
mon,mon,73
linge,linge,21
",",",",p
nous,nous,51
compterons,compter,15
plus,plus,60
tard,tard,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
ça,ça,52
",",",",p
bonsoir,bonsoir,21
",",",",p
balbutia,balbutier,19
Gervaise,Gervaise,20
/.,/.,P
elle,il,51
referma,refermer,19
la,le,71
porte,porte,22
lentement,lentement,60
",",",",p
avec,avec,81
un,un,71
dernier,dernier,30
coup,coup,21
d',de,81
oeil,oeil,21
dans,dans,81
ce,ce,74
ménage,ménage,21
propre,propre,30
",",",",p
rangé,rangé,31
",",",",p
où,où,60
il,il,51
lui,lui,51
semblait,sembler,18
laisser,laisser,14
quelque,quelque,75
chose,chose,22
de,de,81
son,son,73
honnêteté,honnêteté,22
/.,/.,P
elle,il,51
revint,revenir,19
à,à,81
la,le,71
boutique,boutique,22
de,de,81
l',le,71
air,air,21
bête,bête,30
des,de,81
des,le,71
vaches,vache,22
qui,qui,52
rentrent,rentrer,17
chez,chez,81
elles,ils,51
",",",",p
sans,sans,81
s',se,51
inquiéter,inquiéter,14
du,de,81
du,le,71
chemin,chemin,21
/.,/.,P
maman,maman,22
Coupeau,Coupeau,20
",",",",p
sur,sur,81
une,un,71
chaise,chaise,22
",",",",p
près,près,81
de,de,81
la,le,71
mécanique,mécanique,22
",",",",p
quittait,quitter,18
son,son,73
lit,lit,21
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
/.,/.,P
mais,mais,82
la,le,71
blanchisseuse,blanchisseuse,22
ne,ne,60
lui,lui,51
fit,faire,19
pas,pas,60
même,même,60
un,un,71
reproche,reproche,21
;,;,p
elle,il,51
était,être,18
trop,trop,60
fatiguée,fatiguer,12
",",",",p
les,le,71
os,os,21
malades,malade,30
comme,comme,83
si,si,83
on,on,51
l',le,52
avait,avoir,18
battue,battre,12
;,;,p
elle,il,51
pensait,penser,18
que,que,83
la,le,71
vie,vie,22
était,être,18
trop,trop,60
dure,dur,30
à,à,81
la,le,71
fin,fin,22
",",",",p
et,et,82
qu',que,83
à,à,81
moins,moins,60
de,de,81
crever,crever,14
tout,tout,60
de,de,81
suite,suite,22
",",",",p
on,on,51
ne,ne,60
pouvait,pouvoir,18
pourtant,pourtant,60
pas,pas,60
s',se,51
arracher,arracher,14
le,le,71
coeur,coeur,21
soi-même,soi-même,51
/.,/.,P
maintenant,maintenant,60
",",",",p
Gervaise,Gervaise,20
se,se,51
moquait,moquer,18
de,de,81
tout,tout,52
/.,/.,P
elle,il,51
avait,avoir,18
un,un,71
geste,geste,21
vague,vague,30
de,de,81
la,le,71
main,main,22
pour,pour,81
envoyer,envoyer,14
coucher,coucher,14
le,le,71
monde,monde,21
/.,/.,P
à,à,81
chaque,chaque,75
nouvel,nouveau,30
ennui,ennui,21
",",",",p
elle,il,51
s',se,51
enfonçait,enfoncer,18
dans,dans,81
le,le,71
seul,seul,30
plaisir,plaisir,21
de,de,81
faire,faire,14
ses,son,73
trois,trois,72
repas,repas,21
par,par,81
jour,jour,21
/.,/.,P
la,le,71
boutique,boutique,22
aurait,avoir,16
pu,pouvoir,12
crouler,crouler,14
;,;,p
pourvu,pourvu,81
qu',que,83
elle,il,51
ne,ne,60
fût,être,19
pas,pas,60
dessous,dessous,60
",",",",p
elle,il,51
s',se,51
en,en,52
serait,être,16
allée,aller,12
volontiers,volontiers,60
",",",",p
sans,sans,81
une,un,71
chemise,chemise,22
/.,/.,P
et,et,82
la,le,71
boutique,boutique,22
croulait,crouler,18
",",",",p
pas,pas,60
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
mais,mais,82
un,un,71
peu,peu,60
matin,matin,21
et,et,82
soir,soir,21
/.,/.,P
une,un,52
à,à,81
une,un,52
",",",",p
les,le,71
pratiques,pratique,22
se,se,51
fâchaient,fâcher,18
et,et,82
portaient,porter,18
leur,leur,73
linge,linge,21
ailleurs,ailleurs,60
/.,/.,P
monsieur,monsieur,21
Madinier,Madinier,20
",",",",p
mademoiselle,mademoiselle,22
Remanjou,Remanjou,20
",",",",p
les,le,71
Boche,Boche,20
eux-mêmes,eux-mêmes,51
",",",",p
étaient,être,18
retournés,retourner,12
chez,chez,81
madame,madame,22
Fauconnier,Fauconnier,20
",",",",p
où,où,60
ils,ils,51
trouvaient,trouver,18
plus,plus,60
d',de,81
exactitude,exactitude,22
/.,/.,P
on,on,51
finit,finir,19
par,par,81
se,se,51
lasser,lasser,14
de,de,81
réclamer,réclamer,14
une,un,71
paire,paire,22
de,de,81
bas,bas,21
pendant,pendant,81
trois,trois,72
semaines,semaine,22
et,et,82
de,de,81
remettre,remettre,14
des,de,81
des,le,71
chemises,chemise,22
avec,avec,81
les,le,71
taches,tache,22
de,de,81
graisse,graisse,22
de,de,81
l',le,71
autre,autre,75
dimanche,dimanche,21
/.,/.,P
Gervaise,Gervaise,20
",",",",p
sans,sans,81
perdre,perdre,14
un,un,71
coup,coup,21
de,de,81
dents,dent,22
",",",",p
leur,leur,52
criait,crier,18
bon,bon,30
voyage,voyage,21
",",",",p
les,le,52
arrangeait,arranger,18
d',de,81
une,un,71
propre,propre,30
manière,manière,22
",",",",p
en,en,81
se,se,51
disant,dire,13
joliment,joliment,60
contente,content,30
de,de,81
ne,ne,60
plus,plus,60
avoir,avoir,14
à,à,81
fouiller,fouiller,14
dans,dans,81
leur,leur,73
infection,infection,22
/.,/.,P
ah,ah,93
bien,bien,60
!,!,p
tout,tout,75
le,le,71
quartier,quartier,21
pouvait,pouvoir,18
la,le,52
lâcher,lâcher,14
",",",",p
ça,ça,52
la,le,52
débarrasserait,débarrasser,16
d',de,81
un,un,71
beau,beau,30
tas,tas,21
d',de,81
ordures,ordure,22
;,;,p
puis,puis,60
",",",",p
ce,ce,52
serait,être,16
toujours,toujours,60
de,de,81
l',le,71
ouvrage,ouvrage,21
de,de,81
moins,moins,60
/.,/.,P
en,en,81
attendant,attendre,13
",",",",p
elle,il,51
gardait,garder,18
seulement,seulement,60
les,le,71
mauvaises,mauvais,30
payes,paie,22
",",",",p
les,le,71
rouleuses,rouleuse,22
",",",",p
les,le,71
femmes,femme,22
comme,comme,83
madame,madame,22
Gaudron,Gaudron,20
",",",",p
dont,dont,52
pas,pas,60
une,un,71
blanchisseuse,blanchisseuse,22
de,de,81
la,le,71
rue,rue,22
neuve,neuf,30
ne,ne,60
voulait,vouloir,18
laver,laver,14
le,le,71
linge,linge,21
",",",",p
tant,tant,60
il,il,51
puait,puer,18
/.,/.,P
la,le,71
boutique,boutique,22
était,être,18
perdue,perdre,12
",",",",p
elle,il,51
avait,avoir,18
dû,devoir,12
renvoyer,renvoyer,14
sa,son,73
dernière,dernier,30
ouvrière,ouvrière,22
",",",",p
madame,madame,22
Putois,Putois,20
;,;,p
elle,il,51
restait,rester,18
seule,seul,30
avec,avec,81
son,son,73
apprentie,apprentie,22
",",",",p
ce,ce,74
louchon,louchon,21
d',de,81
Augustine,Augustine,20
",",",",p
qui,qui,52
bêtissait,bêtir,18
en,en,81
grandissant,grandir,13
;,;,p
et,et,82
encore,encore,60
",",",",p
à,à,81
elles,ils,51
deux,deux,72
",",",",p
elles,ils,51
n',ne,60
avaient,avoir,18
pas,pas,60
toujours,toujours,60
de,de,81
l',le,71
ouvrage,ouvrage,21
",",",",p
elles,ils,51
traînaient,traîner,18
leur,leur,73
derrière,derrière,21
sur,sur,81
les,le,71
tabourets,tabouret,21
durant,durant,81
des,de,81
des,le,71
après-midi,après-midi,21
entières,entier,30
/.,/.,P
enfin,enfin,60
",",",",p
un,un,71
plongeon,plongeon,21
complet,complet,30
/.,/.,P
ça,ça,52
sentait,sentir,18
la,le,71
ruine,ruine,22
/.,/.,P
naturellement,naturellement,60
",",",",p
à,à,81
mesure,mesure,22
que,que,83
la,le,71
paresse,paresse,22
et,et,82
la,le,71
misère,misère,22
entraient,entrer,18
",",",",p
la,le,71
malpropreté,malpropreté,22
entrait,entrer,18
aussi,aussi,60
/.,/.,P
on,on,51
n',ne,60
aurait,avoir,16
pas,pas,60
reconnu,reconnaître,12
cette,ce,74
belle,beau,30
boutique,boutique,22
bleue,bleu,30
",",",",p
couleur,couleur,22
du,de,81
du,le,71
ciel,ciel,21
",",",",p
qui,qui,52
était,être,18
jadis,jadis,60
l',le,71
orgueil,orgueil,21
de,de,81
Gervaise,Gervaise,20
/.,/.,P
les,le,71
boiseries,boiserie,22
et,et,82
les,le,71
carreaux,carreau,21
de,de,81
la,le,71
vitrine,vitrine,22
",",",",p
qu',que,52
on,on,51
oubliait,oublier,18
de,de,81
laver,laver,14
",",",",p
restaient,rester,18
du,de,81
du,le,71
haut,haut,21
en,en,81
bas,bas,21
éclaboussés,éclaboussé,31
par,par,81
la,le,71
crotte,crotte,22
des,de,81
des,le,71
voitures,voiture,22
/.,/.,P
sur,sur,81
les,le,71
planches,planche,22
",",",",p
à,à,81
la,le,71
tringle,tringle,22
de,de,81
laiton,laiton,21
",",",",p
s',se,51
étalaient,étaler,18
trois,trois,72
guenilles,guenille,22
grises,gris,30
",",",",p
laissées,laissé,31
par,par,81
des,de,81
des,le,71
clientes,cliente,22
mortes,mort,31
à,à,81
l',le,71
hôpital,hôpital,21
/.,/.,P
et,et,82
c',ce,52
était,être,18
plus,plus,60
minable,minable,30
encore,encore,60
à,à,81
l',le,71
intérieur,intérieur,21
:,:,p
l',le,71
humidité,humidité,22
des,de,81
des,le,71
linges,linge,21
séchant,sécher,13
au,à,81
au,le,71
plafond,plafond,21
avait,avoir,18
décollé,décoller,12
le,le,71
papier,papier,21
;,;,p
la,le,71
perse,perse,22
pompadour,pompadour,30
étalait,étaler,18
des,de,81
des,le,71
lambeaux,lambeau,21
qui,qui,52
pendaient,pendre,18
pareils,pareil,30
à,à,81
des,de,81
des,le,71
toiles,toile,22
d',de,81
araignée,araignée,22
lourdes,lourd,30
de,de,81
poussière,poussière,22
;,;,p
la,le,71
mécanique,mécanique,22
",",",",p
cassée,cassé,31
",",",",p
trouée,troué,31
à,à,81
coups,coup,21
de,de,81
tisonnier,tisonnier,21
",",",",p
mettait,mettre,18
dans,dans,81
son,son,73
coin,coin,21
les,le,71
débris,débris,21
de,de,81
vieille,vieux,30
fonte,fonte,22
d',de,81
un,un,71
marchand,marchand,21
de,de,81
bric-à-brac,bric-à-brac,21
;,;,p
l',le,71
établi,établi,21
semblait,sembler,18
avoir,avoir,14
servi,servir,12
de,de,81
table,table,22
à,à,81
toute,tout,75
une,un,71
garnison,garnison,22
",",",",p
taché,taché,31
de,de,81
café,café,21
et,et,82
de,de,81
vin,vin,21
",",",",p
emplâtré,emplâtré,31
de,de,81
confiture,confiture,22
",",",",p
gras,gras,30
des,de,81
des,le,71
lichades,lichade,22
du,de,81
du,le,71
lundi,lundi,21
/.,/.,P
avec,avec,81
ça,ça,52
",",",",p
une,un,71
odeur,odeur,22
d',de,81
amidon,amidon,21
aigre,aigre,30
",",",",p
une,un,71
puanteur,puanteur,22
faite,fait,31
de,de,81
moisi,moisi,21
",",",",p
de,de,81
graillon,graillon,21
et,et,82
de,de,81
crasse,crasse,22
/.,/.,P
mais,mais,82
Gervaise,Gervaise,20
se,se,51
trouvait,trouver,18
très,très,60
bien,bien,60
là dedans,là-dedans,60
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
vu,voir,12
la,le,71
boutique,boutique,22
se,se,51
salir,salir,14
;,;,p
