11362
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatorzième extrait>,<>,<>
désespoir,désespoir,21
",",",",p
elle,il,51
commençait,commencer,18
à,à,81
sentir,sentir,14
vaguement,vaguement,60
qu',que,83
elle,il,51
allait,aller,18
être,être,14
obligée,obliger,12
de,de,81
se,se,51
battre,battre,14
pour,pour,81
prouver,prouver,14
cette,ce,74
innocence,innocence,22
de,de,81
Fabrice,Fabrice,20
/.,/.,P
non,non,60
",",",",p
se,se,51
dit,dire,19
elle,il,51
enfin,enfin,60
",",",",p
voici,voici,81
une,un,71
preuve,preuve,22
décisive,décisif,30
;,;,p
il,il,51
est,être,17
comme,comme,83
le,le,71
pauvre,pauvre,30
Pietranera,Pietranera,20
",",",",p
il,il,51
a,avoir,17
toujours,toujours,60
des,de,81
des,le,71
armes,arme,22
dans,dans,81
toutes,tout,75
ses,son,73
poches,poche,22
",",",",p
et,et,82
",",",",p
ce,ce,74
jour,jour,21
là,là,60
",",",",p
il,il,51
ne,ne,60
portait,porter,18
qu',que,83
un,un,71
mauvais,mauvais,30
fusil,fusil,21
à,à,81
un,un,71
coup,coup,21
",",",",p
et,et,82
encore,encore,60
",",",",p
emprunté,emprunté,31
à,à,81
l',le,71
un,un,52
des,de,81
des,le,71
ouvriers,ouvrier,21
/.,/.,P
je,je,51
hais,haïr,17
le,le,71
prince,prince,21
parce qu',parce que,83
il,il,51
m',je,51
a,avoir,17
trompée,tromper,12
",",",",p
et,et,82
trompée,tromper,12
de,de,81
la,le,71
façon,façon,22
la,le,71
plus,plus,60
lâche,lâche,30
;,;,p
après,après,81
son,son,73
billet,billet,21
de,de,81
pardon,pardon,21
",",",",p
il,il,51
a,avoir,17
fait,faire,12
enlever,enlever,14
le,le,71
pauvre,pauvre,30
garçon,garçon,21
à,à,81
Bologne,Bologne,20
",",",",p
etc.,et cetera,91
/.,/.,P
mais,mais,82
ce,ce,74
compte,compte,21
se,se,51
réglera,régler,15
/.,/.,P
vers,vers,81
les,le,71
cinq,cinq,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
la,le,71
duchesse,duchesse,22
",",",",p
anéantie,anéanti,31
par,par,81
ce,ce,74
long,long,30
accès,accès,21
de,de,81
désespoir,désespoir,21
",",",",p
sonna,sonner,19
ses,son,73
femmes,femme,22
;,;,p
celles-ci,celui-ci,52
jetèrent,jeter,19
un,un,71
cri,cri,21
/.,/.,P
en,en,81
l',le,52
apercevant,apercevoir,13
sur,sur,81
son,son,73
lit,lit,21
",",",",p
toute,tout,60
habillée,habillé,31
",",",",p
avec,avec,81
ses,son,73
diamants,diamant,21
",",",",p
pâle,pâle,30
comme,comme,83
ses,son,73
draps,drap,21
et,et,82
les,le,71
yeux,oeil,21
fermés,fermé,31
",",",",p
il,il,51
leur,leur,52
sembla,sembler,19
la,le,52
voir,voir,14
exposée,exposé,31
sur,sur,81
un,un,71
lit,lit,21
de,de,81
parade,parade,22
après,après,81
sa,son,73
mort,mort,22
/.,/.,P
elles,ils,51
l',le,52
eussent,avoir,18
crue,croire,12
tout,tout,60
à,à,81
fait,fait,21
évanouie,évanoui,31
",",",",p
si,si,83
elles,ils,51
ne,ne,60
se,se,51
fussent,être,18
pas,pas,60
rappelé,rappeler,12
qu',que,83
elle,il,51
venait,venir,18
de,de,81
les,le,52
sonner,sonner,14
/.,/.,P
quelques,quelque,75
larmes,larme,22
fort,fort,60
rares,rare,30
coulaient,couler,18
de,de,81
temps,temps,21
à,à,81
autre,autre,52
sur,sur,81
ses,son,73
joues,joue,22
insensibles,insensible,30
;,;,p
ses,son,73
femmes,femme,22
comprirent,comprendre,19
par,par,81
un,un,71
signe,signe,21
qu',que,83
elle,il,51
voulait,vouloir,18
être,être,14
mise,mettre,12
au,à,81
au,le,71
lit,lit,21
/.,/.,P
deux,deux,72
fois,fois,22
après,après,81
la,le,71
soirée,soirée,22
du,de,81
du,le,71
ministre,ministre,21
Zurla,Zurla,20
",",",",p
le,le,71
comte,comte,21
s',se,51
était,être,18
présenté,présenter,12
chez,chez,81
la,le,71
duchesse,duchesse,22
:,:,p
toujours,toujours,60
refusé,refusé,31
",",",",p
il,il,51
lui,lui,51
écrivit,écrire,19
qu',que,83
il,il,51
avait,avoir,18
un,un,71
conseil,conseil,21
à,à,81
lui,lui,51
demander,demander,14
pour,pour,81
lui-même,lui-même,51
:,:,p
“,“,p
devait,devoir,18
il,il,51
garder,garder,14
sa,son,73
position,position,22
après,après,81
l',le,71
affront,affront,21
qu',que,52
on,on,51
osait,oser,18
lui,lui,51
faire,faire,14
/?,/?,P
le,le,71
comte,comte,21
ajoutait,ajouter,18
:,:,p
“,“,p
le,le,71
jeune,jeune,30
homme,homme,21
est,être,17
innocent,innocent,30
;,;,p
mais,mais,82
fût,être,19
il,il,51
coupable,coupable,30
",",",",p
devait,devoir,18
on,on,51
l',le,52
arrêter,arrêter,14
sans,sans,81
m',je,51
en,en,52
prévenir,prévenir,14
;,;,p
moi,moi,51
",",",",p
son,son,73
protecteur,protecteur,21
déclaré,déclaré,31
/?,/?,P
la,le,71
duchesse,duchesse,22
ne,ne,60
vit,voir,19
cette,ce,74
lettre,lettre,22
que,que,83
le,le,71
lendemain,lendemain,21
/.,/.,P
le,le,71
comte,comte,21
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
vertu,vertu,22
;,;,p
l',l',94
on,on,51
peut,pouvoir,17
même,même,60
ajouter,ajouter,14
que,que,83
ce,ce,52
que,que,52
les,le,71
libéraux,libéral,21
entendent,entendre,17
par,par,81
vertu,vertu,22
(,(,p
chercher,chercher,14
le,le,71
bonheur,bonheur,21
du,de,81
du,le,71
plus,plus,60
grand,grand,30
nombre,nombre,21
),),p
lui,lui,51
semblait,sembler,18
une,un,71
duperie,duperie,22
;,;,p
il,il,51
se,se,51
croyait,croire,18
obligé,obligé,31
à,à,81
chercher,chercher,14
avant,avant,81
tout,tout,75
le,le,71
bonheur,bonheur,21
du,de,81
du,le,71
comte,comte,21
Mosca,Mosca,20
della,del,92
Rovère,Rovère,20
;,;,p
mais,mais,82
il,il,51
était,être,18
plein,plein,30
d',de,81
honneur,honneur,21
et,et,82
parfaitement,parfaitement,60
sincère,sincère,30
lorsqu',lorsque,83
il,il,51
parlait,parler,18
de,de,81
sa,son,73
démission,démission,22
/.,/.,P
de,de,81
la,le,71
vie,vie,22
il,il,51
n',ne,60
avait,avoir,18
dit,dire,12
un,un,71
mensonge,mensonge,21
à,à,81
la,le,71
duchesse,duchesse,22
;,;,p
celle-ci,celui-ci,52
du,de,81
du,le,71
reste,reste,21
ne,ne,60
fit,faire,19
pas,pas,60
la,le,71
moindre,moindre,30
attention,attention,22
à,à,81
cette,ce,74
lettre,lettre,22
;,;,p
son,son,73
parti,parti,21
",",",",p
et,et,82
un,un,71
parti,parti,21
bien,bien,60
pénible,pénible,30
",",",",p
était,être,18
pris,prendre,12
",",",",p
feindre,feindre,14
d',de,81
oublier,oublier,14
Fabrice,Fabrice,20
;,;,p
après,après,81
cet,ce,74
effort,effort,21
",",",",p
tout,tout,52
lui,lui,51
était,être,18
indifférent,indifférent,30
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
sur,sur,81
le,le,71
midi,midi,21
",",",",p
le,le,71
comte,comte,21
",",",",p
qui,qui,52
avait,avoir,18
passé,passer,12
dix,dix,72
fois,fois,22
au,à,81
au,le,71
palais,palais,21
Sanseverina,Sanseverina,20
",",",",p
enfin,enfin,60
fut,être,19
admis,admettre,12
;,;,p
il,il,51
fut,être,19
atterré,atterrer,12
à,à,81
la,le,71
vue,vue,22
de,de,81
la,le,71
duchesse,duchesse,22
/…,/…,P
elle,il,51
a,avoir,17
quarante,quarante,72
ans,an,21
!,!,p
se,se,51
dit,dire,19
il,il,51
",",",",p
et,et,82
hier,hier,60
si,si,60
brillante,brillant,30
!,!,p
si,si,60
jeune,jeune,30
!,!,p
/…,/…,P
tout,tout,75
le,le,71
monde,monde,21
me,je,51
dit,dire,19
que,que,83
",",",",p
durant,durant,81
sa,son,73
longue,long,30
conversation,conversation,22
avec,avec,81
la,le,71
Clélia,Clélia,20
Conti,Conti,20
",",",",p
elle,il,51
avait,avoir,18
l',le,71
air,air,21
aussi,aussi,60
jeune,jeune,30
et,et,82
bien,bien,60
autrement,autrement,60
séduisante,séduisant,30
/.,/.,P
la,le,71
voix,voix,22
",",",",p
le,le,71
ton,ton,21
de,de,81
la,le,71
duchesse,duchesse,22
étaient,être,18
aussi,aussi,60
étranges,étrange,30
que,que,83
l',le,71
aspect,aspect,21
de,de,81
sa,son,73
personne,personne,22
/.,/.,P
ce,ce,74
ton,ton,21
",",",",p
dépouillé,dépouillé,31
de,de,81
toute,tout,75
passion,passion,22
",",",",p
de,de,81
tout,tout,75
intérêt,intérêt,21
humain,humain,30
",",",",p
de,de,81
toute,tout,75
colère,colère,22
",",",",p
fit,faire,19
pâlir,pâlir,14
le,le,71
comte,comte,21
;,;,p
il,il,51
lui,lui,51
rappela,rappeler,19
la,le,71
façon,façon,22
d',de,81
être,être,14
d',de,81
un,un,52
de,de,81
ses,son,73
amis,ami,21
qui,qui,52
",",",",p
peu,peu,60
de,de,81
mois,mois,21
auparavant,auparavant,60
",",",",p
sur,sur,81
le,le,71
point,point,21
de,de,81
mourir,mourir,14
",",",",p
et,et,82
ayant,avoir,13
déjà,déjà,60
reçu,recevoir,12
les,le,71
sacrements,sacrement,21
",",",",p
avait,avoir,18
voulu,vouloir,12
l',le,52
entretenir,entretenir,14
/.,/.,P
après,après,81
quelques,quelque,75
minutes,minute,22
",",",",p
la,le,71
duchesse,duchesse,22
put,pouvoir,19
lui,lui,51
parler,parler,14
/.,/.,P
elle,il,51
le,le,52
regarda,regarder,19
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
restèrent,rester,19
éteints,éteint,31
:,:,p
-,-,p
séparons,séparer,17
nous,nous,51
",",",",p
mon,mon,73
cher,cher,30
comte,comte,21
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
d',de,81
une,un,71
voix,voix,22
faible,faible,30
",",",",p
mais,mais,82
bien,bien,60
articulée,articulé,31
",",",",p
et,et,82
qu',que,52
elle,il,51
s',se,51
efforçait,efforcer,18
de,de,81
rendre,rendre,14
aimable,aimable,30
;,;,p
séparons,séparer,17
nous,nous,51
",",",",p
il,il,51
le,le,52
faut,falloir,17
/!,/!,P
le,le,71
ciel,ciel,21
m',je,51
est,être,17
témoin,témoin,21
que,que,83
",",",",p
depuis,depuis,81
cinq,cinq,72
ans,an,21
",",",",p
ma,mon,73
conduite,conduite,22
envers,envers,81
vous,vous,51
a,avoir,17
été,être,12
irréprochable,irréprochable,30
/.,/.,P
vous,vous,51
m',je,51
avez,avoir,17
donné,donner,12
une,un,71
existence,existence,22
brillante,brillant,30
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
l',le,71
ennui,ennui,21
qui,qui,52
aurait,avoir,16
été,être,12
mon,mon,73
triste,triste,30
partage,partage,21
au,à,81
au,le,71
château,château,21
de,de,81
Grianta,Grianta,20
;,;,p
sans,sans,81
vous,vous,51
j',je,51
aurais,avoir,16
rencontré,rencontrer,12
la,le,71
vieillesse,vieillesse,22
quelques,quelque,75
années,année,22
plus,plus,60
tôt,tôt,60
/…,/…,P
de,de,81
mon,mon,73
côté,côté,21
",",",",p
ma,mon,73
seule,seul,30
occupation,occupation,22
a,avoir,17
été,être,12
de,de,81
chercher,chercher,14
à,à,81
vous,vous,51
faire,faire,14
trouver,trouver,14
le,le,71
bonheur,bonheur,21
/.,/.,P
c',ce,52
est,être,17
parce que,parce que,83
je,je,51
vous,vous,51
aime,aimer,17
que,que,83
je,je,51
vous,vous,51
propose,proposer,17
cette,ce,74
séparation,séparation,22
à,à,81
l',le,71
amiable,amiable,30
",",",",p
comme,comme,83
on,on,51
dirait,dire,16
en,en,81
France,France,20
/.,/.,P
le,le,71
comte,comte,21
ne,ne,60
comprenait,comprendre,18
pas,pas,60
;,;,p
elle,il,51
fut,être,19
obligée,obliger,12
de,de,81
répéter,répéter,14
plusieurs,plusieurs,75
fois,fois,22
/.,/.,P
il,il,51
devint,devenir,19
d',de,81
une,un,71
pâleur,pâleur,22
mortelle,mortel,30
",",",",p
et,et,82
",",",",p
se,se,51
jetant,jeter,13
à,à,81
genoux,genou,21
auprès,auprès,60
de,de,81
son,son,73
lit,lit,21
",",",",p
il,il,51
dit,dire,19
tout,tout,52
ce,ce,52
que,que,52
l',le,71
étonnement,étonnement,21
profond,profond,30
",",",",p
et,et,82
ensuite,ensuite,60
le,le,71
désespoir,désespoir,21
le,le,71
plus,plus,60
vif,vif,30
",",",",p
peuvent,pouvoir,17
inspirer,inspirer,14
à,à,81
un,un,71
homme,homme,21
d',de,81
esprit,esprit,21
passionnément,passionnément,60
amoureux,amoureux,30
/.,/.,P
à,à,81
chaque,chaque,75
moment,moment,21
il,il,51
offrait,offrir,18
de,de,81
donner,donner,14
sa,son,73
démission,démission,22
et,et,82
de,de,81
suivre,suivre,14
son,son,73
amie,amie,22
dans,dans,81
quelque,quelque,75
retraite,retraite,22
à,à,81
mille,mille,72
lieues,lieue,22
de,de,81
Parme,Parme,20
/.,/.,P
-,-,p
vous,vous,51
osez,oser,17
me,je,51
parler,parler,14
de,de,81
départ,départ,21
",",",",p
et,et,82
Fabrice,Fabrice,20
est,être,17
ici,ici,60
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
enfin,enfin,60
en,en,81
se,se,51
soulevant,soulever,13
à,à,81
demi,demi,30
/.,/.,P
mais,mais,82
comme,comme,83
elle,il,51
aperçut,apercevoir,19
que,que,83
ce,ce,74
nom,nom,21
de,de,81
Fabrice,Fabrice,20
faisait,faire,18
une,un,71
impression,impression,22
pénible,pénible,30
",",",",p
elle,il,51
ajouta,ajouter,19
après,après,81
un,un,71
moment,moment,21
de,de,81
repos,repos,21
et,et,82
en,en,81
serrant,serrer,13
légèrement,légèrement,60
la,le,71
main,main,22
du,de,81
du,le,71
comte,comte,21
:,:,p
-,-,p
non,non,60
",",",",p
cher,cher,30
ami,ami,21
",",",",p
je,je,51
ne,ne,60
vous,vous,51
dirai,dire,15
pas,pas,60
que,que,83
je,je,51
vous,vous,51
ai,avoir,17
aimé,aimer,12
avec,avec,81
cette,ce,74
passion,passion,22
et,et,82
ces,ce,74
transports,transport,21
que,que,52
l',l',94
on,on,51
n',ne,60
éprouve,éprouver,17
plus,plus,60
",",",",p
ce,ce,52
me,je,51
semble,sembler,17
",",",",p
après,après,81
trente,trente,72
ans,an,21
",",",",p
et,et,82
je,je,51
suis,être,17
déjà,déjà,60
bien,bien,60
loin,loin,60
de,de,81
cet,ce,74
âge,âge,21
/.,/.,P
on,on,51
vous,vous,51
aura,avoir,15
dit,dire,12
que,que,83
j',je,51
aimais,aimer,18
Fabrice,Fabrice,20
",",",",p
car,car,82
je,je,51
sais,savoir,17
que,que,83
le,le,71
bruit,bruit,21
en,en,52
a,avoir,17
couru,courir,12
dans,dans,81
cette,ce,74
cour,cour,22
méchante,méchant,30
/.,/.,P
(,(,p
ses,son,73
yeux,oeil,21
brillèrent,briller,19
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
dans,dans,81
cette,ce,74
conversation,conversation,22
",",",",p
en,en,81
prononçant,prononcer,13
ce,ce,74
mot,mot,21
méchante,méchant,30
/.,/.,P
),),p
je,je,51
vous,vous,51
jure,jurer,17
devant,devant,81
dieu,dieu,21
",",",",p
et,et,82
sur,sur,81
la,le,71
vie,vie,22
de,de,81
Fabrice,Fabrice,20
",",",",p
que,que,83
jamais,jamais,60
il,il,51
ne,ne,60
s',se,51
est,être,17
passé,passer,12
entre,entre,81
lui,lui,51
et,et,82
moi,moi,51
la,le,71
plus,plus,60
petite,petit,30
chose,chose,22
que,que,52
n',ne,60
eût,avoir,19
pas,pas,60
pu,pouvoir,12
souffrir,souffrir,14
l',le,71
oeil,oeil,21
d',de,81
une,un,71
tierce,tiers,30
personne,personne,22
/.,/.,P
je,je,51
ne,ne,60
vous,vous,51
dirai,dire,15
pas,pas,60
non,non,60
plus,plus,60
que,que,83
je,je,51
l',le,52
aime,aimer,17
exactement,exactement,60
comme,comme,83
ferait,faire,16
une,un,71
soeur,soeur,22
;,;,p
je,je,51
l',le,52
aime,aimer,17
d',de,81
instinct,instinct,21
",",",",p
pour,pour,81
parler,parler,14
ainsi,ainsi,60
/.,/.,P
j',je,51
aime,aimer,17
en,en,81
lui,lui,51
son,son,73
courage,courage,21
si,si,60
simple,simple,30
et,et,82
si,si,60
parfait,parfait,31
",",",",p
que,que,83
l',l',94
on,on,51
peut,pouvoir,17
dire,dire,14
qu',que,83
il,il,51
ne,ne,60
s',se,51
en,en,52
aperçoit,apercevoir,17
pas,pas,60
lui-même,lui-même,51
;,;,p
je,je,51
me,je,51
souviens,souvenir,17
que,que,83
ce,ce,74
genre,genre,21
d',de,81
admiration,admiration,22
commença,commencer,19
à,à,81
son,son,73
retour,retour,21
de,de,81
Waterloo,Waterloo,20
/.,/.,P
il,il,51
était,être,18
encore,encore,60
enfant,enfant,21
",",",",p
malgré,malgré,81
ses,son,73
dix,dix,72
sept,sept,72
ans,an,21
;,;,p
sa,son,73
grande,grand,30
inquiétude,inquiétude,22
était,être,18
de,de,81
savoir,savoir,14
si,si,83
réellement,réellement,60
il,il,51
avait,avoir,18
assisté,assister,12
à,à,81
la,le,71
bataille,bataille,22
",",",",p
et,et,82
dans,dans,81
le,le,71
cas,cas,21
du,de,81
du,le,71
oui,oui,60
",",",",p
s',si,83
il,il,51
pouvait,pouvoir,18
dire,dire,14
s',se,51
être,être,14
battu,battre,12
",",",",p
lui,lui,51
qui,qui,52
n',ne,60
avait,avoir,18
marché,marcher,12
à,à,81
l',le,71
attaque,attaque,22
d',de,81
aucune,aucun,75
batterie,batterie,22
ni,ni,82
d',de,81
aucune,aucun,75
colonne,colonne,22
ennemie,ennemi,30
/.,/.,P
ce,ce,52
fut,être,19
pendant,pendant,81
les,le,71
graves,grave,30
discussions,discussion,22
que,que,52
nous,nous,51
avions,avoir,18
ensemble,ensemble,60
sur,sur,81
ce,ce,74
sujet,sujet,21
important,important,30
",",",",p
que,que,83
je,je,51
commençai,commencer,19
à,à,81
voir,voir,14
en,en,81
lui,lui,51
une,un,71
grâce,grâce,22
parfaite,parfait,31
/.,/.,P
sa,son,73
grande,grand,30
âme,âme,22
se,se,51
révélait,révéler,18
à,à,81
moi,moi,51
;,;,p
que,que,83
de,de,81
savants,savant,30
mensonges,mensonge,21
eût,avoir,19
étalés,étaler,12
",",",",p
à,à,81
sa,son,73
place,place,22
",",",",p
un,un,71
jeune,jeune,30
homme,homme,21
bien,bien,60
élevé,élevé,31
/!,/!,P
enfin,enfin,60
",",",",p
s',si,83
il,il,51
n',ne,60
est,être,17
heureux,heureux,30
je,je,51
ne,ne,60
puis,pouvoir,17
être,être,14
heureuse,heureux,30
/.,/.,P
tenez,tenir,17
",",",",p
voilà,voilà,81
un,un,71
mot,mot,21
qui,qui,52
peint,peindre,17
bien,bien,60
l',le,71
état,état,21
de,de,81
mon,mon,73
coeur,coeur,21
;,;,p
si,si,83
ce,ce,52
n',ne,60
est,être,17
la,le,71
vérité,vérité,22
",",",",p
c',ce,52
est,être,17
au,à,81
au,le,71
moins,moins,60
tout,tout,52
ce,ce,52
que,que,52
j',je,51
en,en,52
vois,voir,17
/.,/.,P
le,le,71
comte,comte,21
",",",",p
encouragé,encouragé,31
par,par,81
ce,ce,74
ton,ton,21
de,de,81
franchise,franchise,22
et,et,82
d',de,81
intimité,intimité,22
",",",",p
voulut,vouloir,19
lui,lui,51
baiser,baiser,14
la,le,71
main,main,22
:,:,p
elle,il,51
la,le,52
retira,retirer,19
avec,avec,81
une,un,71
sorte,sorte,22
d',de,81
horreur,horreur,22
/.,/.,P
les,le,71
temps,temps,21
sont,être,17
finis,finir,12
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
;,;,p
je,je,51
suis,être,17
une,un,71
femme,femme,22
de,de,81
trente,trente,72
sept,sept,72
ans,an,21
",",",",p
je,je,51
me,je,51
trouve,trouver,17
à,à,81
la,le,71
porte,porte,22
de,de,81
la,le,71
vieillesse,vieillesse,22
",",",",p
j',je,51
en,en,52
ressens,ressentir,17
déjà,déjà,60
tous,tout,75
les,le,71
découragements,découragement,21
",",",",p
et,et,82
peut-être,peut-être,60
même,même,60
suis,être,17
je,je,51
voisine,voisin,30
de,de,81
la,le,71
tombe,tombe,22
/.,/.,P
ce,ce,74
moment,moment,21
est,être,17
terrible,terrible,30
",",",",p
à,à,81
ce,ce,52
qu',que,52
on,on,51
dit,dire,17
",",",",p
et,et,82
pourtant,pourtant,60
il,il,51
me,je,51
semble,sembler,17
que,que,83
je,je,51
le,le,52
désire,désirer,17
/.,/.,P
j',je,51
éprouve,éprouver,17
le,le,71
pire,pire,30
symptôme,symptôme,21
de,de,81
la,le,71
vieillesse,vieillesse,22
:,:,p
mon,mon,73
coeur,coeur,21
est,être,17
éteint,éteindre,12
par,par,81
cet,ce,74
affreux,affreux,30
malheur,malheur,21
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
aimer,aimer,14
/.,/.,P
je,je,51
ne,ne,60
vois,voir,17
plus,plus,60
en,en,81
vous,vous,51
",",",",p
cher,cher,30
comte,comte,21
",",",",p
que,que,83
l',le,71
ombre,ombre,22
de,de,81
quelqu'un,quelqu'un,52
qui,qui,52
me,je,51
fut,être,19
cher,cher,30
/.,/.,P
je,je,51
dirai,dire,15
plus,plus,60
",",",",p
c',ce,52
est,être,17
la,le,71
reconnaissance,reconnaissance,22
toute,tout,60
seule,seul,30
qui,qui,52
me,je,51
fait,faire,17
vous,vous,51
tenir,tenir,14
ce,ce,74
langage,langage,21
/.,/.,P
-,-,p
que,que,52
vais,aller,17
je,je,51
devenir,devenir,14
?,?,p
lui,lui,51
répétait,répéter,18
le,le,71
comte,comte,21
",",",",p
moi,moi,51
qui,qui,52
sens,sentir,17
que,que,83
je,je,51
vous,vous,51
suis,être,17
attaché,attacher,12
avec,avec,81
plus,plus,60
de,de,81
passion,passion,22
que,que,83
les,le,71
premiers,premier,72
jours,jour,21
",",",",p
quand,quand,83
je,je,51
vous,vous,51
voyais,voir,18
à,à,81
la,le,71
Scala,Scala,20
/!,/!,P
-,-,p
vous,vous,51
avouerai,avouer,15
je,je,51
une,un,71
chose,chose,22
",",",",p
cher,cher,30
ami,ami,21
",",",",p
parler,parler,14
d',de,81
amour,amour,21
m',je,51
ennuie,ennuyer,17
",",",",p
et,et,82
me,je,51
semble,sembler,17
indécent,indécent,30
/.,/.,P
allons,aller,17
",",",",p
dit,dire,19
elle,il,51
en,en,52
essayant,essayer,13
de,de,81
sourire,sourire,14
",",",",p
mais,mais,82
en,en,81
vain,vain,30
",",",",p
courage,courage,21
!,!,p
soyez,être,17
homme,homme,21
d',de,81
esprit,esprit,21
",",",",p
homme,homme,21
judicieux,judicieux,30
",",",",p
homme,homme,21
à,à,81
ressources,ressource,22
dans,dans,81
les,le,71
occurrences,occurrence,22
/.,/.,P
soyez,être,17
avec,avec,81
moi,moi,51
ce,ce,52
que,que,52
vous,vous,51
êtes,être,17
réellement,réellement,60
aux,à,81
aux,le,71
yeux,oeil,21
des,de,81
des,le,71
indifférents,indifférent,30
",",",",p
l',le,71
homme,homme,21
le,le,71
plus,plus,60
habile,habile,30
et,et,82
le,le,71
plus,plus,60
grand,grand,30
politique,politique,21
que,que,52
l',le,71
Italie,Italie,20
ait,avoir,17
produit,produire,12
depuis,depuis,81
des,de,81
des,le,71
siècles,siècle,21
/.,/.,P
le,le,71
comte,comte,21
se,se,51
leva,lever,19
et,et,82
se,se,51
promena,promener,19
en,en,81
silence,silence,21
pendant,pendant,81
quelques,quelque,75
instants,instant,21
/.,/.,P
-,-,p
impossible,impossible,30
",",",",p
chère,cher,30
amie,amie,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
enfin,enfin,60
:,:,p
je,je,51
suis,être,17
en,en,81
proie,proie,22
aux,à,81
aux,le,71
déchirements,déchirement,21
de,de,81
la,le,71
passion,passion,22
la,le,71
plus,plus,60
violente,violent,30
",",",",p
et,et,82
vous,vous,51
me,je,51
demandez,demander,17
d',de,81
interroger,interroger,14
ma,mon,73
raison,raison,22
/!,/!,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
raison,raison,22
pour,pour,81
moi,moi,51
/!,/!,P
-,-,p
ne,ne,60
parlons,parler,17
pas,pas,60
de,de,81
passion,passion,22
",",",",p
je,je,51
vous,vous,51
prie,prier,17
",",",",p
dit,dire,19
elle,il,51
d',de,81
un,un,71
ton,ton,21
sec,sec,30
;,;,p
et,et,82
ce,ce,52
fut,être,19
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
après,après,81
deux,deux,72
heures,heure,22
d',de,81
entretien,entretien,21
",",",",p
que,que,83
sa,son,73
voix,voix,22
prit,prendre,19
une,un,71
expression,expression,22
quelconque,quelconque,30
/.,/.,P
le,le,71
comte,comte,21
",",",",p
au,à,81
au,le,71
désespoir,désespoir,21
lui-même,lui-même,51
",",",",p
chercha,chercher,19
à,à,81
la,le,52
consoler,consoler,14
/.,/.,P
-,-,p
il,il,51
m',je,51
a,avoir,17
trompée,tromper,12
",",",",p
s',se,51
écriait,écrier,18
elle,il,51
sans,sans,81
répondre,répondre,14
en,en,81
aucune,aucun,75
façon,façon,22
aux,à,81
aux,le,71
raisons,raison,22
d',de,81
espérer,espérer,14
que,que,83
lui,lui,51
exposait,exposer,18
le,le,71
comte,comte,21
;,;,p
il,il,51
m',je,51
a,avoir,17
trompée,tromper,12
de,de,81
la,le,71
façon,façon,22
la,le,71
plus,plus,60
lâche,lâche,30
/!,/!,P
et,et,82
sa,son,73
pâleur,pâleur,22
mortelle,mortel,30
cessa,cesser,19
pour,pour,81
un,un,71
instant,instant,21
;,;,p
mais,mais,82
",",",",p
même,même,60
dans,dans,81
ce,ce,74
moment,moment,21
d',de,81
excitation,excitation,22
violente,violent,30
",",",",p
le,le,71
comte,comte,21
remarqua,remarquer,19
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
la,le,71
force,force,22
de,de,81
soulever,soulever,14
les,le,71
bras,bras,21
/.,/.,P
grand,grand,30
dieu,dieu,21
!,!,p
serait,être,16
il,il,51
possible,possible,30
",",",",p
pensa,penser,19
t,t,94
il,il,51
",",",",p
qu',que,83
elle,il,51
ne,ne,60
fût,être,19
que,que,83
malade,malade,30
/?,/?,P
en,en,81
ce,ce,74
cas,cas,21
pourtant,pourtant,60
ce,ce,52
serait,être,16
le,le,71
début,début,21
de,de,81
quelque,quelque,75
maladie,maladie,22
fort,fort,60
grave,grave,30
/.,/.,P
alors,alors,60
",",",",p
rempli,rempli,31
d',de,81
inquiétude,inquiétude,22
",",",",p
il,il,51
proposa,proposer,19
de,de,81
faire,faire,14
appeler,appeler,14
le,le,71
célèbre,célèbre,30
Rozari,Rozari,20
",",",",p
le,le,71
premier,premier,72
médecin,médecin,21
du,de,81
du,le,71
pays,pays,21
et,et,82
de,de,81
l',le,71
Italie,Italie,20
/.,/.,P
-,-,p
vous,vous,51
voulez,vouloir,17
donc,donc,82
donner,donner,14
à,à,81
un,un,71
étranger,étranger,21
le,le,71
plaisir,plaisir,21
de,de,81
connaître,connaître,14
toute,tout,75
l',le,71
étendue,étendue,22
de,de,81
mon,mon,73
désespoir,désespoir,21
?,?,p
/…,/…,P
est,être,17
ce,ce,52
là,là,60
le,le,71
conseil,conseil,21
d',de,81
un,un,71
traître,traître,21
ou,ou,82
d',de,81
un,un,71
ami,ami,21
/?,/?,P
et,et,82
elle,il,51
