11960
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatrième extrait>,<>,<>
",",",",p
sitôt,sitôt,60
qu',que,83
apparaissait,apparaître,18
un,un,71
chien,chien,21
",",",",p
ressemblant,ressembler,13
à,à,81
celui-là,celui-là,52
/.,/.,P
les,le,71
autres,autre,75
expériences,expérience,22
échouèrent,échouer,19
/.,/.,P
contrairement,contrairement,60
aux,à,81
aux,le,71
auteurs,auteur,21
",",",",p
les,le,71
pigeons,pigeon,21
qu',que,52
ils,ils,51
saignèrent,saigner,19
l',le,71
estomac,estomac,21
plein,plein,30
ou,ou,82
vide,vide,30
",",",",p
moururent,mourir,19
dans,dans,81
le,le,71
même,même,75
espace,espace,21
de,de,81
temps,temps,21
/.,/.,P
des,de,81
des,le,71
petits,petit,30
chats,chat,21
enfoncés,enfoncé,31
sous,sous,81
l',le,71
eau,eau,22
périrent,périr,19
au,à,81
au,le,71
bout,bout,21
de,de,81
cinq,cinq,72
minutes,minute,22
-,-,p
et,et,82
une,un,71
oie,ouïr,17
",",",",p
qu',que,52
ils,ils,51
avaient,avoir,18
bourrée,bourrer,12
de,de,81
garance,garance,22
",",",",p
offrit,offrir,19
des,de,81
des,le,71
périostes,périoste,21
d',de,81
une,un,71
entière,entier,30
blancheur,blancheur,22
/.,/.,P
la,le,71
nutrition,nutrition,22
les,le,52
tourmentait,tourmenter,18
/.,/.,P
comment,comment,60
se,se,51
fait,faire,17
il,il,51
que,que,83
le,le,71
même,même,75
suc,suc,21
produise,produire,17
des,de,81
des,le,71
os,os,21
",",",",p
du,de,81
du,le,71
sang,sang,21
",",",",p
de,de,81
la,le,71
lymphe,lymphe,22
et,et,82
des,de,81
des,le,71
matières,matière,22
excrémentielles,excrémentiel,30
/?,/?,P
mais,mais,82
on,on,51
ne,ne,60
peut,pouvoir,17
suivre,suivre,14
les,le,71
métamorphoses,métamorphose,22
d',de,81
un,un,71
aliment,aliment,21
/.,/.,P
l',le,71
homme,homme,21
qui,qui,52
n',ne,60
use,user,17
que,que,83
d',de,81
un,un,71
seul,seul,30
est,être,17
",",",",p
chimiquement,chimiquement,60
",",",",p
pareil,pareil,30
à,à,81
celui,celui,52
qui,qui,52
en,en,52
absorbe,absorber,17
plusieurs,plusieurs,75
/.,/.,P
Vauquelin,Vauquelin,20
ayant,avoir,13
calculé,calculer,12
toute,tout,75
la,le,71
chaux,chaux,22
contenue,contenu,31
dans,dans,81
l',le,71
avoine,avoine,21
d',de,81
une,un,71
poule,poule,22
",",",",p
en,en,52
retrouva,retrouver,19
davantage,davantage,60
dans,dans,81
les,le,71
coquilles,coquille,22
de,de,81
ses,son,73
oeufs,oeuf,21
/.,/.,P
donc,donc,82
",",",",p
il,il,51
se,se,51
fait,faire,17
une,un,71
création,création,22
de,de,81
substance,substance,22
/.,/.,P
de,de,81
quelle,quel,75
manière,manière,22
?,?,p
on,on,51
n',ne,60
en,en,52
sait,savoir,17
rien,rien,52
/.,/.,P
on,on,51
ne,ne,60
sait,savoir,17
même,même,60
pas,pas,60
quelle,quel,52
est,être,17
la,le,71
force,force,22
du,de,81
du,le,71
coeur,coeur,21
/.,/.,P
Borelli,Borelli,20
admet,admettre,17
celle,celui,52
qu',que,83
il,il,51
faut,falloir,17
pour,pour,81
soulever,soulever,14
un,un,71
poids,poids,21
de,de,81
cent,cent,72
quatre,quatre,72
vingt,vingt,72
mille,mille,72
livres,livre,21
",",",",p
et,et,82
Keill,Keill,20
l',le,52
évalue,évaluer,17
à,à,81
huit,huit,72
onces,once,22
",",",",p
environ,environ,60
/.,/.,P
d',de,81
où,où,60
ils,ils,51
conclurent,conclure,19
que,que,83
la,le,71
physiologie,physiologie,22
est,être,17
(,(,p
suivant,suivant,81
un,un,71
vieux,vieux,30
mot,mot,21
),),p
le,le,71
roman,roman,21
de,de,81
la,le,71
médecine,médecine,22
/.,/.,P
n',ne,60
ayant,avoir,13
pu,pouvoir,12
la,le,52
comprendre,comprendre,14
",",",",p
ils,ils,51
n',ne,60
y,y,52
croyaient,croire,18
pas,pas,60
/.,/.,P
un,un,71
mois,mois,21
se,se,51
passa,passer,19
dans,dans,81
le,le,71
désoeuvrement,désoeuvrement,21
/.,/.,P
puis,puis,60
ils,ils,51
songèrent,songer,19
à,à,81
leur,leur,73
jardin,jardin,21
/.,/.,P
l',le,71
arbre,arbre,21
mort,mort,31
étalé,étalé,31
dans,dans,81
le,le,71
milieu,milieu,21
était,être,18
gênant,gênant,30
/.,/.,P
ils,ils,51
l',le,52
équarrirent,équarrir,19
/.,/.,P
cet,ce,74
exercice,exercice,21
les,le,52
fatigua,fatiguer,19
/.,/.,P
-,-,p
Bouvard,Bouvard,20
avait,avoir,18
",",",",p
très,très,60
souvent,souvent,60
",",",",p
besoin,besoin,21
de,de,81
faire,faire,14
arranger,arranger,14
ses,son,73
outils,outil,21
chez,chez,81
le,le,71
forgeron,forgeron,21
/.,/.,P
un,un,71
jour,jour,21
qu',que,52
il,il,51
s',se,51
y,y,52
rendait,rendre,18
",",",",p
il,il,51
fut,être,19
accosté,accoster,12
par,par,81
un,un,71
homme,homme,21
portant,porter,13
sur,sur,81
le,le,71
dos,dos,21
un,un,71
sac,sac,21
de,de,81
toile,toile,22
",",",",p
et,et,82
qui,qui,52
lui,lui,51
proposa,proposer,19
des,de,81
des,le,71
almanachs,almanach,21
",",",",p
des,de,81
des,le,71
livres,livre,21
pieux,pieux,30
",",",",p
des,de,81
des,le,71
médailles,médaille,22
bénites,béni,31
",",",",p
enfin,enfin,60
le,le,71
Manuel,Manuel,20
de,de,81
la,le,71
santé,santé,22
",",",",p
par,par,81
François,François,20
Raspail,Raspail,20
/.,/.,P
cette,ce,74
brochure,brochure,22
lui,lui,51
plut,plaire,19
tellement,tellement,60
qu',que,83
il,il,51
écrivit,écrire,19
à,à,81
Barberou,Barberou,20
de,de,81
lui,lui,51
envoyer,envoyer,14
le,le,71
grand,grand,30
ouvrage,ouvrage,21
/.,/.,P
Barberou,Barberou,20
l',le,52
expédia,expédier,19
",",",",p
et,et,82
indiquait,indiquer,18
dans,dans,81
sa,son,73
lettre,lettre,22
",",",",p
une,un,71
pharmacie,pharmacie,22
pour,pour,81
les,le,71
médicaments,médicament,21
/.,/.,P
la,le,71
clarté,clarté,22
de,de,81
la,le,71
doctrine,doctrine,22
les,le,52
séduisit,séduire,19
/.,/.,P
toutes,tout,75
les,le,71
affections,affection,22
proviennent,provenir,17
des,de,81
des,le,71
vers,ver,21
/.,/.,P
ils,ils,51
gâtent,gâter,17
les,le,71
dents,dent,22
",",",",p
creusent,creuser,17
les,le,71
poumons,poumon,21
",",",",p
dilatent,dilater,17
le,le,71
foie,foie,21
",",",",p
ravagent,ravager,17
les,le,71
intestins,intestin,21
",",",",p
et,et,82
y,y,52
causent,causer,17
des,de,81
des,le,71
bruits,bruit,21
/.,/.,P
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
mieux,mieux,60
pour,pour,81
s',se,51
en,en,52
délivrer,délivrer,14
c',ce,52
est,être,17
le,le,71
camphre,camphre,21
/.,/.,P
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
l',le,52
adoptèrent,adopter,19
/.,/.,P
ils,ils,51
en,en,52
prisaient,priser,18
",",",",p
ils,ils,51
en,en,52
croquaient,croquer,18
et,et,82
distribuaient,distribuer,18
des,de,81
des,le,71
cigarettes,cigarette,22
",",",",p
des,de,81
des,le,71
flacons,flacon,21
d',de,81
eau,eau,22
sédative,sédatif,30
",",",",p
et,et,82
des,de,81
des,le,71
pilules,pilule,22
d',de,81
aloès,aloès,21
/.,/.,P
ils,ils,51
entreprirent,entreprendre,19
même,même,60
la,le,71
cure,cure,22
d',de,81
un,un,71
bossu,bossu,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
enfant,enfant,21
qu',que,83
ils,ils,51
avaient,avoir,18
rencontré,rencontrer,12
un,un,71
jour,jour,21
de,de,81
foire,foire,22
/.,/.,P
sa,son,73
mère,mère,22
",",",",p
une,un,71
mendiante,mendiante,22
",",",",p
l',le,52
amenait,amener,18
chez,chez,81
eux,ils,51
tous,tout,52
les,le,71
matins,matin,21
/.,/.,P
ils,ils,51
frictionnaient,frictionner,18
sa,son,73
bosse,bosse,22
avec,avec,81
de,de,81
la,le,71
graisse,graisse,22
camphrée,camphré,30
",",",",p
y,y,52
mettaient,mettre,18
pendant,pendant,81
vingt,vingt,72
minutes,minute,22
un,un,71
cataplasme,cataplasme,21
de,de,81
moutarde,moutarde,22
",",",",p
puis,puis,60
la,le,52
recouvraient,recouvrir,18
de,de,81
diachylum,diachylum,21
",",",",p
et,et,82
pour,pour,81
être,être,14
sûrs,sûr,30
qu',que,83
il,il,51
reviendrait,revenir,16
",",",",p
lui,lui,51
donnaient,donner,18
à,à,81
déjeuner,déjeuner,14
/.,/.,P
ayant,avoir,13
l',le,71
esprit,esprit,21
tendu,tendu,31
vers,vers,81
les,le,71
helminthes,helminthe,21
",",",",p
Pécuchet,Pécuchet,20
observa,observer,19
sur,sur,81
la,le,71
joue,joue,22
de,de,81
madame,madame,22
Bordin,Bordin,20
une,un,71
tache,tache,22
bizarre,bizarre,30
/.,/.,P
le,le,71
docteur,docteur,21
",",",",p
depuis,depuis,81
longtemps,longtemps,60
la,le,52
traitait,traiter,18
par,par,81
les,le,71
amers,amer,21
;,;,p
ronde,ronde,22
au,à,81
au,le,71
début,début,21
comme,comme,83
une,un,71
pièce,pièce,22
de,de,81
vingt,vingt,72
sols,sol,21
",",",",p
cette,ce,74
tache,tache,22
avait,avoir,18
grandi,grandir,12
",",",",p
et,et,82
formait,former,18
un,un,71
cercle,cercle,21
rose,rose,30
/.,/.,P
ils,ils,51
voulurent,vouloir,19
l',le,52
en,en,52
guérir,guérir,14
/.,/.,P
elle,il,51
accepta,accepter,19
;,;,p
mais,mais,82
exigeait,exiger,18
que,que,83
ce,ce,52
fût,être,19
Bouvard,Bouvard,20
qui,qui,52
lui,lui,51
fît,faire,18
les,le,71
onctions,onction,22
/.,/.,P
elle,il,51
se,se,51
posait,poser,18
devant,devant,81
la,le,71
fenêtre,fenêtre,22
",",",",p
dégrafait,dégrafer,18
le,le,71
haut,haut,21
de,de,81
son,son,73
corsage,corsage,21
et,et,82
restait,rester,18
la,le,71
joue,joue,22
tendue,tendu,31
",",",",p
en,en,81
le,le,52
regardant,regarder,13
avec,avec,81
un,un,71
oeil,oeil,21
",",",",p
qui,qui,52
aurait,avoir,16
été,être,12
dangereux,dangereux,30
sans,sans,81
la,le,71
présence,présence,22
de,de,81
Pécuchet,Pécuchet,20
/.,/.,P
dans,dans,81
les,le,71
doses,dose,22
permises,permis,31
et,et,82
malgré,malgré,81
l',le,71
effroi,effroi,21
du,de,81
du,le,71
mercure,mercure,21
ils,ils,51
administrèrent,administrer,19
du,de,81
du,le,71
calomel,calomel,21
/.,/.,P
un,un,71
mois,mois,21
plus,plus,60
tard,tard,60
",",",",p
madame,madame,22
Bordin,Bordin,20
était,être,18
sauvée,sauver,12
/.,/.,P
elle,il,51
leur,leur,52
fit,faire,19
de,de,81
la,le,71
propagande,propagande,22
;,;,p
-,-,p
et,et,82
le,le,71
percepteur,percepteur,21
des,de,81
des,le,71
contributions,contribution,22
",",",",p
le,le,71
secrétaire,secrétaire,21
de,de,81
la,le,71
mairie,mairie,22
",",",",p
le,le,71
maire,maire,21
lui-même,lui-même,51
",",",",p
tout,tout,75
le,le,71
monde,monde,21
dans,dans,81
Chavignolles,Chavignolles,20
suçait,sucer,18
des,de,81
des,le,71
tuyaux,tuyau,21
de,de,81
plume,plume,22
/.,/.,P
cependant,cependant,82
le,le,71
bossu,bossu,21
ne,ne,60
se,se,51
redressait,redresser,18
pas,pas,60
/.,/.,P
le,le,71
percepteur,percepteur,21
lâcha,lâcher,19
la,le,71
cigarette,cigarette,22
",",",",p
elle,il,51
redoublait,redoubler,18
ses,son,73
étouffements,étouffement,21
/.,/.,P
Foureau,Foureau,20
se,se,51
plaignit,plaindre,19
des,de,81
des,le,71
pilules,pilule,22
d',de,81
aloès,aloès,21
qui,qui,52
lui,lui,51
occasionnaient,occasionner,18
des,de,81
des,le,71
hémorroïdes,hémorroïdes,22
",",",",p
Bouvard,Bouvard,20
eut,avoir,19
des,de,81
des,le,71
maux,mal,21
d',de,81
estomac,estomac,21
et,et,82
Pécuchet,Pécuchet,20
d',de,81
atroces,atroce,30
migraines,migraine,22
/.,/.,P
ils,ils,51
perdirent,perdre,19
confiance,confiance,22
dans,dans,81
le,le,71
Raspail,Raspail,20
",",",",p
mais,mais,82
eurent,avoir,19
soin,soin,21
de,de,81
n',ne,60
en,en,52
rien,rien,52
dire,dire,14
",",",",p
craignant,craindre,13
de,de,81
diminuer,diminuer,14
leur,leur,73
considération,considération,22
/.,/.,P
et,et,82
ils,ils,51
montrèrent,montrer,19
beaucoup,beaucoup,60
de,de,81
zèle,zèle,21
pour,pour,81
la,le,71
vaccine,vaccine,22
",",",",p
apprirent,apprendre,19
à,à,81
saigner,saigner,14
sur,sur,81
des,de,81
des,le,71
feuilles,feuille,22
de,de,81
chou,chou,21
",",",",p
firent,faire,19
même,même,60
l',le,71
acquisition,acquisition,22
d',de,81
une,un,71
paire,paire,22
de,de,81
lancettes,lancette,22
/.,/.,P
ils,ils,51
accompagnaient,accompagner,18
le,le,71
médecin,médecin,21
chez,chez,81
les,le,71
pauvres,pauvre,21
",",",",p
puis,puis,60
consultaient,consulter,18
leurs,leur,73
livres,livre,21
/.,/.,P
les,le,71
symptômes,symptôme,21
notés,noté,31
par,par,81
les,le,71
auteurs,auteur,21
n',ne,60
étaient,être,18
pas,pas,60
ceux,celui,52
qu',que,52
ils,ils,51
venaient,venir,18
de,de,81
voir,voir,14
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
noms,nom,21
des,de,81
des,le,71
maladies,maladie,22
",",",",p
du,de,81
du,le,71
latin,latin,21
",",",",p
du,de,81
du,le,71
grec,grec,21
",",",",p
du,de,81
du,le,71
français,français,21
",",",",p
une,un,71
bigarrure,bigarrure,22
de,de,81
toutes,tout,75
les,le,71
langues,langue,22
/.,/.,P
on,on,51
les,le,52
compte,compter,17
par,par,81
milliers,millier,21
",",",",p
et,et,82
la,le,71
classification,classification,22
linnéenne,linnéen,30
est,être,17
bien,bien,60
commode,commode,30
",",",",p
avec,avec,81
ses,son,73
genres,genre,21
et,et,82
ses,son,73
espèces,espèce,22
;,;,p
mais,mais,82
comment,comment,60
établir,établir,14
les,le,71
espèces,espèce,22
/?,/?,P
alors,alors,60
",",",",p
ils,ils,51
s',se,51
égarèrent,égarer,19
dans,dans,81
la,le,71
philosophie,philosophie,22
de,de,81
la,le,71
médecine,médecine,22
/.,/.,P
ils,ils,51
rêvaient,rêver,18
sur,sur,81
l',le,71
Archée,Archée,20
de,de,81
Van Helmont,Van Helmont,20
",",",",p
le,le,71
vitalisme,vitalisme,21
",",",",p
le,le,71
brownisme,brownisme,21
",",",",p
l',le,71
organicisme,organicisme,21
",",",",p
demandaient,demander,18
au,à,81
au,le,71
docteur,docteur,21
d',de,81
où,où,60
vient,venir,17
le,le,71
germe,germe,21
de,de,81
la,le,71
scrofule,scrofule,22
",",",",p
vers,vers,81
quel,quel,75
endroit,endroit,21
se,se,51
porte,porter,17
le,le,71
miasme,miasme,21
contagieux,contagieux,30
",",",",p
et,et,82
le,le,71
moyen,moyen,21
dans,dans,81
tous,tout,75
les,le,71
cas,cas,21
morbides,morbide,30
de,de,81
distinguer,distinguer,14
la,le,71
cause,cause,22
de,de,81
ses,son,73
effets,effet,21
/.,/.,P
-,-,p
“,“,p
la,le,71
cause,cause,22
et,et,82
l',le,71
effet,effet,21
s',se,51
embrouillent,embrouiller,17
“,“,p
",",",",p
répondait,répondre,18
Vaucorbeil,Vaucorbeil,20
/.,/.,P
son,son,73
manque,manque,21
de,de,81
logique,logique,22
les,le,52
dégoûta,dégoûter,19
;,;,p
-,-,p
et,et,82
ils,ils,51
visitèrent,visiter,19
les,le,71
malades,malade,21
tout,tout,60
seuls,seul,30
",",",",p
pénétrant,pénétrant,30
dans,dans,81
les,le,71
maisons,maison,22
",",",",p
sous,sous,81
prétexte,prétexte,21
de,de,81
philanthropie,philanthropie,22
/.,/.,P
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
chambres,chambre,22
sur,sur,81
de,de,81
sales,sale,30
matelas,matelas,21
",",",",p
reposaient,reposer,18
des,de,81
des,le,71
gens,gens,21
dont,dont,52
la,le,71
figure,figure,22
pendait,pendre,18
d',de,81
un,un,71
côté,côté,21
",",",",p
d',de,81
autres,autre,52
l',le,52
avaient,avoir,18
bouffie,bouffi,30
et,et,82
d',de,81
un,un,71
rouge,rouge,21
écarlate,écarlate,30
",",",",p
ou,ou,82
couleur,couleur,22
de,de,81
citron,citron,21
",",",",p
ou,ou,82
bien,bien,60
violette,violette,22
",",",",p
avec,avec,81
les,le,71
narines,narine,22
pincées,pincé,31
",",",",p
la,le,71
bouche,bouche,22
tremblante,tremblant,30
;,;,p
et,et,82
des,de,81
des,le,71
râles,râle,21
",",",",p
des,de,81
des,le,71
hoquets,hoquet,21
",",",",p
des,de,81
des,le,71
sueurs,sueur,22
",",",",p
des,de,81
des,le,71
exhalaisons,exhalaison,22
de,de,81
cuir,cuir,21
et,et,82
de,de,81
vieux,vieux,30
fromage,fromage,21
/.,/.,P
ils,ils,51
lisaient,lire,18
les,le,71
ordonnances,ordonnance,22
de,de,81
leurs,leur,73
médecins,médecin,21
",",",",p
et,et,82
étaient,être,18
fort,fort,60
surpris,surprendre,12
que,que,83
les,le,71
calmants,calmant,21
soient,être,17
parfois,parfois,60
des,de,81
des,le,71
excitants,excitant,21
",",",",p
les,le,71
vomitifs,vomitif,21
des,de,81
des,le,71
purgatifs,purgatif,21
",",",",p
qu',que,52
un,un,71
même,même,75
remède,remède,21
convienne,convenir,17
à,à,81
des,de,81
des,le,71
affections,affection,22
diverses,divers,30
",",",",p
et,et,82
qu',que,83
une,un,71
maladie,maladie,22
s',se,51
en,en,52
aille,aller,17
sous,sous,81
des,de,81
des,le,71
traitements,traitement,21
opposés,opposé,31
/.,/.,P
néanmoins,néanmoins,60
",",",",p
ils,ils,51
donnaient,donner,18
des,de,81
des,le,71
conseils,conseil,21
",",",",p
remontaient,remonter,18
le,le,71
moral,moral,21
",",",",p
avaient,avoir,18
l',le,71
audace,audace,22
d',de,81
ausculter,ausculter,14
/.,/.,P
leur,leur,73
imagination,imagination,22
travaillait,travailler,18
/.,/.,P
ils,ils,51
écrivirent,écrire,19
au,à,81
au,le,71
roi,roi,21
",",",",p
pour,pour,81
qu',que,83
on,on,51
établit,établir,17
dans,dans,81
le,le,71
Calvados,Calvados,20
un,un,71
institut,institut,21
de,de,81
gardes,garder,17
malades,malade,21
",",",",p
dont,dont,52
ils,ils,51
seraient,être,16
les,le,71
professeurs,professeur,21
/.,/.,P
ils,ils,51
se,se,51
transportèrent,transporter,19
chez,chez,81
le,le,71
pharmacien,pharmacien,21
de,de,81
Bayeux,Bayeux,20
(,(,p
celui,celui,52
de,de,81
Falaise,Falaise,20
leur,leur,52
en,en,52
voulait,vouloir,18
toujours,toujours,60
à,à,81
cause,cause,22
de,de,81
son,son,73
jujube,jujube,21
),),p
et,et,82
ils,ils,51
l',le,52
engagèrent,engager,19
à,à,81
fabriquer,fabriquer,14
comme,comme,83
les,le,71
anciens,ancien,21
des,de,81
des,le,71
pila,pila,92
purgatoria,purgatoria,92
",",",",p
c'est-à-dire,c'est-à-dire,91
des,de,81
des,le,71
boulettes,boulette,22
de,de,81
médicaments,médicament,21
",",",",p
qui,qui,52
à,à,81
force,force,22
d',de,81
être,être,14
maniées,manier,12
",",",",p
s',se,51
absorbent,absorber,17
dans,dans,81
l',le,71
individu,individu,21
/.,/.,P
d',de,81
après,après,81
ce,ce,74
raisonnement,raisonnement,21
qu',que,83
en,en,81
diminuant,diminuer,13
la,le,71
chaleur,chaleur,22
on,on,51
entrave,entraver,17
les,le,71
phlegmasies,phlegmasie,22
",",",",p
ils,ils,51
suspendirent,suspendre,19
dans,dans,81
son,son,73
fauteuil,fauteuil,21
",",",",p
aux,à,81
aux,le,71
poutrelles,poutrelle,22
du,de,81
du,le,71
plafond,plafond,21
",",",",p
une,un,71
femme,femme,22
affectée,affecté,31
de,de,81
méningite,méningite,22
",",",",p
et,et,82
ils,ils,51
la,le,52
balançaient,balancer,18
à,à,81
tour,tour,21
de,de,81
bras,bras,21
quand,quand,83
le,le,71
mari,mari,21
survenant,survenir,13
les,le,52
flanqua,flanquer,19
dehors,dehors,60
/.,/.,P
enfin,enfin,60
au,à,81
au,le,71
grand,grand,30
scandale,scandale,21
de,de,81
monsieur,monsieur,21
le,le,71
curé,curé,21
",",",",p
ils,ils,51
avaient,avoir,18
pris,prendre,12
la,le,71
mode,mode,22
nouvelle,nouveau,30
d',de,81
introduire,introduire,14
des,de,81
des,le,71
thermomètres,thermomètre,21
dans,dans,81
les,le,71
derrières,derrière,21
/.,/.,P
une,un,71
fièvre,fièvre,22
typhoïde,typhoïde,22
se,se,51
répandit,répandre,19
aux,à,81
aux,le,71
environs,environs,21
:,:,p
Bouvard,Bouvard,20
déclara,déclarer,19
qu',que,83
il,il,51
ne,ne,60
s',se,51
en,en,52
mêlerait,mêler,16
pas,pas,60
/.,/.,P
mais,mais,82
la,le,71
femme,femme,22
de,de,81
Gouy,Gouy,20
leur,leur,73
fermier,fermier,21
vint,venir,19
gémir,gémir,14
chez,chez,81
eux,ils,51
/.,/.,P
son,son,73
homme,homme,21
était,être,18
malade,malade,30
depuis,depuis,81
quinze,quinze,72
jours,jour,21
;,;,p
et,et,82
monsieur,monsieur,21
Vaucorbeil,Vaucorbeil,20
le,le,52
négligeait,négliger,18
/.,/.,P
Pécuchet,Pécuchet,20
se,se,51
dévoua,dévouer,19
/.,/.,P
taches,tache,22
lenticulaires,lenticulaire,30
sur,sur,81
la,le,71
poitrine,poitrine,22
",",",",p
douleurs,douleur,22
aux,à,81
aux,le,71
articulations,articulation,22
",",",",p
ventre,ventre,21
ballonné,ballonné,31
",",",",p
langue,langue,22
rouge,rouge,30
",",",",p
c',ce,52
étaient,être,18
tous,tout,75
les,le,71
signes,signe,21
de,de,81
la,le,71
dothiénentérie,dothiénentérie,22
/.,/.,P
se,se,51
rappelant,rappeler,13
le,le,71
mot,mot,21
de,de,81
Raspail,Raspail,20
qu',que,83
en,en,81
ôtant,ôter,13
la,le,71
diète,diète,22
on,on,51
supprime,supprimer,17
la,le,71
fièvre,fièvre,22
",",",",p
il,il,51
ordonna,ordonner,19
des,de,81
des,le,71
bouillons,bouillon,21
",",",",p
un,un,71
peu,peu,60
de,de,81
viande,viande,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
le,le,71
docteur,docteur,21
parut,paraître,19
/.,/.,P
son,son,73
malade,malade,21
était,être,18
en,en,81
train,train,21
de,de,81
manger,manger,14
",",",",p
deux,deux,72
oreillers,oreiller,21
derrière,derrière,81
le,le,71
dos,dos,21
",",",",p
entre,entre,81
la,le,71
fermière,fermière,22
et,et,82
Pécuchet,Pécuchet,20
qui,qui,52
le,le,52
renforçaient,renforcer,18
/.,/.,P
il,il,51
s',se,51
approcha,approcher,19
du,de,81
du,le,71
lit,lit,21
",",",",p
et,et,82
jeta,jeter,19
l',le,71
assiette,assiette,22
par,par,81
la,le,71
fenêtre,fenêtre,22
",",",",p
en,en,81
s',se,51
écriant,écrier,13
:,:,p
-,-,p
“,“,p
c',ce,52
est,être,17
un,un,71
véritable,véritable,30
meurtre,meurtre,21
/!,/!,P
pourquoi,pourquoi,60
/?,/?,P
vous,vous,51
perforez,perforer,17
l',le,71
intestin,intestin,21
",",",",p
puisque,puisque,83
la,le,71
fièvre,fièvre,22
typhoïde,typhoïde,22
est,être,17
une,un,71
altération,altération,22
de,de,81
sa,son,73
membrane,membrane,22
folliculaire,folliculaire,30
/.,/.,P
“,“,p
-,-,p
“,“,p
pas,pas,60
toujours,toujours,60
/!,/!,P
et,et,82
une,un,71
dispute,dispute,22
s',se,51
engagea,engager,19
sur,sur,81
la,le,71
nature,nature,22
des,de,81
des,le,71
fièvres,fièvre,22
/.,/.,P
Pécuchet,Pécuchet,20
croyait,croire,18
à,à,81
leur,leur,73
essence,essence,22
/.,/.,P
Vaucorbeil,Vaucorbeil,20
les,le,52
faisait,faire,18
dépendre,dépendre,14
des,de,81
des,le,71
organes,organe,21
/.,/.,P
-,-,p
“,“,p
aussi,aussi,60
j',je,51
éloigne,éloigner,17
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
surexciter,surexciter,14
/!,/!,P
mais,mais,82
la,le,71
diète,diète,22
affaiblit,affaiblir,19
le,le,71
principe,principe,21
vital,vital,30
/!,/!,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
me,je,51
chantez,chanter,17
avec,avec,81
votre,votre,73
principe,principe,21
vital,vital,30
/!,/!,P
comment,comment,60
est,être,17
il,il,51
?,?,p
qui,qui,52
l',le,52
a,avoir,17
vu,voir,12
/?,/?,P
Pécuchet,Pécuchet,20
s',se,51
embrouilla,embrouiller,19
/.,/.,P
-,-,p
“,“,p
d',de,81
ailleurs,ailleurs,60
“,“,p
disait,dire,18
le,le,71
médecin,médecin,21
",",",",p
“,“,p
Gouy,Gouy,20
ne,ne,60
veut,vouloir,17
pas,pas,60
de,de,81
nourriture,nourriture,22
/.,/.,P
“,“,p
le,le,71
malade,malade,21
fit,faire,19
un,un,71
geste,geste,21
d',de,81
assentiment,assentiment,21
sous,sous,81
son,son,73
bonnet,bonnet,21
de,de,81
coton,coton,21
/.,/.,P
-,-,p
“,“,p
n',ne,60
importe,importer,17
!,!,p
il,il,51
en,en,52
a,avoir,17
besoin,besoin,21
/!,/!,P
jamais,jamais,60
!,!,p
son,son,73
pouls,pouls,21
donne,donner,17
quatre,quatre,72
vingt,vingt,72
dix,dix,72
huit,huit,72
pulsations,pulsation,22
/.,/.,P
“,“,p
-,-,p
“,“,p
qu',que,52
importe,importer,17
les,le,71
pulsations,pulsation,22
/!,/!,P
et,et,82
Pécuchet,Pécuchet,20
nomma,nommer,19
ses,son,73
autorités,autorité,22
/.,/.,P
-,-,p
“,“,p
laissons,laisser,17
les,le,71
systèmes,système,21
!,!,p
dit,dire,19
le,le,71
docteur,docteur,21
/.,/.,P
Pécuchet,Pécuchet,20
croisa,croiser,19
les,le,71
bras,bras,21
/.,/.,P
-,-,p
“,“,p
vous,vous,51
êtes,être,17
un,un,71
empirique,empirique,30
",",",",p
alors,alors,60
/?,/?,P
nullement,nullement,60
!,!,p
mais,mais,82
en,en,81
observant,observer,13
/.,/.,P
“,“,p
-,-,p
“,“,p
et,et,82
si,si,83
on,on,51
observe,observer,17
mal,mal,60
/?,/?,P
Vaucorbeil,Vaucorbeil,20
prit,prendre,19
cette,ce,74
parole,parole,22
pour,pour,81
une,un,71
allusion,allusion,22
à,à,81
l',le,71
herpès,herpès,21
de,de,81
madame,madame,22
Bordin,Bordin,20
",",",",p
histoire,histoire,22
clabaudée,clabaudé,31
par,par,81
la,le,71
veuve,veuve,22
",",",",p
et,et,82
dont,dont,52
le,le,71
souvenir,souvenir,21
l',le,52
agaçait,agacer,18
/.,/.,P
-,-,p
“,“,p
d'abord,d'abord,60
",",",",p
il,il,51
faut,falloir,17
avoir,avoir,14
fait,faire,12
de,de,81
la,le,71
pratique,pratique,22
/.,/.,P
“,“,p
-,-,p
“,“,p
ceux,celui,52
qui,qui,52
ont,avoir,17
révolutionné,révolutionner,12
la,le,71
science,science,22
",",",",p
n',ne,60
en,en,52
faisaient,faire,18
pas,pas,60
/!,/!,P
