11698
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-sixième extrait>,<>,<> 
était,être,18
vide,vide,30
et,et,82
libre,libre,30
/.,/.,P
Mariolle,Mariolle,20
la,le,52
prit,prendre,19
et,et,82
se,se,51
fit,faire,19
conduire,conduire,14
à,à,81
Marlotte,Marlotte,20
",",",",p
d',de,81
où,où,60
il,il,51
regagnerait,regagner,16
à,à,81
pied,pied,21
Montigny,Montigny,20
",",",",p
après,après,81
avoir,avoir,14
mangé,manger,12
à,à,81
l',le,71
auberge,auberge,22
",",",",p
car,car,82
il,il,51
avait,avoir,18
faim,faim,22
/.,/.,P
il,il,51
se,se,51
rappelait,rappeler,18
avoir,avoir,14
vu,voir,12
la,le,71
veille,veille,22
cet,ce,74
établissement,établissement,21
qu',que,83
on,on,51
venait,venir,18
d',de,81
ouvrir,ouvrir,14
:,:,p
l',le,71
hôtel,hôtel,21
Corot,Corot,20
",",",",p
guinguette,guinguette,22
artiste,artiste,21
à,à,81
décor,décor,21
moyen,moyen,30
âge,âge,21
",",",",p
sur,sur,81
le,le,71
modèle,modèle,21
du,de,81
du,le,71
cabaret,cabaret,21
du,de,81
du,le,71
chat,chat,21
noir,noir,30
",",",",p
à,à,81
Paris,Paris,20
/.,/.,P
on,on,51
l',le,52
y,y,52
déposa,déposer,19
",",",",p
et,et,82
il,il,51
pénétra,pénétrer,19
par,par,81
une,un,71
porte,porte,22
ouverte,ouvert,31
dans,dans,81
une,un,71
vaste,vaste,30
salle,salle,22
où,où,60
des,de,81
des,le,71
tables,table,22
d',de,81
un,un,71
genre,genre,21
ancien,ancien,30
et,et,82
des,de,81
des,le,71
escabeaux,escabeau,21
incommodes,incommode,30
semblaient,sembler,18
attendre,attendre,14
des,de,81
des,le,71
buveurs,buveur,21
d',de,81
un,un,71
autre,autre,75
siècle,siècle,21
/.,/.,P
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
pièce,pièce,22
",",",",p
une,un,71
femme,femme,22
",",",",p
une,un,71
jeune,jeune,30
bonne,bonne,22
sans,sans,81
doute,doute,21
",",",",p
debout,debout,60
sur,sur,81
le,le,71
sommet,sommet,21
d',de,81
une,un,71
petite,petit,30
échelle,échelle,22
double,double,30
",",",",p
accrochait,accrocher,18
de,de,81
vieilles,vieux,30
assiettes,assiette,22
à,à,81
des,de,81
des,le,71
clous,clou,21
trop,trop,60
élevés,élevé,31
pour,pour,81
elle,il,51
/.,/.,P
tantôt,tantôt,60
dressée,dressé,31
sur,sur,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
deux,deux,72
pieds,pied,21
",",",",p
tantôt,tantôt,60
se,se,51
haussant,hausser,13
sur,sur,81
un,un,71
seul,seul,30
",",",",p
elle,il,51
s',se,51
allongeait,allonger,18
",",",",p
une,un,71
main,main,22
sur,sur,81
le,le,71
mur,mur,21
",",",",p
l',le,71
assiette,assiette,22
dans,dans,81
l',le,71
autre,autre,52
",",",",p
avec,avec,81
des,de,81
des,le,71
mouvements,mouvement,21
adroits,adroit,30
et,et,82
jolis,joli,30
",",",",p
car,car,82
sa,son,73
taille,taille,22
était,être,18
fine,fin,30
",",",",p
et,et,82
la,le,71
ligne,ligne,22
ondulant,onduler,13
de,de,81
son,son,73
poignet,poignet,21
à,à,81
sa,son,73
cheville,cheville,22
prenait,prendre,18
des,de,81
des,le,71
grâces,grâce,22
changeantes,changeant,30
à,à,81
chacun,chacun,52
de,de,81
ses,son,73
efforts,effort,21
/.,/.,P
comme,comme,83
elle,il,51
tournait,tourner,18
le,le,71
dos,dos,21
",",",",p
elle,il,51
n',ne,60
entendit,entendre,19
point,point,60
entrer,entrer,14
Mariolle,Mariolle,20
",",",",p
qui,qui,52
s',se,51
arrêta,arrêter,19
pour,pour,81
la,le,52
regarder,regarder,14
/.,/.,P
le,le,71
souvenir,souvenir,21
de,de,81
Prédolé,Prédolé,20
lui,lui,51
vint,venir,19
:,:,p
“,“,p
tiens,tenir,17
",",",",p
c',ce,52
est,être,17
gentil,gentil,30
cela,cela,52
!,!,p
se,se,51
dit,dire,19
il,il,51
/.,/.,P
elle,il,51
est,être,17
très,très,60
souple,souple,30
",",",",p
cette,ce,74
fillette,fillette,22
/.,/.,P
“,“,p
il,il,51
toussa,tousser,19
/.,/.,P
elle,il,51
faillit,faillir,19
tomber,tomber,14
de,de,81
surprise,surprise,22
;,;,p
mais,mais,82
",",",",p
dès,dès,81
qu',que,83
elle,il,51
eut,avoir,19
retrouvé,retrouver,12
son,son,73
équilibre,équilibre,21
",",",",p
elle,il,51
sauta,sauter,19
sur,sur,81
le,le,71
sol,sol,21
",",",",p
du,de,81
du,le,71
haut,haut,21
de,de,81
l',le,71
échelle,échelle,22
",",",",p
avec,avec,81
une,un,71
légèreté,légèreté,22
de,de,81
danseuse,danseuse,22
de,de,81
corde,corde,22
",",",",p
puis,puis,60
vint,venir,19
",",",",p
souriante,souriant,30
",",",",p
vers,vers,81
le,le,71
client,client,21
/.,/.,P
elle,il,51
interrogea,interroger,19
:,:,p
-,-,p
monsieur,monsieur,21
désire,désirer,17
/?,/?,P
déjeuner,déjeuner,14
",",",",p
mademoiselle,mademoiselle,22
/.,/.,P
elle,il,51
osa,oser,19
dire,dire,14
:,:,p
-,-,p
ce,ce,52
serait,être,16
plutôt,plutôt,60
dîner,dîner,14
",",",",p
car,car,82
il,il,51
est,être,17
trois,trois,72
heures,heure,22
et,et,82
demie,demi,30
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
-,-,p
disons,dire,17
dîner,dîner,14
si,si,83
vous,vous,51
le,le,52
voulez,vouloir,17
/.,/.,P
je,je,51
me,je,51
suis,être,17
perdu,perdre,12
dans,dans,81
la,le,71
forêt,forêt,22
/.,/.,P
alors,alors,60
elle,il,51
énonça,énoncer,19
les,le,71
plats,plat,21
à,à,81
la,le,71
disposition,disposition,22
des,de,81
des,le,71
voyageurs,voyageur,21
/.,/.,P
il,il,51
fit,faire,19
son,son,73
menu,menu,21
et,et,82
s',se,51
assit,asseoir,19
/.,/.,P
elle,il,51
alla,aller,19
donner,donner,14
la,le,71
commande,commande,22
",",",",p
puis,puis,60
revint,revenir,19
mettre,mettre,14
le,le,71
couvert,couvert,21
/.,/.,P
il,il,51
la,le,52
suivait,suivre,18
du,de,81
du,le,71
regard,regard,21
",",",",p
la,le,52
trouvant,trouver,13
gentille,gentil,30
",",",",p
vive,vif,30
et,et,82
propre,propre,30
/.,/.,P
vêtue,vêtu,31
pour,pour,81
le,le,71
travail,travail,21
",",",",p
jupe,jupe,22
retroussée,retroussé,31
",",",",p
manches,manche,22
relevées,relevé,31
",",",",p
le,le,71
cou,cou,21
au,à,81
au,le,71
vent,vent,21
",",",",p
elle,il,51
avait,avoir,18
un,un,71
petit,petit,30
air,air,21
alerte,alerte,30
et,et,82
plaisant,plaisant,30
à,à,81
voir,voir,14
;,;,p
et,et,82
son,son,73
corset,corset,21
moulait,mouler,18
bien,bien,60
sa,son,73
taille,taille,22
",",",",p
dont,dont,52
elle,il,51
devait,devoir,18
être,être,14
très,très,60
fière,fier,30
/.,/.,P
la,le,71
figure,figure,22
",",",",p
un,un,71
peu,peu,60
rouge,rouge,30
",",",",p
vermillonnée,vermillonné,30
par,par,81
le,le,71
grand,grand,30
air,air,21
",",",",p
semblait,sembler,18
trop,trop,60
joufflue,joufflu,30
",",",",p
empâtée,empâté,31
encore,encore,60
",",",",p
mais,mais,82
d',de,81
une,un,71
fraîcheur,fraîcheur,22
de,de,81
fleur,fleur,22
qui,qui,52
s',se,51
ouvre,ouvrir,17
",",",",p
avec,avec,81
de,de,81
beaux,beau,30
yeux,oeil,21
bruns,brun,30
luisants,luisant,30
dans,dans,81
lesquels,lequel,52
tout,tout,52
semblait,sembler,18
briller,briller,14
",",",",p
une,un,71
bouche,bouche,22
largement,largement,60
ouverte,ouvert,31
",",",",p
pleine,plein,30
de,de,81
belles,beau,30
dents,dent,22
",",",",p
et,et,82
des,de,81
des,le,71
cheveux,cheveu,21
châtains,châtain,30
dont,dont,52
l',le,71
abondance,abondance,22
révélait,révéler,18
l',le,71
énergie,énergie,22
vivace,vivace,30
de,de,81
ce,ce,74
jeune,jeune,30
corps,corps,21
vigoureux,vigoureux,30
/.,/.,P
elle,il,51
apportait,apporter,18
des,de,81
des,le,71
radis,radis,21
et,et,82
du,de,81
du,le,71
beurre,beurre,21
",",",",p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
manger,manger,14
",",",",p
cessant,cesser,13
de,de,81
la,le,52
voir,voir,14
/.,/.,P
voulant,vouloir,13
s',se,51
étourdir,étourdir,14
",",",",p
il,il,51
demanda,demander,19
une,un,71
bouteille,bouteille,22
de,de,81
champagne,champagne,21
et,et,82
la,le,52
but,boire,19
tout,tout,60
entière,entier,30
",",",",p
puis,puis,60
deux,deux,72
verres,verre,21
de,de,81
Kummel,Kummel,20
après,après,81
son,son,73
café,café,21
;,;,p
et,et,82
",",",",p
comme,comme,83
il,il,51
était,être,18
presque,presque,60
à jeun,à jeun,60
",",",",p
n',ne,60
ayant,avoir,13
mangé,manger,12
avant,avant,81
de,de,81
partir,partir,14
qu',que,83
un,un,71
peu,peu,60
de,de,81
viande,viande,22
froide,froid,30
et,et,82
du,de,81
du,le,71
pain,pain,21
",",",",p
il,il,51
se,se,51
sentit,sentir,19
envahi,envahi,31
",",",",p
engourdi,engourdi,31
",",",",p
soulagé,soulagé,31
par,par,81
un,un,71
étourdissement,étourdissement,21
puissant,puissant,30
qu',que,83
il,il,51
prenait,prendre,18
pour,pour,81
de,de,81
l',le,71
oubli,oubli,21
/.,/.,P
ses,son,73
idées,idée,22
",",",",p
son,son,73
chagrin,chagrin,21
",",",",p
ses,son,73
angoisses,angoisse,22
semblaient,sembler,18
délayées,délayé,31
",",",",p
noyées,noyé,31
dans,dans,81
le,le,71
vin,vin,21
clair,clair,30
",",",",p
qui,qui,52
avait,avoir,18
fait,faire,12
",",",",p
en,en,81
si,si,83
peu,peu,60
de,de,81
temps,temps,21
",",",",p
de,de,81
son,son,73
coeur,coeur,21
torturé,torturé,31
un,un,71
coeur,coeur,21
presque,presque,60
inerte,inerte,30
/.,/.,P
il,il,51
revint,revenir,19
à,à,81
Montigny,Montigny,20
à,à,81
pas,pas,21
lents,lent,30
",",",",p
rentra,rentrer,19
chez,chez,81
lui,lui,51
",",",",p
et,et,82
",",",",p
très,très,60
las,las,30
",",",",p
très,très,60
somnolent,somnolent,30
",",",",p
il,il,51
se,se,51
coucha,coucher,19
dès,dès,81
le,le,71
soir,soir,21
tombé,tombé,31
",",",",p
et,et,82
s',se,51
endormit,endormir,19
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
mais,mais,82
il,il,51
se,se,51
réveilla,réveiller,19
en,en,81
pleines,plein,30
ténèbres,ténèbre,22
",",",",p
mal,mal,60
à,à,81
l',le,71
aise,aise,22
",",",",p
tourmenté,tourmenté,31
comme,comme,83
si,si,83
un,un,71
cauchemar,cauchemar,21
chassé,chassé,31
pendant,pendant,81
quelques,quelque,75
heures,heure,22
avait,avoir,18
reparu,reparaître,12
furtivement,furtivement,60
pour,pour,81
interrompre,interrompre,14
son,son,73
sommeil,sommeil,21
/.,/.,P
elle,il,51
était,être,18
là,là,60
",",",",p
elle,il,51
",",",",p
madame,madame,22
de,de,81
Burne,Burne,20
",",",",p
revenue,revenu,31
",",",",p
rôdant,rôder,13
encore,encore,60
autour,autour,60
de,de,81
lui,lui,51
",",",",p
toujours,toujours,60
accompagnée,accompagné,31
de,de,81
monsieur,monsieur,21
de,de,81
Bernhaus,Bernhaus,20
/.,/.,P
“,“,p
tiens,tenir,17
!,!,p
se,se,51
dit,dire,19
il,il,51
",",",",p
je,je,51
suis,être,17
jaloux,jaloux,30
à,à,81
présent,présent,21
;,;,p
pourquoi,pourquoi,60
donc,donc,82
/?,/?,P
pourquoi,pourquoi,60
était,être,18
il,il,51
jaloux,jaloux,30
/?,/?,P
il,il,51
le,le,52
comprit,comprendre,19
bien,bien,60
vite,vite,60
/.,/.,P
malgré,malgré,81
ses,son,73
craintes,crainte,22
et,et,82
ses,son,73
angoisses,angoisse,22
",",",",p
tant,tant,60
qu',que,83
il,il,51
avait,avoir,18
été,être,12
son,son,73
amant,amant,21
",",",",p
il,il,51
la,le,52
sentait,sentir,18
fidèle,fidèle,30
",",",",p
fidèle,fidèle,30
sans,sans,81
élan,élan,21
",",",",p
sans,sans,81
tendresse,tendresse,22
",",",",p
mais,mais,82
avec,avec,81
une,un,71
résolution,résolution,22
loyale,loyal,30
/.,/.,P
or,or,82
il,il,51
venait,venir,18
de,de,81
tout,tout,52
briser,briser,14
",",",",p
il,il,51
l',le,52
avait,avoir,18
faite,faire,12
libre,libre,30
:,:,p
c',ce,52
était,être,18
fini,finir,12
/.,/.,P
resterait,rester,16
elle,il,51
maintenant,maintenant,60
sans,sans,81
liaison,liaison,22
/?,/?,P
oui,oui,60
",",",",p
pendant,pendant,81
quelque,quelque,75
temps,temps,21
",",",",p
sans,sans,81
doute,doute,21
/…,/…,P
et,et,82
puis,puis,60
?,?,p
/…,/…,P
cette,ce,74
fidélité,fidélité,22
même,même,30
qu',que,52
elle,il,51
lui,lui,51
avait,avoir,18
gardée,garder,12
jusqu'ici,jusqu'ici,81
sans,sans,81
qu',que,83
il,il,51
en,en,52
pût,pouvoir,18
douter,douter,14
",",",",p
ne,ne,60
venait,venir,18
elle,il,51
pas,pas,60
du,de,81
du,le,71
vague,vague,30
pressentiment,pressentiment,21
que,que,52
",",",",p
si,si,83
elle,il,51
le,le,52
quittait,quitter,18
",",",",p
lui,lui,51
Mariolle,Mariolle,20
",",",",p
par,par,81
lassitude,lassitude,22
",",",",p
il,il,51
faudrait,falloir,16
bien,bien,60
qu',que,83
un,un,71
jour,jour,21
ou,ou,82
l',le,71
autre,autre,52
",",",",p
après,après,81
un,un,71
repos,repos,21
plus,plus,60
ou,ou,82
moins,moins,60
long,long,30
",",",",p
elle,il,51
le,le,52
remplaçât,remplacer,18
",",",",p
non,non,60
par,par,81
entraînement,entraînement,21
",",",",p
mais,mais,82
par,par,81
fatigue,fatigue,22
de,de,81
la,le,71
solitude,solitude,22
",",",",p
comme,comme,83
elle,il,51
l',le,52
aurait,avoir,16
rejeté,rejeter,12
par,par,81
fatigue,fatigue,22
de,de,81
son,son,73
attachement,attachement,21
/.,/.,P
n',ne,60
y,y,52
a,avoir,17
t,t,94
il,il,51
pas,pas,60
des,de,81
des,le,71
amants,amant,21
qu',que,83
on,on,51
garde,garder,17
toujours,toujours,60
avec,avec,81
résignation,résignation,22
par,par,81
peur,peur,22
du,de,81
du,le,71
suivant,suivant,21
/?,/?,P
et,et,82
puis,puis,60
",",",",p
changer,changer,14
de,de,81
bras,bras,21
n',ne,60
eût,avoir,19
pas,pas,60
paru,paraître,12
propre,propre,21
à,à,81
une,un,71
femme,femme,22
comme,comme,83
celle-là,celui-là,52
",",",",p
trop,trop,60
intelligente,intelligent,30
pour,pour,81
subir,subir,14
le,le,71
préjugé,préjugé,21
de,de,81
la,le,71
faute,faute,22
et,et,82
du,de,81
du,le,71
déshonneur,déshonneur,21
",",",",p
mais,mais,82
douée,doué,31
d',de,81
une,un,71
délicate,délicat,30
pudeur,pudeur,22
morale,moral,30
qui,qui,52
la,le,52
préservait,préserver,18
des,de,81
des,le,71
vraies,vrai,30
souillures,souillure,22
/.,/.,P
mondaine,mondain,30
philosophe,philosophe,30
et,et,82
non,non,60
prude,prude,30
bourgeoise,bourgeoise,22
",",",",p
elle,il,51
ne,ne,60
s',se,51
effrayait,effrayer,18
pas,pas,60
d',de,81
une,un,71
attache,attache,22
secrète,secret,30
",",",",p
tandis que,tandis que,83
sa,son,73
chair,chair,22
indifférente,indifférent,30
eût,avoir,19
tressailli,tressaillir,12
de,de,81
dégoût,dégoût,21
à,à,81
la,le,71
pensée,pensée,22
d',de,81
une,un,71
suite,suite,22
d',de,81
amants,amant,21
/.,/.,P
il,il,51
l',le,52
avait,avoir,18
faite,faire,12
libre,libre,30
…,…,p
et,et,82
maintenant,maintenant,60
?,?,p
/…,/…,P
maintenant,maintenant,60
certainement,certainement,60
elle,il,51
en,en,52
prendrait,prendre,16
un,un,71
autre,autre,52
/!,/!,P
et,et,82
ce,ce,52
serait,être,16
le,le,71
comte,comte,21
de,de,81
Bernhaus,Bernhaus,20
/.,/.,P
il,il,51
en,en,52
était,être,18
sûr,sûr,30
",",",",p
et,et,82
il,il,51
en,en,52
souffrait,souffrir,18
",",",",p
à,à,81
présent,présent,21
",",",",p
d',de,81
une,un,71
inimaginable,inimaginable,30
façon,façon,22
/.,/.,P
pourquoi,pourquoi,60
avait,avoir,18
il,il,51
rompu,rompre,12
/?,/?,P
il,il,51
l',le,52
avait,avoir,18
quittée,quitter,12
fidèle,fidèle,30
",",",",p
amicale,amical,30
et,et,82
charmante,charmant,30
/!,/!,P
pourquoi,pourquoi,60
/?,/?,P
parce qu',parce que,83
il,il,51
était,être,18
une,un,71
brute,brute,22
sensuelle,sensuel,30
qui,qui,52
ne,ne,60
comprenait,comprendre,18
pas,pas,60
l',le,71
amour,amour,21
sans,sans,81
les,le,71
entraînements,entraînement,21
physiques,physique,30
/?,/?,P
était,être,18
ce,ce,52
bien,bien,60
cela,cela,52
/?,/?,P
oui,oui,60
/…,/…,P
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
autre,autre,75
chose,chose,22
/!,/!,P
il,il,51
y,y,52
avait,avoir,18
",",",",p
avant,avant,81
tout,tout,52
",",",",p
la,le,71
peur,peur,22
de,de,81
souffrir,souffrir,14
/.,/.,P
il,il,51
avait,avoir,18
fui,fuir,12
devant,devant,81
la,le,71
douleur,douleur,22
de,de,81
n',ne,60
être,être,14
pas,pas,60
aimé,aimer,12
comme,comme,83
il,il,51
aimait,aimer,18
",",",",p
devant,devant,81
le,le,71
dissentiment,dissentiment,21
cruel,cruel,30
",",",",p
né,né,31
entre,entre,81
eux,ils,51
",",",",p
de,de,81
leurs,leur,73
baisers,baiser,21
inégalement,inégalement,60
tendres,tendre,30
",",",",p
devant,devant,81
le,le,71
mal,mal,21
inguérissable,inguérissable,30
dont,dont,52
son,son,73
coeur,coeur,21
",",",",p
durement,durement,60
atteint,atteint,31
",",",",p
ne,ne,60
devait,devoir,18
peut-être,peut-être,60
jamais,jamais,60
guérir,guérir,14
/.,/.,P
il,il,51
avait,avoir,18
eu,avoir,12
peur,peur,22
de,de,81
trop,trop,60
souffrir,souffrir,14
",",",",p
d',de,81
endurer,endurer,14
pendant,pendant,81
des,de,81
des,le,71
années,année,22
l',le,71
angoisse,angoisse,22
pressentie,pressenti,31
pendant,pendant,81
quelques,quelque,75
mois,mois,21
",",",",p
subie,subi,31
seulement,seulement,60
pendant,pendant,81
quelques,quelque,75
semaines,semaine,22
/.,/.,P
faible,faible,30
",",",",p
comme,comme,83
toujours,toujours,60
",",",",p
il,il,51
avait,avoir,18
reculé,reculer,12
devant,devant,81
cette,ce,74
douleur,douleur,22
",",",",p
ainsi,ainsi,60
que,que,83
",",",",p
durant,durant,81
toute,tout,75
sa,son,73
vie,vie,22
",",",",p
il,il,51
avait,avoir,18
reculé,reculer,12
devant,devant,81
les,le,71
grands,grand,30
efforts,effort,21
/.,/.,P
il,il,51
était,être,18
donc,donc,82
incapable,incapable,30
de,de,81
faire,faire,14
une,un,71
chose,chose,22
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
",",",",p
de,de,81
se,se,51
jeter,jeter,14
dans,dans,81
la,le,71
passion,passion,22
comme,comme,83
il,il,51
aurait,avoir,16
dû,devoir,12
se,se,51
jeter,jeter,14
dans,dans,81
une,un,71
science,science,22
ou,ou,82
dans,dans,81
un,un,71
art,art,21
",",",",p
car,car,82
il,il,51
est,être,17
peut-être,peut-être,60
impossible,impossible,30
d',de,81
avoir,avoir,14
beaucoup,beaucoup,60
aimé,aimer,12
sans,sans,81
avoir,avoir,14
beaucoup,beaucoup,60
souffert,souffrir,12
/.,/.,P
jusqu',jusque,81
à,à,81
l',le,71
aurore,aurore,22
",",",",p
il,il,51
remua,remuer,19
ces,ce,74
mêmes,même,75
idées,idée,22
qui,qui,52
le,le,52
mordaient,mordre,18
comme,comme,83
des,de,81
des,le,71
chiens,chien,21
;,;,p
puis,puis,60
il,il,51
se,se,51
leva,lever,19
et,et,82
descendit,descendre,19
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
rivière,rivière,22
/.,/.,P
un,un,71
pêcheur,pêcheur,21
jetait,jeter,18
l',le,71
épervier,épervier,21
près,près,81
du,de,81
du,le,71
petit,petit,30
barrage,barrage,21
/.,/.,P
l',le,71
eau,eau,22
tournoyait,tournoyer,18
sous,sous,81
la,le,71
lumière,lumière,22
",",",",p
et,et,82
",",",",p
quand,quand,83
l',le,71
homme,homme,21
en,en,52
retirait,retirer,18
son,son,73
grand,grand,30
filet,filet,21
rond,rond,30
pour,pour,81
l',le,52
étaler,étaler,14
sur,sur,81
le,le,71
bout,bout,21
ponté,ponté,31
du,de,81
du,le,71
bateau,bateau,21
",",",",p
les,le,71
minces,mince,30
poissons,poisson,21
frétillaient,frétiller,18
sous,sous,81
les,le,71
mailles,maille,22
comme,comme,83
de,de,81
l',le,71
argent,argent,21
vivant,vivant,30
/.,/.,P
Mariolle,Mariolle,20
se,se,51
calmait,calmer,18
dans,dans,81
la,le,71
tiédeur,tiédeur,22
de,de,81
l',le,71
air,air,21
matinal,matinal,30
",",",",p
dans,dans,81
la,le,71
buée,buée,22
de,de,81
la,le,71
chute,chute,22
d',de,81
eau,eau,22
où,où,60
voltigeaient,voltiger,18
de,de,81
légers,léger,30
arcs-en-ciel,arc-en-ciel,21
;,;,p
et,et,82
le,le,71
courant,courant,21
qui,qui,52
coulait,couler,18
à,à,81
ses,son,73
pieds,pied,21
lui,lui,51
paraissait,paraître,18
emporter,emporter,14
un,un,71
peu,peu,60
de,de,81
son,son,73
chagrin,chagrin,21
dans,dans,81
sa,son,73
fuite,fuite,22
incessante,incessant,30
et,et,82
rapide,rapide,30
/.,/.,P
il,il,51
se,se,51
dit,dire,19
:,:,p
“,“,p
vraiment,vraiment,60
j',je,51
ai,avoir,17
bien,bien,60
fait,faire,12
;,;,p
j',je,51
aurais,avoir,16
été,être,12
trop,trop,60
malheureux,malheureux,30
/!,/!,P
retournant,retourner,13
alors,alors,60
à,à,81
la,le,71
maison,maison,22
prendre,prendre,14
un,un,71
hamac,hamac,21
aperçu,aperçu,31
dans,dans,81
le,le,71
vestibule,vestibule,21
",",",",p
il,il,51
l',le,52
accrocha,accrocher,19
entre,entre,81
deux,deux,72
tilleuls,tilleul,21
",",",",p
et,et,82
",",",",p
s',se,51
étant,être,13
couché,coucher,12
dedans,dedans,60
",",",",p
il,il,51
essaya,essayer,19
de,de,81
ne,ne,60
songer,songer,14
à,à,81
rien,rien,52
en,en,81
regardant,regarder,13
glisser,glisser,14
l',le,71
onde,onde,22
/.,/.,P
il,il,51
gagna,gagner,19
ainsi,ainsi,60
le,le,71
déjeuner,déjeuner,21
",",",",p
dans,dans,81
une,un,71
torpeur,torpeur,22
douce,doux,30
",",",",p
dans,dans,81
un,un,71
bien-être,bien-être,21
du,de,81
du,le,71
corps,corps,21
qui,qui,52
se,se,51
répandait,répandre,18
jusqu',jusque,81
à,à,81
l',le,71
âme,âme,22
",",",",p
et,et,82
il,il,51
fit,faire,19
durer,durer,14
le,le,71
repas,repas,21
le,le,71
plus,plus,60
possible,possible,30
pour,pour,81
alentir,alentir,14
la,le,71
fuite,fuite,22
du,de,81
du,le,71
jour,jour,21
/.,/.,P
mais,mais,82
une,un,71
attente,attente,22
l',le,52
énervait,énerver,18
:,:,p
celle,celui,52
du,de,81
du,le,71
courrier,courrier,21
/.,/.,P
il,il,51
avait,avoir,18
télégraphié,télégraphier,12
à,à,81
Paris,Paris,20
et,et,82
écrit,écrit,21
à,à,81
Fontainebleau,Fontainebleau,20
pour,pour,81
qu',que,83
on,on,51
lui,lui,51
renvoyât,renvoyer,18
ses,son,73
lettres,lettre,22
/.,/.,P
il,il,51
ne,ne,60
recevait,recevoir,18
rien,rien,52
",",",",p
et,et,82
la,le,71
sensation,sensation,22
d',de,81
un,un,71
grand,grand,30
abandon,abandon,21
commençait,commencer,18
à,à,81
l',le,52
oppresser,oppresser,14
/.,/.,P
pourquoi,pourquoi,60
/?,/?,P
il,il,51
ne,ne,60
pouvait,pouvoir,18
rien,rien,52
espérer,espérer,14
d',de,81
agréable,agréable,30
",",",",p
de,de,81
consolant,consolant,30
",",",",p
de,de,81
rassérénant,rassérénant,30
dans,dans,81
la,le,71
petite,petit,30
boîte,boîte,22
noire,noir,30
pendue,pendu,31
au,à,81
au,le,71
flanc,flanc,21
du,de,81
du,le,71
facteur,facteur,21
",",",",p
rien,rien,52
que,que,83
des,de,81
des,le,71
invitations,invitation,22
inutiles,inutile,30
et,et,82
des,de,81
des,le,71
communications,communication,22
banales,banal,30
/.,/.,P
alors,alors,60
pourquoi,pourquoi,60
désirer,désirer,14
ces,ce,74
papiers,papier,21
inconnus,inconnu,30
",",",",p
comme,comme,83
si,si,83
le,le,71
salut,salut,21
de,de,81
son,son,73
coeur,coeur,21
était,être,18
dedans,dedans,60
/?,/?,P
ne,ne,60
cachait,cacher,18
il,il,51
pas,pas,60
au,à,81
au,le,71
fond,fond,21
de,de,81
lui,lui,51
le,le,71
vaniteux,vaniteux,30
espoir,espoir,21
qu',que,52
elle,il,51
lui,lui,51
écrirait,écrire,16
/?,/?,P
il,il,51
demanda,demander,19
à,à,81
l',le,71
une,un,52
de,de,81
ses,son,73
vieilles,vieux,30
femmes,femme,22
:,:,p
-,-,p
à,à,81
quelle,quel,75
heure,heure,22
arrive,arriver,17
la,le,71
poste,poste,22
/?,/?,P
à,à,81
midi,midi,21
",",",",p
monsieur,monsieur,21
/.,/.,P
c',ce,52
était,être,18
le,le,71
moment,moment,21
juste,juste,30
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
écouter,écouter,14
les,le,71
bruits,bruit,21
du,de,81
du,le,71
dehors,dehors,21
avec,avec,81
une,un,71
grandissante,grandissant,30
inquiétude,inquiétude,22
/.,/.,P
un,un,71
coup,coup,21
frappé,frappé,31
sur,sur,81
la,le,71
porte,porte,22
extérieure,extérieur,30
le,le,52
souleva,soulever,19
/.,/.,P
le,le,71
piéton,piéton,21
n',ne,60
apportait,apporter,18
en,en,81
effet,effet,21
que,que,52
des,de,81
des,le,71
journaux,journal,21
et,et,82
trois,trois,72
lettres,lettre,22
sans,sans,81
importance,importance,22
/.,/.,P
Mariolle,Mariolle,20
lut,lire,19
les,le,71
feuilles,feuille,22
publiques,public,30
",",",",p
les,le,52
relut,relire,19
",",",",p
s',se,51
ennuya,ennuyer,19
et,et,82
sortit,sortir,19
/.,/.,P
que,que,52
ferait,faire,16
il,il,51
/?,/?,P
il,il,51
retourna,retourner,19
vers,vers,81
le,le,71
hamac,hamac,21
",",",",p
et,et,82
s',se,51
y,y,52
étendit,étendre,19
de,de,81
nouveau,nouveau,21
:,:,p
or,or,82
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
demi-heure,demi-heure,22
un,un,71
impérieux,impérieux,30
besoin,besoin,21
de,de,81
changer,changer,14
de,de,81
place,place,22
le,le,52
saisit,saisir,19
/.,/.,P
la,le,71
forêt,forêt,22
/?,/?,P
oui,oui,60
",",",",p
la,le,71
forêt,forêt,22
était,être,18
délicieuse,délicieux,30
",",",",p
mais,mais,82
la,le,71
solitude,solitude,22
y,y,52
semblait,sembler,18
encore,encore,60
plus,plus,60
profonde,profond,30
qu',que,83
en,en,81
sa,son,73
maison,maison,22
",",",",p
que,que,83
