11335
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente et unième extrait>,<>,<>
trois,trois,72
juges,juge,21
entrèrent,entrer,19
/.,/.,P
trois,trois,72
échappés,échappé,31
des,de,81
des,le,71
galères,galère,22
",",",",p
se,se,51
dit,dire,19
Fabrice,Fabrice,20
en,en,81
voyant,voir,13
ces,ce,74
physionomies,physionomie,22
basses,bas,30
",",",",p
et,et,82
non,non,60
pas,pas,60
trois,trois,72
juges,juge,21
;,;,p
ils,ils,51
avaient,avoir,18
de,de,81
longues,long,30
robes,robe,22
noires,noir,30
/.,/.,P
ils,ils,51
saluèrent,saluer,19
gravement,gravement,60
",",",",p
et,et,82
occupèrent,occuper,19
",",",",p
sans,sans,81
mot,mot,21
dire,dire,14
",",",",p
les,le,71
trois,trois,72
chaises,chaise,22
qui,qui,52
étaient,être,18
dans,dans,81
la,le,71
chambre,chambre,22
/.,/.,P
-,-,p
monsieur,monsieur,21
Fabrice,Fabrice,20
del,del,92
Dongo,Dongo,20
",",",",p
dit,dire,19
le,le,71
plus,plus,60
âgé,âgé,30
",",",",p
nous,nous,51
sommes,être,17
peinés,peiner,12
de,de,81
la,le,71
triste,triste,30
mission,mission,22
que,que,52
nous,nous,51
venons,venir,17
remplir,remplir,14
auprès,auprès,60
de,de,81
vous,vous,51
/.,/.,P
nous,nous,51
sommes,être,17
ici,ici,60
pour,pour,81
vous,vous,51
annoncer,annoncer,14
le,le,71
décès,décès,21
de,de,81
son,son,73
excellence,excellence,22
monsieur,monsieur,21
le,le,71
marquis,marquis,21
del,del,92
Dongo,Dongo,20
",",",",p
votre,votre,73
père,père,21
",",",",p
second,second,72
grand,grand,21
majordome,majordome,21
major,major,21
du,de,81
du,le,71
royaume,royaume,21
lombardo-vénitien,lombardo-vénitien,30
",",",",p
chevalier,chevalier,21
grand-croix,grand-croix,22
des,de,81
des,le,71
ordres,ordre,21
de,de,81
",",",",p
etc.,et cetera,91
.,.,p
etc.,et cetera,91
.,.,p
etc.,et cetera,91
/.,/.,P
Fabrice,Fabrice,20
fondit,fondre,19
en,en,81
larmes,larme,22
;,;,p
le,le,71
juge,juge,21
continua,continuer,19
/.,/.,P
-,-,p
madame,madame,22
la,le,71
marquise,marquise,22
del,del,92
Dongo,Dongo,20
",",",",p
votre,votre,73
mère,mère,22
",",",",p
vous,vous,51
fait,faire,17
part,part,22
de,de,81
cette,ce,74
nouvelle,nouvelle,22
par,par,81
une,un,71
lettre,lettre,22
missive,missive,22
;,;,p
mais,mais,82
comme,comme,83
elle,il,51
a,avoir,17
joint,joindre,12
au,à,81
au,le,71
fait,fait,21
des,de,81
des,le,71
réflexions,réflexion,22
inconvenantes,inconvenant,30
",",",",p
par,par,81
un,un,71
arrêt,arrêt,21
d',de,81
hier,hier,60
",",",",p
la,le,71
cour,cour,22
de,de,81
justice,justice,22
a,avoir,17
décidé,décider,12
que,que,83
sa,son,73
lettre,lettre,22
vous,vous,51
serait,être,16
communiquée,communiquer,12
seulement,seulement,60
par,par,81
extrait,extrait,21
",",",",p
et,et,82
c',ce,52
est,être,17
cet,ce,74
extrait,extrait,21
que,que,52
monsieur,monsieur,21
le,le,71
greffier,greffier,21
Bona,Bona,20
va,aller,17
vous,vous,51
lire,lire,14
/.,/.,P
cette,ce,74
lecture,lecture,22
terminée,terminé,31
",",",",p
le,le,71
juge,juge,21
s',se,51
approcha,approcher,19
de,de,81
Fabrice,Fabrice,20
toujours,toujours,60
couché,couché,31
",",",",p
et,et,82
lui,lui,51
fit,faire,19
suivre,suivre,14
sur,sur,81
la,le,71
lettre,lettre,22
de,de,81
sa,son,73
mère,mère,22
les,le,71
passages,passage,21
dont,dont,52
on,on,51
venait,venir,18
de,de,81
lire,lire,14
les,le,71
copies,copie,22
/.,/.,P
Fabrice,Fabrice,20
vit,voir,19
dans,dans,81
la,le,71
lettre,lettre,22
les,le,71
mots,mot,21
emprisonnement,emprisonnement,21
injuste,injuste,30
",",",",p
punition,punition,22
cruelle,cruel,30
pour,pour,81
un,un,71
crime,crime,21
qui,qui,52
n',ne,60
en,en,52
est,être,17
pas,pas,60
un,un,52
",",",",p
et,et,82
comprit,comprendre,19
ce,ce,52
qui,qui,52
avait,avoir,18
motivé,motiver,12
la,le,71
visite,visite,22
des,de,81
des,le,71
juges,juge,21
/.,/.,P
du,de,81
du,le,71
reste,reste,21
dans,dans,81
son,son,73
mépris,mépris,21
pour,pour,81
des,de,81
des,le,71
magistrats,magistrat,21
sans,sans,81
probité,probité,22
",",",",p
il,il,51
ne,ne,60
leur,leur,52
dit,dire,19
exactement,exactement,60
que,que,83
ces,ce,74
paroles,parole,22
:,:,p
-,-,p
je,je,51
suis,être,17
malade,malade,30
",",",",p
messieurs,monsieur,21
",",",",p
je,je,51
me,je,51
meurs,mourir,17
de,de,81
langueur,langueur,22
",",",",p
et,et,82
vous,vous,51
m',je,51
excuserez,excuser,15
si,si,83
je,je,51
ne,ne,60
puis,pouvoir,17
me,je,51
lever,lever,14
/.,/.,P
les,le,71
juges,juge,21
sortis,sorti,31
",",",",p
Fabrice,Fabrice,20
pleura,pleurer,19
encore,encore,60
beaucoup,beaucoup,60
",",",",p
puis,puis,60
il,il,51
se,se,51
dit,dire,19
:,:,p
suis,être,17
je,je,51
hypocrite,hypocrite,30
?,?,p
il,il,51
me,je,51
semblait,sembler,18
que,que,83
je,je,51
ne,ne,60
l',le,52
aimais,aimer,18
point,point,60
/.,/.,P
ce,ce,74
jour,jour,21
là,là,60
et,et,82
les,le,71
suivants,suivant,21
",",",",p
Clélia,Clélia,20
fut,être,19
fort,fort,60
triste,triste,30
;,;,p
elle,il,51
l',le,52
appela,appeler,19
plusieurs,plusieurs,75
fois,fois,22
",",",",p
mais,mais,82
eut,avoir,19
à,à,81
peine,peine,22
le,le,71
courage,courage,21
de,de,81
lui,lui,51
dire,dire,14
quelques,quelque,75
paroles,parole,22
/.,/.,P
le,le,71
matin,matin,21
du,de,81
du,le,71
cinquième,cinquième,72
jour,jour,21
qui,qui,52
suivit,suivre,19
la,le,71
première,premier,72
entrevue,entrevue,22
",",",",p
elle,il,51
lui,lui,51
dit,dire,19
que,que,83
dans,dans,81
la,le,71
soirée,soirée,22
elle,il,51
viendrait,venir,16
à,à,81
la,le,71
chapelle,chapelle,22
de,de,81
marbre,marbre,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
puis,pouvoir,17
vous,vous,51
adresser,adresser,14
que,que,83
peu,peu,60
de,de,81
mots,mot,21
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
entrant,entrer,13
/.,/.,P
elle,il,51
était,être,18
tellement,tellement,60
tremblante,tremblant,30
qu',que,83
elle,il,51
avait,avoir,18
besoin,besoin,21
de,de,81
s',se,51
appuyer,appuyer,14
sur,sur,81
sa,son,73
femme,femme,22
de,de,81
chambre,chambre,22
/.,/.,P
après,après,81
l',le,52
avoir,avoir,14
renvoyée,renvoyer,12
à,à,81
l',le,71
entrée,entrée,22
de,de,81
la,le,71
chapelle,chapelle,22
:,:,p
-,-,p
vous,vous,51
allez,aller,17
me,je,51
donner,donner,14
votre,votre,73
parole,parole,22
d',de,81
honneur,honneur,21
",",",",p
ajouta,ajouter,19
t,t,94
elle,il,51
d',de,81
une,un,71
voix,voix,22
à,à,81
peine,peine,22
intelligible,intelligible,30
",",",",p
vous,vous,51
allez,aller,17
me,je,51
donner,donner,14
votre,votre,73
parole,parole,22
d',de,81
honneur,honneur,21
d',de,81
obéir,obéir,14
à,à,81
la,le,71
duchesse,duchesse,22
",",",",p
et,et,82
de,de,81
tenter,tenter,14
de,de,81
fuir,fuir,14
le,le,71
jour,jour,21
qu',que,52
elle,il,51
vous,vous,51
l',le,52
ordonnera,ordonner,15
et,et,82
de,de,81
la,le,71
façon,façon,22
qu',que,52
elle,il,51
vous,vous,51
l',le,52
indiquera,indiquer,15
",",",",p
ou,ou,82
demain,demain,60
matin,matin,21
je,je,51
me,je,51
réfugie,réfugier,17
dans,dans,81
un,un,71
couvent,couvent,21
",",",",p
et,et,82
je,je,51
vous,vous,51
jure,jurer,17
ici,ici,60
que,que,83
de,de,81
la,le,71
vie,vie,22
je,je,51
ne,ne,60
vous,vous,51
adresserai,adresser,15
la,le,71
parole,parole,22
/.,/.,P
Fabrice,Fabrice,20
resta,rester,19
muet,muet,30
/.,/.,P
-,-,p
promettez,promettre,17
",",",",p
dit,dire,19
Clélia,Clélia,20
les,le,71
larmes,larme,22
aux,à,81
aux,le,71
yeux,oeil,21
et,et,82
comme,comme,83
hors,hors,81
d',de,81
elle-même,lui-même,51
",",",",p
ou,ou,82
bien,bien,60
nous,nous,51
nous,nous,51
parlons,parler,17
ici,ici,60
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
/.,/.,P
la,le,71
vie,vie,22
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
faite,faire,12
est,être,17
affreuse,affreux,30
:,:,p
vous,vous,51
êtes,être,17
ici,ici,60
à,à,81
cause,cause,22
de,de,81
moi,moi,51
et,et,82
chaque,chaque,75
jour,jour,21
peut,pouvoir,17
être,être,14
le,le,71
dernier,dernier,21
de,de,81
votre,votre,73
existence,existence,22
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
Clélia,Clélia,20
était,être,18
si,si,60
faible,faible,30
qu',que,83
elle,il,51
fut,être,19
obligée,obliger,12
de,de,81
chercher,chercher,14
un,un,71
appui,appui,21
sur,sur,81
un,un,71
énorme,énorme,30
fauteuil,fauteuil,21
placé,placé,31
jadis,jadis,60
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
chapelle,chapelle,22
",",",",p
pour,pour,81
l',le,71
usage,usage,21
du,de,81
du,le,71
prince,prince,21
prisonnier,prisonnier,30
;,;,p
elle,il,51
était,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
se,se,51
trouver,trouver,14
mal,mal,60
/.,/.,P
-,-,p
que,que,52
faut,falloir,17
il,il,51
promettre,promettre,14
?,?,p
dit,dire,19
Fabrice,Fabrice,20
d',de,81
un,un,71
air,air,21
accablé,accablé,31
/.,/.,P
-,-,p
vous,vous,51
le,le,52
savez,savoir,17
/.,/.,P
-,-,p
je,je,51
jure,jurer,17
donc,donc,82
de,de,81
me,je,51
précipiter,précipiter,14
sciemment,sciemment,60
dans,dans,81
un,un,71
malheur,malheur,21
affreux,affreux,30
",",",",p
et,et,82
de,de,81
me,je,51
condamner,condamner,14
à,à,81
vivre,vivre,14
loin,loin,60
de,de,81
tout,tout,52
ce,ce,52
que,que,52
j',je,51
aime,aimer,17
au,à,81
au,le,71
monde,monde,21
/.,/.,P
-,-,p
promettez,promettre,17
des,de,81
des,le,71
choses,chose,22
précises,précis,30
/.,/.,P
-,-,p
je,je,51
jure,jurer,17
d',de,81
obéir,obéir,14
à,à,81
la,le,71
duchesse,duchesse,22
",",",",p
et,et,82
de,de,81
prendre,prendre,14
la,le,71
fuite,fuite,22
le,le,71
jour,jour,21
qu',que,52
elle,il,51
le,le,52
voudra,vouloir,15
et,et,82
comme,comme,83
elle,il,51
le,le,52
voudra,vouloir,15
/.,/.,P
et,et,82
que,que,52
deviendrai,devenir,15
je,je,51
une,un,71
fois,fois,22
loin,loin,60
de,de,81
vous,vous,51
/?,/?,P
-,-,p
jurez,jurer,17
de,de,81
vous,vous,51
sauver,sauver,14
",",",",p
quoi,quoi,52
qu',que,52
il,il,51
puisse,pouvoir,17
arriver,arriver,14
/.,/.,P
-,-,p
comment,comment,60
!,!,p
êtes,être,17
vous,vous,51
décidée,décider,12
à,à,81
épouser,épouser,14
le,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
dès,dès,81
que,que,83
je,je,51
n',ne,60
y,y,52
serai,être,16
plus,plus,60
/?,/?,P
-,-,p
o,oh,93
dieu,dieu,21
!,!,p
quelle,quel,75
âme,âme,22
me,je,51
croyez,croire,17
vous,vous,51
?,?,p
/…,/…,P
mais,mais,82
jurez,jurer,17
",",",",p
ou,ou,82
je,je,51
n',ne,60
aurai,avoir,15
plus,plus,60
un,un,71
seul,seul,30
instant,instant,21
la,le,71
paix,paix,22
de,de,81
l',le,71
âme,âme,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
je,je,51
jure,jurer,17
de,de,81
me,je,51
sauver,sauver,14
d',de,81
ici,ici,60
le,le,71
jour,jour,21
que,que,52
madame,madame,22
Sanseverina,Sanseverina,20
l',le,52
ordonnera,ordonner,15
",",",",p
et,et,82
quoi,quoi,52
qu',que,52
il,il,51
puisse,pouvoir,17
arriver,arriver,14
d',de,81
ici,ici,60
là,là,60
/.,/.,P
ce,ce,74
serment,serment,21
obtenu,obtenu,31
",",",",p
Clélia,Clélia,20
était,être,18
si,si,60
faible,faible,30
qu',que,83
elle,il,51
fut,être,19
obligée,obliger,12
de,de,81
se,se,51
retirer,retirer,14
après,après,81
avoir,avoir,14
remercié,remercier,12
Fabrice,Fabrice,20
/.,/.,P
-,-,p
tout,tout,52
était,être,18
prêt,prêt,30
pour,pour,81
ma,mon,73
fuite,fuite,22
demain,demain,60
matin,matin,21
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
si,si,83
vous,vous,51
vous,vous,51
étiez,être,18
obstiné,obstiner,12
à,à,81
rester,rester,14
/.,/.,P
je,je,51
vous,vous,51
aurais,avoir,16
vu,voir,12
en,en,81
cet,ce,74
instant,instant,21
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
de,de,81
ma,mon,73
vie,vie,22
",",",",p
j',je,51
en,en,52
avais,avoir,18
fait,faire,12
le,le,71
voeu,voeu,21
à,à,81
la,le,71
Madone,Madone,20
/.,/.,P
maintenant,maintenant,60
",",",",p
dès,dès,81
que,que,83
je,je,51
pourrai,pouvoir,15
sortir,sortir,14
de,de,81
ma,mon,73
chambre,chambre,22
",",",",p
j',je,51
irai,aller,15
examiner,examiner,14
le,le,71
mur,mur,21
terrible,terrible,30
au-dessous,au-dessous,60
de,de,81
la,le,71
pierre,pierre,22
neuve,neuf,30
de,de,81
la,le,71
balustrade,balustrade,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
il,il,51
la,le,52
trouva,trouver,19
pâle,pâle,30
au,à,81
au,le,71
point,point,21
de,de,81
lui,lui,51
faire,faire,14
une,un,71
vive,vif,30
peine,peine,22
/.,/.,P
elle,il,51
lui,lui,51
dit,dire,19
de,de,81
la,le,71
fenêtre,fenêtre,22
de,de,81
la,le,71
volière,volière,22
:,:,p
-,-,p
ne,ne,60
nous,nous,51
faisons,faire,17
point,point,60
illusion,illusion,22
",",",",p
cher,cher,30
ami,ami,21
;,;,p
comme,comme,83
il,il,51
y,y,52
a,avoir,17
du,de,81
du,le,71
péché,péché,21
dans,dans,81
notre,notre,73
amitié,amitié,22
",",",",p
je,je,51
ne,ne,60
doute,douter,17
pas,pas,60
qu',que,83
il,il,51
ne,ne,60
nous,nous,51
arrive,arriver,17
malheur,malheur,21
/.,/.,P
vous,vous,51
serez,être,15
découvert,découvrir,12
en,en,81
cherchant,chercher,13
à,à,81
prendre,prendre,14
la,le,71
fuite,fuite,22
",",",",p
et,et,82
perdu,perdre,12
à,à,81
jamais,jamais,60
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
pis,pis,30
;,;,p
toutefois,toutefois,60
il,il,51
faut,falloir,17
satisfaire,satisfaire,14
à,à,81
la,le,71
prudence,prudence,22
humaine,humain,30
",",",",p
elle,il,51
nous,nous,51
ordonne,ordonner,17
de,de,81
tout,tout,52
tenter,tenter,14
/.,/.,P
il,il,51
vous,vous,51
faut,falloir,17
pour,pour,81
descendre,descendre,14
en,en,81
dehors,dehors,21
de,de,81
la,le,71
grosse,gros,30
tour,tour,22
une,un,71
corde,corde,22
solide,solide,30
de,de,81
plus,plus,60
de,de,81
deux,deux,72
cents,cent,72
pieds,pied,21
de,de,81
longueur,longueur,22
/.,/.,P
quelques,quelque,75
soins,soin,21
que,que,52
je,je,51
me,je,51
donne,donner,17
depuis,depuis,81
que,que,83
je,je,51
sais,savoir,17
le,le,71
projet,projet,21
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
me,je,51
procurer,procurer,14
que,que,83
des,de,81
des,le,71
cordes,corde,22
formant,former,13
à,à,81
peine,peine,22
ensemble,ensemble,60
une,un,71
cinquantaine,cinquantaine,22
de,de,81
pieds,pied,21
/.,/.,P
par,par,81
un,un,71
ordre,ordre,21
du,de,81
du,le,71
jour,jour,21
du,de,81
du,le,71
gouverneur,gouverneur,21
",",",",p
toutes,tout,75
les,le,71
cordes,corde,22
que,que,52
l',l',94
on,on,51
voit,voir,17
dans,dans,81
la,le,71
forteresse,forteresse,22
sont,être,17
brûlées,brûler,12
",",",",p
et,et,82
tous,tout,75
les,le,71
soirs,soir,21
on,on,51
enlève,enlever,17
les,le,71
cordes,corde,22
des,de,81
des,le,71
puits,puits,21
",",",",p
si,si,60
faibles,faible,30
d',de,81
ailleurs,ailleurs,60
que,que,83
souvent,souvent,60
elles,ils,51
cassent,casser,17
en,en,81
remontant,remonter,13
leur,leur,73
léger,léger,30
fardeau,fardeau,21
/.,/.,P
mais,mais,82
priez,prier,17
dieu,dieu,21
qu',que,83
il,il,51
me,je,51
pardonne,pardonner,17
",",",",p
je,je,51
trahis,trahir,17
mon,mon,73
père,père,21
",",",",p
et,et,82
je,je,51
travaille,travailler,17
",",",",p
fille,fille,22
dénaturée,dénaturé,31
",",",",p
à,à,81
lui,lui,51
donner,donner,14
un,un,71
chagrin,chagrin,21
mortel,mortel,30
/.,/.,P
priez,prier,17
dieu,dieu,21
pour,pour,81
moi,moi,51
",",",",p
et,et,82
si,si,83
votre,votre,73
vie,vie,22
est,être,17
sauvée,sauver,12
",",",",p
faites,faire,17
le,le,71
voeu,voeu,21
d',de,81
en,en,52
consacrer,consacrer,14
tous,tout,75
les,le,71
instants,instant,21
à,à,81
sa,son,73
gloire,gloire,22
/.,/.,P
voici,voici,81
une,un,71
idée,idée,22
qui,qui,52
m',je,51
est,être,17
venue,venir,12
:,:,p
dans,dans,81
huit,huit,72
jours,jour,21
je,je,51
sortirai,sortir,15
de,de,81
la,le,71
citadelle,citadelle,22
pour,pour,81
assister,assister,14
aux,à,81
aux,le,71
noces,noce,22
d',de,81
une,un,52
des,de,81
des,le,71
soeurs,soeur,22
du,de,81
du,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
/.,/.,P
je,je,51
rentrerai,rentrer,15
le,le,71
soir,soir,21
comme,comme,83
il,il,51
est,être,17
convenable,convenable,30
",",",",p
mais,mais,82
je,je,51
ferai,faire,15
tout,tout,52
au,à,81
au,le,71
monde,monde,21
pour,pour,81
ne,ne,60
rentrer,rentrer,14
que,que,83
fort,fort,60
tard,tard,60
",",",",p
et,et,82
peut-être,peut-être,60
Barbone,Barbone,20
n',ne,60
osera,oser,15
t,t,94
il,il,51
pas,pas,60
m',je,51
examiner,examiner,14
de,de,81
trop,trop,60
près,près,81
/.,/.,P
à,à,81
cette,ce,74
noce,noce,22
de,de,81
la,le,71
soeur,soeur,22
du,de,81
du,le,71
marquis,marquis,21
se,se,51
trouveront,trouver,15
les,le,71
plus,plus,60
grandes,grand,30
dames,dame,22
de,de,81
la,le,71
cour,cour,22
",",",",p
et,et,82
sans,sans,81
doute,doute,21
madame,madame,22
Sanseverina,Sanseverina,20
/.,/.,P
au,à,81
au,le,71
nom,nom,21
de,de,81
dieu,dieu,21
!,!,p
faites,faire,17
qu',que,83
une,un,52
de,de,81
ces,ce,74
dames,dame,22
me,je,51
remette,remettre,17
un,un,71
paquet,paquet,21
de,de,81
cordes,corde,22
bien,bien,60
serrées,serré,31
",",",",p
pas,pas,60
trop,trop,60
grosses,gros,30
",",",",p
et,et,82
réduites,réduit,31
au,à,81
au,le,71
plus,plus,60
petit,petit,30
volume,volume,21
/.,/.,P
dussé-,devoir,18
je,je,51
m',je,51
exposer,exposer,14
à,à,81
mille,mille,72
morts,mort,21
",",",",p
j',je,51
emploierai,employer,15
les,le,71
moyens,moyen,21
même,même,60
les,le,71
plus,plus,60
dangereux,dangereux,30
pour,pour,81
introduire,introduire,14
ce,ce,74
paquet,paquet,21
de,de,81
cordes,corde,22
dans,dans,81
la,le,71
citadelle,citadelle,22
",",",",p
au,à,81
au,le,71
mépris,mépris,21
",",",",p
hélas,hélas,60
!,!,p
de,de,81
tout,tout,52
mes,mon,73
devoirs,devoir,21
/.,/.,P
si,si,83
mon,mon,73
père,père,21
en,en,52
a,avoir,17
connaissance,connaissance,22
je,je,51
ne,ne,60
vous,vous,51
reverrai,revoir,15
jamais,jamais,60
;,;,p
mais,mais,82
quelle,quel,52
que,que,52
soit,être,17
la,le,71
destinée,destinée,22
qui,qui,52
m',je,51
attend,attendre,17
",",",",p
je,je,51
serai,être,16
heureuse,heureux,30
dans,dans,81
les,le,71
bornes,borne,22
d',de,81
une,un,71
amitié,amitié,22
de,de,81
soeur,soeur,22
si,si,83
je,je,51
puis,pouvoir,17
contribuer,contribuer,14
à,à,81
vous,vous,51
sauver,sauver,14
/.,/.,P
le,le,71
soir,soir,21
même,même,30
",",",",p
par,par,81
la,le,71
correspondance,correspondance,22
de,de,81
nuit,nuit,22
au,à,81
au,le,71
moyen,moyen,21
de,de,81
la,le,71
lampe,lampe,22
",",",",p
Fabrice,Fabrice,20
donna,donner,19
avis,avis,21
à,à,81
la,le,71
duchesse,duchesse,22
de,de,81
l',le,71
occasion,occasion,22
unique,unique,30
qu',que,52
il,il,51
y,y,52
aurait,avoir,16
de,de,81
faire,faire,14
entrer,entrer,14
dans,dans,81
la,le,71
citadelle,citadelle,22
une,un,71
quantité,quantité,22
de,de,81
cordes,corde,22
suffisante,suffisant,30
/.,/.,P
mais,mais,82
il,il,51
la,le,52
suppliait,supplier,18
de,de,81
garder,garder,14
le,le,71
secret,secret,21
même,même,60
envers,envers,81
le,le,71
comte,comte,21
",",",",p
ce,ce,52
qui,qui,52
parut,paraître,19
bizarre,bizarre,30
/.,/.,P
il,il,51
est,être,17
fou,fou,30
",",",",p
pensa,penser,19
la,le,71
duchesse,duchesse,22
",",",",p
la,le,71
prison,prison,22
l',le,52
a,avoir,17
changé,changer,12
",",",",p
il,il,51
prend,prendre,17
les,le,71
choses,chose,22
au,à,81
au,le,71
tragique,tragique,30
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
une,un,71
balle,balle,22
de,de,81
plomb,plomb,21
",",",",p
lancée,lancé,31
par,par,81
le,le,71
frondeur,frondeur,30
",",",",p
apporta,apporter,19
au,à,81
au,le,71
prisonnier,prisonnier,21
l',le,71
annonce,annonce,22
du,de,81
du,le,71
plus,plus,60
grand,grand,30
péril,péril,21
possible,possible,30
:,:,p
la,le,71
personne,personne,22
qui,qui,52
se,se,51
chargeait,charger,18
de,de,81
faire,faire,14
entrer,entrer,14
les,le,71
cordes,corde,22
",",",",p
lui,lui,51
disait,dire,18
on,on,51
",",",",p
lui,lui,51
sauvait,sauver,18
positivement,positivement,60
et,et,82
exactement,exactement,60
la,le,71
vie,vie,22
/.,/.,P
Fabrice,Fabrice,20
se,se,51
hâta,hâter,19
de,de,81
donner,donner,14
cette,ce,74
nouvelle,nouvelle,22
à,à,81
Clélia,Clélia,20
/.,/.,P
cette,ce,74
balle,balle,22
de,de,81
plomb,plomb,21
apportait,apporter,18
aussi,aussi,60
à,à,81
Fabrice,Fabrice,20
une,un,71
vue,vue,22
fort,fort,60
exacte,exact,30
du,de,81
du,le,71
mur,mur,21
du,de,81
du,le,71
couchant,couchant,21
par,par,81
lequel,lequel,52
il,il,51
devait,devoir,18
descendre,descendre,14
du,de,81
du,le,71
haut,haut,21
de,de,81
la,le,71
grosse,gros,30
tour,tour,22
dans,dans,81
l',le,71
espace,espace,21
compris,compris,31
entre,entre,81
les,le,71
bastions,bastion,21
;,;,p
de,de,81
ce,ce,74
lieu,lieu,21
",",",",p
il,il,51
était,être,18
assez,assez,60
facile,facile,30
ensuite,ensuite,60
de,de,81
se,se,51
sauver,sauver,14
",",",",p
les,le,71
remparts,rempart,21
n',ne,60
ayant,avoir,13
que,que,83
vingt,vingt,72
trois,trois,72
pieds,pied,21
de,de,81
haut,haut,21
et,et,82
étant,être,13
assez,assez,60
négligemment,négligemment,60
gardés,garder,12
/.,/.,P
sur,sur,81
le,le,71
revers,revers,21
du,de,81
du,le,71
plan,plan,21
était,être,18
écrit,écrire,12
d',de,81
une,un,71
petite,petit,30
écriture,écriture,22
fine,fin,30
un,un,71
sonnet,sonnet,21
magnifique,magnifique,30
:,:,p
une,un,71
âme,âme,22
généreuse,généreux,30
exhortait,exhorter,18
Fabrice,Fabrice,20
à,à,81
prendre,prendre,14
la,le,71
fuite,fuite,22
",",",",p
et,et,82
à,à,81
ne,ne,60
pas,pas,60
laisser,laisser,14
avilir,avilir,14
son,son,73
âme,âme,22
et,et,82
dépérir,dépérir,14
son,son,73
corps,corps,21
par,par,81
les,le,71
onze,onze,72
années,année,22
de,de,81
captivité,captivité,22
qu',que,52
il,il,51
avait,avoir,18
encore,encore,60
à,à,81
subir,subir,14
/.,/.,P
ici,ici,60
un,un,71
détail,détail,21
nécessaire,nécessaire,30
et,et,82
qui,qui,52
explique,expliquer,17
en,en,81
partie,partie,22
le,le,71
courage,courage,21
qu',que,52
eut,avoir,19
la,le,71
duchesse,duchesse,22
de,de,81
conseiller,conseiller,14
à,à,81
Fabrice,Fabrice,20
une,un,71
fuite,fuite,22
si,si,60
dangereuse,dangereux,30
",",",",p
nous,nous,51
oblige,obliger,17
d',de,81
interrompre,interrompre,14
pour,pour,81
un,un,71
instant,instant,21
l',le,71
histoire,histoire,22
de,de,81
cette,ce,74
entreprise,entreprise,22
hardie,hardi,30
/.,/.,P
comme,comme,83
tous,tout,75
les,le,71
partis,parti,21
qui,qui,52
ne,ne,60
sont,être,17
point,point,60
au,à,81
au,le,71
pouvoir,pouvoir,21
",",",",p
le,le,71
parti,parti,21
Raversi,Raversi,20
n',ne,60
était,être,18
pas,pas,60
fort,fort,60
uni,unir,12
/.,/.,P
le,le,71
chevalier,chevalier,21
Riscara,Riscara,20
détestait,détester,18
le,le,71
fiscal,fiscal,21
Rassi,Rassi,20
qu',que,52
il,il,51
accusait,accuser,18
de,de,81
lui,lui,51
avoir,avoir,14
fait,faire,12
perdre,perdre,14
un,un,71
procès,procès,21
important,important,30
dans,dans,81
lequel,lequel,52
",",",",p
à,à,81
la,le,71
vérité,vérité,22
",",",",p
lui,lui,51
Riscara,Riscara,20
avait,avoir,18
tort,tort,21
/.,/.,P
par,par,81
Riscara,Riscara,20
",",",",p
le,le,71
prince,prince,21
reçut,recevoir,19
un,un,71
avis,avis,21
anonyme,anonyme,30
qui,qui,52
l',le,52
avertissait,avertir,18
qu',que,83
une,un,71
expédition,expédition,22
de,de,81
la,le,71
sentence,sentence,22
de,de,81
Fabrice,Fabrice,20
avait,avoir,18
été,être,12
adressée,adresser,12
officiellement,officiellement,60
au,à,81
au,le,71
gouverneur,gouverneur,21
de,de,81
la,le,71
citadelle,citadelle,22
/.,/.,P
la,le,71
marquise,marquise,22
Raversi,Raversi,20
",",",",p
cet,ce,74
habile,habile,30
chef,chef,21
de,de,81
parti,parti,21
",",",",p
fut,être,19
excessivement,excessivement,60
contrariée,contrarier,12
de,de,81
cette,ce,74
fausse,faux,30
démarche,démarche,22
",",",",p
et,et,82
en,en,52
fit,faire,19
aussitôt,aussitôt,60
donner,donner,14
avis,avis,21
à,à,81
son,son,73
ami,ami,21
",",",",p
le,le,71
fiscal,fiscal,21
général,général,30
;,;,p
elle,il,51
trouvait,trouver,18
fort,fort,60
simple,simple,30
qu',que,83
