11441
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-quatrième extrait>,<>,<>
quel,quel,52
qu',que,52
il,il,51
fût,être,19
",",",",p
le,le,71
motif,motif,21
du,de,81
du,le,71
changement,changement,21
subit,subit,30
qui,qui,52
s',se,51
était,être,18
opéré,opérer,12
en,en,81
elle,il,51
",",",",p
et,et,82
que,que,83
",",",",p
si,si,83
elle,il,51
refusait,refuser,18
de,de,81
répondre,répondre,14
",",",",p
je,je,51
regarderais,regarder,16
son,son,73
silence,silence,21
comme,comme,83
un,un,71
refus,refus,21
positif,positif,30
de,de,81
partir,partir,14
avec,avec,81
moi,moi,51
",",",",p
et,et,82
même,même,60
comme,comme,83
un,un,71
ordre,ordre,21
de,de,81
m',je,51
éloigner,éloigner,14
d',de,81
elle,il,51
pour,pour,81
toujours,toujours,60
/.,/.,P
elle,il,51
me,je,51
montra,montrer,19
avec,avec,81
répugnance,répugnance,22
une,un,52
des,de,81
des,le,71
lettres,lettre,22
qu',que,52
elle,il,51
tenait,tenir,18
/.,/.,P
ses,son,73
parents,parent,21
lui,lui,51
écrivaient,écrire,18
que,que,83
son,son,73
départ,départ,21
la,le,52
déshonorait,déshonorer,18
à,à,81
jamais,jamais,60
",",",",p
que,que,83
personne,personne,52
n',ne,60
en,en,52
ignorait,ignorer,18
la,le,71
cause,cause,22
",",",",p
et,et,82
qu',que,83
ils,ils,51
se,se,51
croyaient,croire,18
obligés,obligé,31
de,de,81
lui,lui,51
déclarer,déclarer,14
par,par,81
avance,avance,22
quels,quel,52
en,en,52
seraient,être,16
les,le,71
résultats,résultat,21
;,;,p
qu',que,83
elle,il,51
vivait,vivre,18
publiquement,publiquement,60
comme,comme,83
ma,mon,73
maîtresse,maîtresse,22
",",",",p
et,et,82
que,que,83
",",",",p
bien,bien,60
qu',que,83
elle,il,51
fût,être,19
libre,libre,30
et,et,82
veuve,veuve,22
",",",",p
elle,il,51
avait,avoir,18
encore,encore,60
à,à,81
répondre,répondre,14
du,de,81
du,le,71
nom,nom,21
qu',que,52
elle,il,51
portait,porter,18
;,;,p
que,que,83
ni,ni,82
eux,ils,51
ni,ni,82
aucun,aucun,52
de,de,81
ses,son,73
anciens,ancien,30
amis,ami,21
ne,ne,60
la,le,52
reverraient,revoir,16
si,si,83
elle,il,51
persistait,persister,18
;,;,p
enfin,enfin,60
",",",",p
par,par,81
toutes,tout,75
sortes,sorte,22
de,de,81
menaces,menace,22
et,et,82
de,de,81
conseils,conseil,21
",",",",p
ils,ils,51
l',le,52
engageaient,engager,18
à,à,81
revenir,revenir,14
au,à,81
au,le,71
pays,pays,21
/.,/.,P
le,le,71
ton,ton,21
de,de,81
cette,ce,74
lettre,lettre,22
m',je,51
indigna,indigner,19
",",",",p
et,et,82
je,je,51
n',ne,60
y,y,52
vis,voir,19
d'abord,d'abord,60
qu',que,83
une,un,71
injure,injure,22
/.,/.,P
-,-,p
et,et,82
ce,ce,74
jeune,jeune,30
homme,homme,21
qui,qui,52
vous,vous,51
apporte,apporter,17
ces,ce,74
remontrances,remontrance,22
",",",",p
m',je,51
écriai,écrier,19
je,je,51
",",",",p
sans,sans,81
doute,doute,21
il,il,51
s',se,51
est,être,17
chargé,charger,12
de,de,81
vous,vous,51
en,en,52
faire,faire,14
de,de,81
vive,vif,30
voix,voix,22
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
manque,manquer,17
pas,pas,60
",",",",p
n',ne,60
est,être,17
il,il,51
pas,pas,60
vrai,vrai,30
/?,/?,P
la,le,71
profonde,profond,30
tristesse,tristesse,22
de,de,81
Brigitte,Brigitte,20
me,je,51
fit,faire,19
réfléchir,réfléchir,14
et,et,82
calma,calmer,19
ma,mon,73
colère,colère,22
/.,/.,P
-,-,p
vous,vous,51
ferez,faire,15
",",",",p
me,je,51
dit,dire,19
elle,il,51
",",",",p
ce,ce,52
que,que,52
vous,vous,51
voudrez,vouloir,15
",",",",p
et,et,82
vous,vous,51
achèverez,achever,15
de,de,81
me,je,51
perdre,perdre,14
/.,/.,P
aussi,aussi,60
bien,bien,60
mon,mon,73
sort,sort,21
est,être,17
entre,entre,81
vos,votre,73
mains,main,22
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
que,que,83
vous,vous,51
en,en,52
êtes,être,17
le,le,71
maître,maître,21
/.,/.,P
tirez,tirer,17
telle,tel,75
vengeance,vengeance,22
qu',que,52
il,il,51
vous,vous,51
plaira,plaire,15
du,de,81
du,le,71
dernier,dernier,30
effort,effort,21
que,que,52
mes,mon,73
vieux,vieux,30
amis,ami,21
font,faire,17
pour,pour,81
me,je,51
rappeler,rappeler,14
à,à,81
la,le,71
raison,raison,22
",",",",p
au,à,81
au,le,71
monde,monde,21
",",",",p
que,que,52
je,je,51
respectais,respecter,18
jadis,jadis,60
",",",",p
et,et,82
à,à,81
l',le,71
honneur,honneur,21
",",",",p
que,que,52
j',je,51
ai,avoir,17
perdu,perdre,12
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
un,un,71
mot,mot,21
à,à,81
vous,vous,51
dire,dire,14
",",",",p
et,et,82
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
même,même,60
me,je,51
dicter,dicter,14
ma,mon,73
réponse,réponse,22
",",",",p
je,je,51
la,le,52
ferai,faire,15
telle,tel,75
que,que,52
vous,vous,51
le,le,52
souhaiterez,souhaiter,15
/.,/.,P
-,-,p
je,je,51
ne,ne,60
souhaite,souhaiter,17
rien,rien,52
",",",",p
répondis,répondre,19
je,je,51
",",",",p
que,que,83
de,de,81
connaître,connaître,14
vos,votre,73
intentions,intention,22
;,;,p
c',ce,52
est,être,17
à,à,81
moi,moi,51
au,à,81
au,le,71
contraire,contraire,21
de,de,81
m',je,51
y,y,52
conformer,conformer,14
",",",",p
et,et,82
",",",",p
je,je,51
vous,vous,51
le,le,52
jure,jurer,17
",",",",p
j',je,51
y,y,52
suis,être,17
prêt,prêt,30
/.,/.,P
dites,dire,17
moi,moi,51
si,si,83
vous,vous,51
restez,rester,17
ou,ou,82
si,si,83
vous,vous,51
partez,partir,17
",",",",p
ou,ou,82
s',si,83
il,il,51
faut,falloir,17
que,que,83
je,je,51
parte,partir,17
seul,seul,30
/.,/.,P
-,-,p
pourquoi,pourquoi,60
cette,ce,74
question,question,22
?,?,p
demanda,demander,19
Brigitte,Brigitte,20
;,;,p
vous,vous,51
ai,avoir,17
je,je,51
dit,dire,12
que,que,83
j',je,51
eusse,avoir,18
changé,changer,12
d',de,81
avis,avis,21
/?,/?,P
je,je,51
souffre,souffrir,17
et,et,82
ne,ne,60
puis,pouvoir,17
partir,partir,14
ainsi,ainsi,60
;,;,p
mais,mais,82
",",",",p
dès,dès,81
que,que,83
je,je,51
serai,être,16
guérie,guérir,12
ou,ou,82
seulement,seulement,60
en,en,81
état,état,21
de,de,81
me,je,51
lever,lever,14
",",",",p
nous,nous,51
irons,aller,15
à,à,81
Genève,Genève,20
",",",",p
comme,comme,83
il,il,51
est,être,17
convenu,convenir,12
/.,/.,P
nous,nous,51
nous,nous,51
séparâmes,séparer,19
sur,sur,81
ces,ce,74
mots,mot,21
",",",",p
et,et,82
la,le,71
mortelle,mortel,30
froideur,froideur,22
dont,dont,52
elle,il,51
les,le,52
avait,avoir,18
prononcés,prononcer,12
m',je,51
attrista,attrister,19
plus,plus,60
qu',que,83
un,un,71
refus,refus,21
ne,ne,60
l',le,52
aurait,avoir,16
fait,faire,12
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
première,premier,72
fois,fois,22
que,que,83
",",",",p
par,par,81
des,de,81
des,le,71
avis,avis,21
de,de,81
ce,ce,74
genre,genre,21
",",",",p
on,on,51
tentait,tenter,18
de,de,81
rompre,rompre,14
notre,notre,73
liaison,liaison,22
;,;,p
mais,mais,82
",",",",p
jusqu'ici,jusqu'ici,81
",",",",p
quelque,quelque,75
impression,impression,22
que,que,52
de,de,81
pareilles,pareil,30
lettres,lettre,22
eussent,avoir,18
faites,faire,12
sur,sur,81
Brigitte,Brigitte,20
",",",",p
elle,il,51
s',se,51
en,en,52
était,être,18
bientôt,bientôt,60
distraite,distraire,12
/.,/.,P
comment,comment,60
croire,croire,14
que,que,83
ce,ce,74
seul,seul,30
motif,motif,21
eût,avoir,19
aujourd'hui,aujourd'hui,60
sur,sur,81
elle,il,51
tant,tant,60
de,de,81
force,force,22
",",",",p
lorsqu',lorsque,83
il,il,51
n',ne,60
avait,avoir,18
rien,rien,52
pu,pouvoir,12
dans,dans,81
des,de,81
des,le,71
temps,temps,21
moins,moins,60
heureux,heureux,30
/?,/?,P
je,je,51
cherchais,chercher,18
si,si,83
",",",",p
dans,dans,81
ma,mon,73
conduite,conduite,22
depuis,depuis,81
que,que,83
nous,nous,51
étions,être,18
à,à,81
Paris,Paris,20
",",",",p
je,je,51
n',ne,60
avais,avoir,18
rien,rien,52
à,à,81
me,je,51
reprocher,reprocher,14
/.,/.,P
-,-,p
serait,être,16
ce,ce,52
seulement,seulement,60
",",",",p
me,je,51
disais,dire,18
je,je,51
",",",",p
la,le,71
faiblesse,faiblesse,22
d',de,81
une,un,71
femme,femme,22
qui,qui,52
a,avoir,17
voulu,vouloir,12
faire,faire,14
un,un,71
coup,coup,21
de,de,81
tête,tête,22
",",",",p
et,et,82
qui,qui,52
",",",",p
au,à,81
au,le,71
moment,moment,21
de,de,81
l',le,71
exécution,exécution,22
",",",",p
recule,reculer,17
devant,devant,81
sa,son,73
propre,propre,30
volonté,volonté,22
/?,/?,P
serait,être,16
ce,ce,52
ce,ce,52
que,que,52
les,le,71
libertins,libertin,21
pourraient,pouvoir,16
nommer,nommer,14
un,un,71
dernier,dernier,30
scrupule,scrupule,21
/?,/?,P
mais,mais,82
cette,ce,74
gaieté,gaieté,22
qu',que,52
il,il,51
y,y,52
a,avoir,17
huit,huit,72
jours,jour,21
Brigitte,Brigitte,20
montrait,montrer,18
du,de,81
du,le,71
matin,matin,21
au,à,81
au,le,71
soir,soir,21
",",",",p
ces,ce,74
projets,projet,21
si,si,60
doux,doux,30
",",",",p
quittés,quitté,31
",",",",p
repris,repris,31
sans,sans,81
cesse,cesse,22
",",",",p
ces,ce,74
promesses,promesse,22
",",",",p
ces,ce,74
protestations,protestation,22
",",",",p
tout,tout,75
cela,cela,52
pourtant,pourtant,60
était,être,18
franc,franc,30
",",",",p
réel,réel,30
",",",",p
sans,sans,81
aucune,aucun,75
contrainte,contrainte,22
/.,/.,P
c',ce,52
était,être,18
malgré,malgré,81
moi,moi,51
qu',que,83
elle,il,51
voulait,vouloir,18
partir,partir,14
/.,/.,P
non,non,60
",",",",p
il,il,51
y,y,52
a,avoir,17
là,là,60
quelque,quelque,75
mystère,mystère,21
;,;,p
et,et,82
comment,comment,60
le,le,52
savoir,savoir,14
",",",",p
si,si,83
maintenant,maintenant,60
",",",",p
quand,quand,83
je,je,51
la,le,52
questionne,questionner,17
",",",",p
elle,il,51
me,je,51
paie,payer,17
d',de,81
une,un,71
raison,raison,22
qui,qui,52
ne,ne,60
peut,pouvoir,17
être,être,14
la,le,71
véritable,véritable,30
/?,/?,P
je,je,51
ne,ne,60
puis,pouvoir,17
lui,lui,51
dire,dire,14
qu',que,83
elle,il,51
ment,mentir,17
ni,ni,82
la,le,52
forcer,forcer,14
à,à,81
répondre,répondre,14
autre,autre,75
chose,chose,22
/.,/.,P
elle,il,51
me,je,51
dit,dire,17
qu',que,83
elle,il,51
veut,vouloir,17
toujours,toujours,60
partir,partir,14
;,;,p
mais,mais,82
",",",",p
si,si,83
elle,il,51
le,le,52
dit,dire,17
de,de,81
ce,ce,74
ton,ton,21
",",",",p
ne,ne,60
dois,devoir,17
je,je,51
pas,pas,60
refuser,refuser,14
absolument,absolument,60
/?,/?,P
puis,pouvoir,17
je,je,51
accepter,accepter,14
un,un,71
sacrifice,sacrifice,21
pareil,pareil,30
",",",",p
quand,quand,83
il,il,51
s',se,51
accomplit,accomplir,17
comme,comme,83
une,un,71
tâche,tâche,22
",",",",p
comme,comme,83
une,un,71
condamnation,condamnation,22
?,?,p
quand,quand,83
ce,ce,52
que,que,52
je,je,51
croyais,croire,18
m',je,51
être,être,14
offert,offrir,12
par,par,81
l',le,71
amour,amour,21
",",",",p
j',je,51
en,en,52
viens,venir,17
pour,pour,81
ainsi,ainsi,60
dire,dire,14
à,à,81
l',le,52
exiger,exiger,14
de,de,81
la,le,71
parole,parole,22
donnée,donné,31
/?,/?,P
o,oh,93
dieu,dieu,21
!,!,p
serait,être,16
ce,ce,52
donc,donc,82
cette,ce,74
pâle,pâle,30
et,et,82
languissante,languissant,30
créature,créature,22
que,que,52
j',je,51
emporterais,emporter,16
dans,dans,81
mes,mon,73
bras,bras,21
/?,/?,P
n',ne,60
emmènerais,emmener,16
je,je,51
si,si,60
loin,loin,60
de,de,81
la,le,71
patrie,patrie,22
",",",",p
pour,pour,81
si,si,60
longtemps,longtemps,60
",",",",p
pour,pour,81
la,le,71
vie,vie,22
peut-être,peut-être,60
",",",",p
qu',que,83
une,un,71
victime,victime,22
résignée,résigné,31
/?,/?,P
je,je,51
ferai,faire,15
",",",",p
dit,dire,19
elle,il,51
",",",",p
ce,ce,52
qui,qui,52
te,tu,51
plaira,plaire,15
/.,/.,P
non,non,60
certes,certes,60
",",",",p
il,il,51
ne,ne,60
me,je,51
plaira,plaire,15
point,point,60
de,de,81
rien,rien,52
demander,demander,14
à,à,81
la,le,71
patience,patience,22
",",",",p
et,et,82
",",",",p
plutôt,plutôt,60
que,que,83
de,de,81
voir,voir,14
ce,ce,74
visage,visage,21
souffrant,souffrant,30
seulement,seulement,60
encore,encore,60
une,un,71
semaine,semaine,22
",",",",p
si,si,83
elle,il,51
se,se,51
tait,taire,17
",",",",p
je,je,51
partirai,partir,15
seul,seul,30
/.,/.,P
insensé,insensé,30
que,que,83
j',je,51
étais,être,18
",",",",p
en,en,52
avais,avoir,18
je,je,51
la,le,71
force,force,22
/?,/?,P
j',je,51
avais,avoir,18
été,être,12
trop,trop,60
heureux,heureux,30
depuis,depuis,81
quinze,quinze,72
jours,jour,21
pour,pour,81
oser,oser,14
vraiment,vraiment,60
regarder,regarder,14
en,en,81
arrière,arrière,21
et,et,82
",",",",p
loin,loin,60
de,de,81
me,je,51
sentir,sentir,14
ce,ce,74
courage,courage,21
",",",",p
je,je,51
ne,ne,60
songeais,songer,18
qu',que,83
aux,à,81
aux,le,71
moyens,moyen,21
d',de,81
emmener,emmener,14
Brigitte,Brigitte,20
/.,/.,P
je,je,51
passai,passer,19
la,le,71
nuit,nuit,22
sans,sans,81
fermer,fermer,14
l',le,71
oeil,oeil,21
",",",",p
et,et,82
le,le,71
lendemain,lendemain,21
",",",",p
de,de,81
grand,grand,30
matin,matin,21
",",",",p
je,je,51
résolus,résoudre,19
",",",",p
à,à,81
tout,tout,75
hasard,hasard,21
",",",",p
d',de,81
aller,aller,14
chez,chez,81
ce,ce,74
jeune,jeune,30
homme,homme,21
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
à,à,81
l',le,71
Opéra,Opéra,20
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
c',ce,52
était,être,18
la,le,71
colère,colère,22
ou,ou,82
la,le,71
curiosité,curiosité,22
qui,qui,52
m',je,51
y,y,52
poussait,pousser,18
",",",",p
ni,ni,82
ce,ce,52
qu',que,52
au,à,81
au,le,71
fond,fond,21
je,je,51
voulais,vouloir,18
de,de,81
lui,lui,51
;,;,p
mais,mais,82
je,je,51
pensais,penser,18
que,que,83
",",",",p
de,de,81
cette,ce,74
manière,manière,22
",",",",p
il,il,51
ne,ne,60
pourrait,pouvoir,16
du,de,81
du,le,71
moins,moins,60
m',je,51
éviter,éviter,14
",",",",p
et,et,82
c',ce,52
était,être,18
tout,tout,52
ce,ce,52
que,que,52
je,je,51
désirais,désirer,18
/.,/.,P
comme,comme,83
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
son,son,73
adresse,adresse,22
",",",",p
j',je,51
entrai,entrer,19
chez,chez,81
Brigitte,Brigitte,20
pour,pour,81
la,le,52
demander,demander,14
",",",",p
prétextant,prétexter,13
une,un,71
politesse,politesse,22
que,que,52
je,je,51
lui,lui,51
devais,devoir,18
après,après,81
toutes,tout,75
les,le,71
visites,visite,22
qu',que,52
il,il,51
nous,nous,51
avait,avoir,18
faites,faire,12
;,;,p
car,car,82
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
dit,dire,12
un,un,71
mot,mot,21
de,de,81
ma,mon,73
rencontre,rencontre,22
au,à,81
au,le,71
spectacle,spectacle,21
/.,/.,P
Brigitte,Brigitte,20
était,être,18
au,à,81
au,le,71
lit,lit,21
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
fatigués,fatigué,31
montraient,montrer,18
qu',que,83
elle,il,51
avait,avoir,18
pleuré,pleurer,12
/.,/.,P
lorsque,lorsque,83
j',je,51
entrai,entrer,19
",",",",p
elle,il,51
me,je,51
tendit,tendre,19
la,le,71
main,main,22
",",",",p
et,et,82
me,je,51
dit,dire,19
:,:,p
-,-,p
que,que,52
me,je,51
voulez,vouloir,17
vous,vous,51
/?,/?,P
sa,son,73
voix,voix,22
était,être,18
triste,triste,30
",",",",p
mais,mais,82
tendre,tendre,30
/.,/.,P
nous,nous,51
échangeâmes,échanger,19
quelques,quelque,75
paroles,parole,22
amicales,amical,30
",",",",p
et,et,82
je,je,51
sortis,sortir,19
le,le,71
coeur,coeur,21
moins,moins,60
désolé,désolé,31
/.,/.,P
le,le,71
jeune,jeune,30
homme,homme,21
que,que,52
j',je,51
allais,aller,18
voir,voir,14
se,se,51
nommait,nommer,18
Smith,Smith,20
;,;,p
il,il,51
demeurait,demeurer,18
à,à,81
peu,peu,60
de,de,81
distance,distance,22
/.,/.,P
en,en,81
frappant,frapper,13
à,à,81
sa,son,73
porte,porte,22
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
quelle,quel,75
inquiétude,inquiétude,22
me,je,51
saisit,saisir,19
;,;,p
je,je,51
m',je,51
avançai,avancer,19
lentement,lentement,60
et,et,82
comme,comme,83
frappé,frappé,31
tout,tout,60
à,à,81
coup,coup,21
d',de,81
une,un,71
lumière,lumière,22
inattendue,inattendu,30
/.,/.,P
à,à,81
son,son,73
premier,premier,72
geste,geste,21
",",",",p
mon,mon,73
sang,sang,21
se,se,51
glaça,glacer,19
/.,/.,P
il,il,51
était,être,18
couché,coucher,12
",",",",p
et,et,82
",",",",p
avec,avec,81
le,le,71
même,même,75
accent,accent,21
que,que,83
tout,tout,60
à,à,81
l',le,71
heure,heure,22
Brigitte,Brigitte,20
",",",",p
avec,avec,81
un,un,71
visage,visage,21
aussi,aussi,60
pâle,pâle,30
et,et,82
aussi,aussi,60
défait,défait,31
",",",",p
il,il,51
me,je,51
tendit,tendre,19
la,le,71
main,main,22
en,en,81
me,je,51
voyant,voir,13
et,et,82
me,je,51
dit,dire,19
la,le,71
même,même,75
parole,parole,22
:,:,p
que,que,52
me,je,51
voulez,vouloir,17
vous,vous,51
/?,/?,P
qu',que,52
on,on,51
en,en,52
pense,penser,17
ce,ce,52
qu',que,52
on,on,51
voudra,vouloir,15
;,;,p
il,il,51
y,y,52
a,avoir,17
de,de,81
tels,tel,75
hasards,hasard,21
dans,dans,81
la,le,71
vie,vie,22
que,que,83
la,le,71
raison,raison,22
de,de,81
l',le,71
homme,homme,21
ne,ne,60
saurait,savoir,16
s',se,51
expliquer,expliquer,14
/.,/.,P
je,je,51
m',je,51
assis,asseoir,19
sans,sans,81
pouvoir,pouvoir,14
répondre,répondre,14
",",",",p
et,et,82
",",",",p
comme,comme,83
si,si,83
je,je,51
me,je,51
fusse,être,18
éveillé,éveiller,12
d',de,81
un,un,71
rêve,rêve,21
",",",",p
je,je,51
me,je,51
répétai,répéter,19
à,à,81
moi-même,moi-même,51
la,le,71
question,question,22
qu',que,52
il,il,51
m',je,51
adressait,adresser,18
/.,/.,P
que,que,52
venais,venir,18
je,je,51
faire,faire,14
",",",",p
en,en,81
effet,effet,21
",",",",p
chez,chez,81
lui,lui,51
/?,/?,P
comment,comment,60
lui,lui,51
dire,dire,14
ce,ce,52
qui,qui,52
m',je,51
amenait,amener,18
/?,/?,P
en,en,81
supposant,supposer,13
qu',que,83
il,il,51
pût,pouvoir,18
m',je,51
être,être,14
utile,utile,30
de,de,81
l',le,52
interroger,interroger,14
",",",",p
comment,comment,60
savoir,savoir,14
s',si,83
il,il,51
voudrait,vouloir,16
parler,parler,14
/?,/?,P
il,il,51
avait,avoir,18
apporté,apporter,12
des,de,81
des,le,71
lettres,lettre,22
et,et,82
connaissait,connaître,18
ceux,celui,52
qui,qui,52
les,le,52
avaient,avoir,18
écrites,écrire,12
;,;,p
mais,mais,82
n',ne,60
en,en,52
savais,savoir,18
je,je,51
pas,pas,60
aussi,aussi,60
long,long,30
que,que,83
lui,lui,51
après,après,81
ce,ce,52
que,que,52
Brigitte,Brigitte,20
venait,venir,18
de,de,81
me,je,51
montrer,montrer,14
/?,/?,P
il,il,51
m',je,51
en,en,52
coûtait,coûter,18
de,de,81
lui,lui,51
faire,faire,14
des,de,81
des,le,71
questions,question,22
",",",",p
et,et,82
je,je,51
craignais,craindre,18
qu',que,83
il,il,51
ne,ne,60
soupçonnât,soupçonner,18
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
dans,dans,81
mon,mon,73
coeur,coeur,21
/.,/.,P
les,le,71
premiers,premier,72
mots,mot,21
que,que,52
nous,nous,51
échangeâmes,échanger,19
furent,être,19
polis,polir,12
et,et,82
insignifiants,insignifiant,30
/.,/.,P
je,je,51
le,le,52
remerciai,remercier,19
de,de,81
s',se,51
être,être,14
chargé,charger,12
des,de,81
des,le,71
commissions,commission,22
de,de,81
la,le,71
famille,famille,22
de,de,81
madame,madame,22
Pierson,Pierson,20
;,;,p
je,je,51
lui,lui,51
dis,dire,19
qu',que,83
en,en,81
quittant,quitter,13
la,le,71
France,France,20
nous,nous,51
le,le,52
prierions,prier,16
à,à,81
notre,notre,73
tour,tour,21
de,de,81
nous,nous,51
rendre,rendre,14
quelques,quelque,75
services,service,21
;,;,p
après,après,81
quoi,quoi,52
",",",",p
nous,nous,51
demeurâmes,demeurer,19
en,en,81
silence,silence,21
",",",",p
étonnés,étonné,31
de,de,81
nous,nous,51
trouver,trouver,14
vis-à-vis,vis-à-vis,60
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
/.,/.,P
je,je,51
regardais,regarder,18
autour,autour,60
de,de,81
moi,moi,51
",",",",p
comme,comme,83
les,le,71
gens,gens,21
embarrassés,embarrassé,31
/.,/.,P
la,le,71
chambre,chambre,22
qu',que,52
occupait,occuper,18
ce,ce,74
jeune,jeune,30
homme,homme,21
était,être,18
au,à,81
au,le,71
quatrième,quatrième,72
étage,étage,21
",",",",p
tout,tout,52
y,y,52
annonçait,annoncer,18
une,un,71
pauvreté,pauvreté,22
honnête,honnête,30
et,et,82
laborieuse,laborieux,30
/.,/.,P
quelques,quelque,75
livres,livre,21
",",",",p
des,de,81
des,le,71
instruments,instrument,21
de,de,81
musique,musique,22
",",",",p
des,de,81
des,le,71
cadres,cadre,21
de,de,81
bois,bois,21
blanc,blanc,30
",",",",p
des,de,81
des,le,71
papiers,papier,21
en,en,81
ordre,ordre,21
sur,sur,81
une,un,71
table,table,22
couverte,couvert,31
d',de,81
un,un,71
tapis,tapis,21
",",",",p
un,un,71
vieux,vieux,30
fauteuil,fauteuil,21
et,et,82
quelques,quelque,75
chaises,chaise,22
",",",",p
c',ce,52
était,être,18
tout,tout,52
;,;,p
mais,mais,82
tout,tout,52
se,se,51
ressentait,ressentir,18
d',de,81
un,un,71
air,air,21
de,de,81
propreté,propreté,22
et,et,82
de,de,81
soin,soin,21
qui,qui,52
en,en,52
faisait,faire,18
un,un,71
ensemble,ensemble,21
agréable,agréable,30
/.,/.,P
quant,quand,83
à,à,81
lui,lui,51
",",",",p
sa,son,73
physionomie,physionomie,22
ouverte,ouvert,31
et,et,82
animée,animé,31
prévenait,prévenir,18
d'abord,d'abord,60
en,en,81
sa,son,73
faveur,faveur,22
;,;,p
j',je,51
aperçus,apercevoir,19
à,à,81
la,le,71
cheminée,cheminée,22
le,le,71
portrait,portrait,21
d',de,81
une,un,71
femme,femme,22
âgée,âgé,30
;,;,p
je,je,51
m',je,51
en,en,52
approchai,approcher,19
tout,tout,60
en,en,81
rêvant,rêver,13
",",",",p
et,et,82
il,il,51
me,je,51
dit,dire,19
que,que,83
c',ce,52
était,être,18
sa,son,73
mère,mère,22
/.,/.,P
je,je,51
me,je,51
souvins,souvenir,19
alors,alors,60
que,que,83
Brigitte,Brigitte,20
m',je,51
avait,avoir,18
souvent,souvent,60
parlé,parler,12
de,de,81
lui,lui,51
",",",",p
et,et,82
mille,mille,72
détails,détail,21
que,que,52
j',je,51
avais,avoir,18
oubliés,oublier,12
me,je,51
revinrent,revenir,19
à,à,81
la,le,71
mémoire,mémoire,22
/.,/.,P
Brigitte,Brigitte,20
le,le,52
connaissait,connaître,18
depuis,depuis,81
son,son,73
enfance,enfance,22
/.,/.,P
avant,avant,81
que,que,83
je,je,51
ne,ne,60
vinsse,venir,18
au,à,81
au,le,71
pays,pays,21
",",",",p
elle,il,51
le,le,52
voyait,voir,18
quelquefois,quelquefois,60
à,à,81
N,N,20
;,;,p
mais,mais,82
depuis,depuis,81
mon,mon,73
arrivée,arrivée,22
elle,il,51
n',ne,60
y,y,52
était,être,18
allée,aller,12
qu',que,83
une,un,71
fois,fois,22
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
était,être,18
point,point,60
à,à,81
ce,ce,74
moment,moment,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
donc,donc,82
pas,pas,60
par,par,81
hasard,hasard,21
que,que,83
j',je,51
avais,avoir,18
appris,apprendre,12
sur,sur,81
son,son,73
compte,compte,21
quelques,quelque,75
particularités,particularité,22
",",",",p
qui,qui,52
cependant,cependant,82
m',je,51
avaient,avoir,18
frappé,frapper,12
/.,/.,P
il,il,51
avait,avoir,18
pour,pour,81
tout,tout,75
bien,bien,21
un,un,71
modique,modique,30
emploi,emploi,21
qui,qui,52
lui,lui,51
servait,servir,18
à,à,81
entretenir,entretenir,14
une,un,71
mère,mère,22
et,et,82
une,un,71
soeur,soeur,22
;,;,p
sa,son,73
conduite,conduite,22
envers,envers,81
ces,ce,74
deux,deux,72
femmes,femme,22
méritait,mériter,18
les,le,71
plus,plus,60
grands,grand,30
éloges,éloge,21
/.,/.,P
il,il,51
se,se,51
privait,priver,18
de,de,81
tout,tout,52
pour,pour,81
elles,ils,51
",",",",p
et,et,82
",",",",p
quoiqu',quoique,83
il,il,51
possédât,posséder,18
comme,comme,83
musicien,musicien,21
des,de,81
des,le,71
talents,talent,21
précieux,précieux,30
qui,qui,52
pouvaient,pouvoir,18
mener,mener,14
à,à,81
la,le,71
fortune,fortune,22
",",",",p
une,un,71
probité,probité,22
et,et,82
une,un,71
réserve,réserve,22
extrêmes,extrême,30
lui,lui,51
avaient,avoir,18
toujours,toujours,60
fait,faire,12
préférer,préférer,14
le,le,71
repos,repos,21
aux,à,81
aux,le,71
chances,chance,22
de,de,81
succès,succès,21
qui,qui,52
s',se,51
étaient,être,18
présentées,présenter,12
/.,/.,P
en,en,81
un,un,71
mot,mot,21
",",",",p
il,il,51
était,être,18
de,de,81
ce,ce,74
petit,petit,30
nombre,nombre,21
d',de,81
êtres,être,21
qui,qui,52
vivent,vivre,17
sans,sans,81
bruit,bruit,21
et,et,82
savent,savoir,17
gré,gré,21
aux,à,81
aux,le,71
autres,autre,52
de,de,81
ne,ne,60
pas,pas,60
